Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Roger Federer *,SUI,1,Sam Querrey,USA,,6 - 4,6 - 4,6 - 3,,,
1,2,Albert Montanes *,ESP,,Kristof Vliegen,BEL,,7 - 6 (7 - 5),7 - 6 (7 - 2),7 - 6 (7 - 3),,,
1,3,Victor Crivoi,ROU,,David Marrero *,ESP,,3 - 6,3 - 6,7 - 5,4 - 6,,
1,4,Mario Ancic *,CRO,,Andreas Seppi,ITA,31,6 - 2,7 - 6 (7 - 1),6 - 2,,,
1,5,Ivo Karlovic,CRO,20,Alejandro Falla *,COL,,6 - 3,6 - 7 (4 - 7),6 - 7 (6 - 8),7 - 5,4 - 6,
1,6,Julien Benneteau *,FRA,,Vincent Spadea,USA,,6 - 4,6 - 4,3 - 6,3 - 6,6 - 3,
1,7,Mischa Zverev,GER,,Paul Capdeville *,CHI,,1 - 6,4 - 6,2 - 6,,,
1,8,Robin Soderling *,SWE,,Juan Monaco,ARG,13,6 - 2,6 - 3,6 - 1,,,
1,9,Stanislas Wawrinka *,SUI,9,Philipp Kohlschreiber,GER,,6 - 3,6 - 4,6 - 3,,,
1,10,Marin Cilic *,CRO,,Robin Haase,NED,,7 - 6 (8 - 6),6 - 2,7 - 6 (7 - 4),,,
1,11,Pablo Andujar *,ESP,,Filippo Volandri,ITA,,6 - 7 (6 - 8),6 - 2,6 - 3,6 - 3,,
1,12,Pablo Cuevas,URU,,Fernando Gonzalez *,CHI,24,3 - 6,3 - 6,1 - 6,,,
1,13,Igor Andreev *,RUS,27,Potito Starace,ITA,,6 - 1,6 - 7 (3 - 7),6 - 1,6 - 4,,
1,14,Donald Young,USA,,Robby Ginepri *,USA,,2 - 6,6 - 3,6 - 7 (4 - 7),2 - 6,,
1,15,Dudi Sela,ISR,,Victor Hanescu *,ROU,,6 - 4,2 - 6,6 - 4,4 - 6,3 - 6,
1,16,Florent Serra *,FRA,,Santiago Giraldo,COL,,6 - 4,6 - 3,6 - 2,,,
1,17,Nikolay Davydenko *,RUS,4,Thomas Johansson,SWE,,6 - 3,6 - 3,6 - 3,,,
1,18,Jean-Rene Lisnard,MON,,Marat Safin *,RUS,,7 - 6 (7 - 5),1 - 6,3 - 6,2 - 6,,
1,19,Diego Junqueira *,ARG,,Adrian Mannarino,FRA,,6 - 1,6 - 2,6 - 2,,,
1,20,Eric Prodon,FRA,,Ivan Ljubicic *,CRO,28,5 - 7,6 - 7 (6 - 8),6 - 7 (4 - 7),,,
1,21,Juan Carlos Ferrero,ESP,23,Marcos Daniel *,BRA,,7 - 6 (7 - 5),2 - 2,,,,Retired
1,22,Jurgen Melzer *,AUT,,Peter Luczak,AUS,,6 - 3,6 - 2,6 - 4,,,
1,23,Gael Monfils *,FRA,,Arnaud Clement,FRA,,7 - 5,6 - 3,6 - 1,,,
1,24,Scoville Jenkins,USA,,Luis Horna *,PER,,4 - 6,7 - 5,3 - 6,0 - 6,,
1,25,Tommy Robredo *,ESP,12,Guillermo Coria,ARG,,5 - 7,6 - 4,6 - 1,6 - 4,,
1,26,Viktor Troicki,SRB,,Marc Gicquel *,FRA,,4 - 6,3 - 6,6 - 4,5 - 7,,
1,27,Jesse Huta Galung,NED,,Jiri Vanek *,CZE,,3 - 6,5 - 7,2 - 6,,,
1,28,Gilles Simon,FRA,,Radek Stepanek *,CZE,21,2 - 6,4 - 6,1 - 6,,,
1,29,Lleyton Hewitt *,AUS,25,Nicolas Mahut,FRA,,6 - 4,6 - 2,6 - 4,,,
1,30,Agustin Calleri,ARG,,Mardy Fish *,USA,,7 - 6 (8 - 6),4 - 6,2 - 6,4 - 6,,
1,31,Fabrice Santoro *,FRA,,Evgeny Korolev,RUS,,7 - 6 (7 - 3),6 - 1,6 - 4,,,
1,32,Steve Darcis,BEL,,David Ferrer *,ESP,5,3 - 6,4 - 6,3 - 6,,,
1,33,James Blake *,USA,7,Rainer Schuettler,GER,,6 - 4,6 - 1,7 - 6 (7 - 3),,,
1,34,Simon Greul,GER,,Ernests Gulbis *,LAT,,4 - 6,0 - 6,4 - 6,,,
1,35,Thierry Ascione,FRA,,Bobby Reynolds *,USA,,6 - 7 (2 - 7),6 - 4,3 - 6,2 - 6,,
1,36,Nicolas Lapentti *,ECU,,Janko Tipsarevic,SRB,32,6 - 4,4 - 6,6 - 1,7 - 6 (9 - 7),,
1,37,Marcos Baghdatis,CYP,17,Simone Bolelli *,ITA,,2 - 6,4 - 6,2 - 6,,,
1,38,Josselin Ouanna,FRA,,Juan Martin Del Potro *,ARG,,3 - 6,2 - 6,3 - 6,,,
1,39,Michael Llodra *,FRA,,Olivier Patience,FRA,,3 - 6,7 - 6 (7 - 1),6 - 3,7 - 5,,
1,40,Robert Smeets,AUS,,Tomas Berdych *,CZE,11,1 - 6,0 - 6,0 - 6,,,
1,41,Carlos Moya,ESP,16,Eduardo Schwank *,ARG,,6 - 7 (4 - 7),2 - 6,7 - 6 (7 - 1),6 - 4,3 - 6,
1,42,Marcel Granollers *,ESP,,Michael Berrer,GER,,6 - 3,3 - 6,6 - 2,6 - 3,,
1,43,Oscar Hernandez *,ESP,,Ivo Minar,CZE,,4 - 6,7 - 6 (7 - 5),6 - 3,7 - 5,,
1,44,Gustavo Kuerten,BRA,,Paul-Henri Mathieu *,FRA,18,3 - 6,4 - 6,2 - 6,,,
1,45,Guillermo Canas,ARG,29,Wayne Odesnik *,USA,,6 - 7 (6 - 8),6 - 7 (3 - 7),6 - 7 (8 - 10),,,
1,46,Jonas Bjorkman,SWE,,Hyung-Taik Lee *,KOR,,4 - 6,4 - 6,3 - 6,,,
1,47,Frank Dancevic,CAN,,Miguel Angel Lopez Jaen *,ESP,,6 - 7 (6 - 8),6 - 3,5 - 7,6 - 7 (2 - 7),,
1,48,Denis Gremelmayr,GER,,Novak Djokovic *,SRB,3,6 - 4,3 - 6,5 - 7,2 - 6,,
1,49,David Nalbandian *,ARG,6,Carlos Berlocq,ARG,,6 - 2,6 - 4,6 - 1,,,
1,50,Jeremy Chardy *,FRA,,Frederico Gil,POR,,6 - 3,6 - 2,7 - 6 (7 - 1),,,
1,51,Guillermo Garcia-Lopez *,ESP,,Sergio Roitman,ARG,,6 - 2,6 - 4,7 - 6 (7 - 5),,,
1,52,Daniel Brands,GER,,Dmitry Tursunov *,RUS,30,2 - 6,4 - 6,5 - 7,,,
1,53,Nicolas Almagro *,ESP,19,Boris Pashanski,SRB,,6 - 4,7 - 5,6 - 1,,,
1,54,Sebastian Decoud *,ARG,,Olivier Rochus,BEL,,3 - 6,6 - 4,6 - 3,6 - 7 (8 - 10),6 - 1,
1,55,Dominik Hrbaty,SVK,,Jose Acasuso *,ARG,,4 - 6,2 - 6,4 - 6,,,
1,56,Jonathan Eysseric,FRA,,Andy Murray *,GBR,10,2 - 6,6 - 1,6 - 4,0 - 6,2 - 6,
1,57,Mikhail Youzhny *,RUS,15,Benjamin Becker,GER,,6 - 1,6 - 3,7 - 6 (7 - 4),,,
1,58,Maximo Gonzalez *,ARG,,Roko Karanusic,CRO,,6 - 3,7 - 5,4 - 6,3 - 6,6 - 2,
1,59,John Isner,USA,,Juan Ignacio Chela *,ARG,,6 - 2,6 - 3,5 - 7,3 - 6,4 - 6,
1,60,Santiago Ventura,ESP,,Fernando Verdasco *,ESP,22,6 - 4,3 - 6,4 - 6,7 - 6 (8 - 6),1 - 6,
1,61,Jarkko Nieminen *,FIN,26,Marc Lopez,ESP,,2 - 6,6 - 3,6 - 4,6 - 3,,
1,62,Martin Vassallo Arguello *,ARG,,Feliciano Lopez,ESP,,7 - 6 (7 - 1),6 - 4,3 - 6,4 - 6,6 - 3,
1,63,Chris Guccione,AUS,,Nicolas Devilder *,FRA,,4 - 6,1 - 6,4 - 6,,,
1,64,Thomaz Bellucci,BRA,,Rafael Nadal *,ESP,2,5 - 7,3 - 6,1 - 6,,,
2,1,Roger Federer *,SUI,1,Albert Montanes,ESP,,6 - 7 (5 - 7),6 - 1,6 - 0,6 - 4,,
2,2,David Marrero,ESP,,Mario Ancic *,CRO,,6 - 4,0 - 6,3 - 6,2 - 6,,
2,3,Alejandro Falla,COL,,Julien Benneteau *,FRA,,6 - 1,6 - 7 (6 - 8),3 - 6,7 - 6 (7 - 4),0 - 6,
2,4,Paul Capdeville,CHI,,Robin Soderling *,SWE,,3 - 6,2 - 6,4 - 6,,,
2,5,Stanislas Wawrinka *,SUI,9,Marin Cilic,CRO,,7 - 6 (7 - 3),7 - 6 (7 - 4),6 - 1,,,
