Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Jelena Jankovic *,SRB,1,Yvonne Meusburger,AUT,,6 - 1,6 - 3,,,,
1,2,Kirsten Flipkens *,BEL,,Rossana De Los Rios,PAR,,6 - 3,6 - 2,,,,
1,3,Nathalie Dechy *,FRA,,Viktoriya Kutuzova,UKR,,6 - 3,6 - 0,,,,
1,4,Stephanie Dubois,CAN,,Ai Sugiyama *,JPN,26,0 - 6,6 - 7 (5 - 7),,,,
1,5,Sybille Bammer,AUT,24,Lucie Safarova *,CZE,,3 - 6,1 - 6,,,,
1,6,Petra Cetkovska,CZE,,Marina Erakovic *,NZL,,4 - 6,5 - 7,,,,
1,7,Karolina Sprem,CRO,,Tsvetana Pironkova *,BUL,,0 - 6,4 - 6,,,,
1,8,Melanie South,GBR,,Marion Bartoli *,FRA,16,2 - 6,4 - 6,,,,
1,9,Nadia Petrova *,RUS,10,Yaroslava Shvedova,KAZ,,6 - 3,7 - 6 (7 - 3),,,,
1,10,Sania Mirza *,IND,,Marta Domachowska,POL,,6 - 1,6 - 4,,,,
1,11,Karin Knapp *,ITA,,Monika Wejnert,AUS,,7 - 6 (8 - 6),6 - 4,,,,
1,12,Galina Voskoboeva *,KAZ,,Agnes Szavay,HUN,23,6 - 3,3 - 6,6 - 4,,,
1,13,Maria Kirilenko,RUS,27,Sara Errani *,ITA,,0 - 6,4 - 6,,,,
1,14,Monica Niculescu *,ROU,,Katie O'brien,GBR,,6 - 4,6 - 4,,,,
1,15,Maria Elena Camerin,ITA,,Edina Gallovits *,ROU,,3 - 6,6 - 2,3 - 6,,,
1,16,Magdalena Rybarikova,SVK,,Vera Zvonareva *,RUS,7,6 - 7 (2 - 7),0 - 6,,,,
1,17,Dinara Safina *,RUS,3,Alla Kudryavtseva,RUS,,6 - 3,6 - 4,,,,
1,18,Ekaterina Makarova *,RUS,,Aravane Rezai,FRA,,1 - 6,7 - 5,6 - 4,,,
1,19,Julia Schruff,GER,,Patricia Mayr *,AUT,,4 - 6,1 - 6,,,,
1,20,Kimiko Date Krumm,JPN,,Kaia Kanepi *,EST,25,4 - 6,6 - 4,6 - 8,,,
1,21,Daniela Hantuchova *,SVK,19,Casey Dellacqua,AUS,,7 - 6 (13 - 11),6 - 4,,,,
1,22,Jill Craybas,USA,,Mathilde Johansson *,FRA,,2 - 6,6 - 1,5 - 7,,,
1,23,Andrea Petkovic *,GER,,Kathrin Woerle,GER,,5 - 7,7 - 6 (7 - 0),4 - 0,,,Retired
1,24,Mariya Koryttseva,UKR,,Alize Cornet *,FRA,15,3 - 6,4 - 6,,,,
1,25,Caroline Wozniacki *,DEN,11,Shahar Peer,ISR,,6 - 3,6 - 2,,,,
1,26,Virginia Ruano Pascual *,ESP,,Mariana Duque Marino,COL,,6 - 3,6 - 2,,,,
1,27,Jelena Dokic *,AUS,,Tamira Paszek,AUT,,6 - 2,3 - 6,6 - 4,,,
1,28,Anne Keothavong,GBR,,Anna Chakvetadze *,RUS,17,1 - 6,7 - 6 (7 - 4),1 - 6,,,
1,29,Alisa Kleybanova *,RUS,29,Sofia Arvidsson,SWE,,7 - 5,7 - 5,,,,
1,30,Stephanie Cohen-Aloro *,FRA,,Barbora Zahlavova Strycova,CZE,,6 - 3,6 - 4,,,,
1,31,Yanina Wickmayer,BEL,,Alberta Brianti *,ITA,,4 - 6,2 - 6,,,,
1,32,Julia Goerges,GER,,Ana Ivanovic *,SRB,5,5 - 7,3 - 6,,,,
1,33,Venus Williams *,USA,6,Angelique Kerber,GER,,6 - 3,6 - 3,,,,
