Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Serena Williams *,USA,1,Anna Tatishvili,GEO,,6 - 0,6 - 1,,,,
1,2,Yuliya Beygelzimer,UKR,,Caroline Garcia *,FRA,,3 - 6,4 - 6,,,,
1,3,Monica Niculescu,ROU,,Johanna Larsson *,SWE,,2 - 6,3 - 6,,,,
1,4,Kiki Bertens,NED,,Sorana Cirstea *,ROU,26,7 - 5,5 - 7,2 - 6,,,
1,5,Anastasia Pavlyuchenkova *,RUS,19,Andrea Hlavackova,CZE,,4 - 6,7 - 6 (7 - 5),6 - 4,,,
1,6,Petra Cetkovska *,CZE,,Olga Puchkova,RUS,,6 - 0,6 - 2,,,,
1,7,Galina Voskoboeva *,KAZ,,Grace Min,USA,,4 - 6,6 - 4,7 - 5,,,
1,8,Stephanie Foretz Gacon,FRA,,Roberta Vinci *,ITA,15,3 - 6,0 - 6,,,,
1,9,Caroline Wozniacki *,DEN,10,Laura Robson,GBR,,6 - 3,6 - 2,,,,
1,10,Barbora Zahlavova Strycova,CZE,,Bojana Jovanovski *,SRB,,3 - 6,2 - 6,,,,
1,11,Pauline Parmentier,FRA,,Magdalena Rybarikova *,SVK,,0 - 6,1 - 6,,,,
1,12,Svetlana Kuznetsova *,RUS,,Ekaterina Makarova,RUS,22,6 - 4,6 - 2,,,,
1,13,Varvara Lepchenko *,USA,29,Mirjana Lucic-Baroni,CRO,,6 - 1,6 - 2,,,,
1,14,Romina Oprandi,SUI,,Elina Svitolina *,UKR,,3 - 6,6 - 4,1 - 6,,,
1,15,Jana Cepelova *,SVK,,Christina McHale,USA,,7 - 6 (7 - 3),2 - 6,6 - 4,,,
1,16,Mona Barthel,GER,,Angelique Kerber *,GER,8,6 - 7 (6 - 8),2 - 6,,,,
1,17,Agnieszka Radwanska *,POL,4,Shahar Peer,ISR,,6 - 1,6 - 1,,,,
1,18,Mallory Burdette *,USA,,Donna Vekic,CRO,,6 - 3,6 - 4,,,,
1,19,Dinah Pfizenmaier *,GER,,Mandy Minella,LUX,,7 - 5,6 - 1,,,,
1,20,Urszula Radwanska *,POL,,Venus Williams,USA,30,7 - 6 (7 - 5),6 - 7 (4 - 7),6 - 4,,,
1,21,Julia Goerges,GER,24,Zuzana Kucova *,SVK,,6 - 7 (8 - 10),0 - 6,,,,
1,22,Virginie Razzano *,FRA,,Claire Feuerstein,FRA,,7 - 6 (8 - 6),6 - 4,,,,
1,23,Chanelle Scheepers,RSA,,Mathilde Johansson *,FRA,,5 - 7,1 - 6,,,,
1,24,Petra Martic,CRO,,Ana Ivanovic *,SRB,14,1 - 6,6 - 3,3 - 6,,,
1,25,Nadia Petrova,RUS,11,Monica Puig *,PUR,,6 - 3,5 - 7,4 - 6,,,
1,26,Madison Keys *,USA,,Misaki Doi,JPN,,6 - 3,6 - 2,,,,
1,27,Irena Pavlovic,FRA,,Shelby Rogers *,USA,,3 - 6,4 - 6,,,,
1,28,Simona Halep,ROU,,Carla Suarez Navarro *,ESP,20,6 - 3,2 - 6,2 - 6,,,
1,29,Sabine Lisicki *,GER,32,Sofia Arvidsson,SWE,,6 - 3,6 - 4,,,,
1,30,Maria-Teresa Torro-Flor *,ESP,,Julia Glushko,ISR,,6 - 2,7 - 5,,,,
1,31,Ayumi Morita,JPN,,Yulia Putintseva *,KAZ,,2 - 6,3 - 6,,,,
1,32,Arantxa Rus,NED,,Sara Errani *,ITA,5,1 - 6,2 - 6,,,,
1,33,Na Li *,CHN,6,A. Medina Garrigues,ESP,,6 - 3,6 - 4,,,,
1,34,Bethanie Mattek-Sands *,USA,,Lourdes Dominguez Lino,ESP,,6 - 4,6 - 1,,,,
1,35,Tatjana Maria,GER,,Paula Ormaechea *,ARG,,3 - 6,6 - 4,0 - 6,,,
1,36,Coco Vandeweghe,USA,,Yaroslava Shvedova *,KAZ,27,0 - 6,6 - 3,2 - 6,,,
1,37,Klara Zakopalova,CZE,23,Kaia Kanepi *,EST,,6 - 7 (3 - 7),2 - 6,,,,
1,38,Stefanie Voegele *,SUI,,Heather Watson,GBR,,6 - 4,2 - 6,6 - 4,,,
1,39,Ashleigh Barty *,AUS,,Lucie Hradecka,CZE,,7 - 5,2 - 6,6 - 1,,,
1,40,Nina Bratchikova,POR,,Maria Kirilenko *,RUS,12,0 - 6,1 - 6,,,,
1,41,Marion Bartoli *,FRA,13,Olga Govortsova,BLR,,7 - 6 (10 - 8),4 - 6,7 - 5,,,
1,42,Kristyna Pliskova,CZE,,Mariana Duque-Marino *,COL,,2 - 6,0 - 6,,,,
1,43,Melinda Czink,HUN,,Francesca Schiavone *,ITA,,0 - 6,6 - 7 (1 - 7),,,,
1,44,Flavia Pennetta,ITA,,Kirsten Flipkens *,BEL,21,6 - 2,4 - 6,0 - 6,,,
1,45,Alize Cornet *,FRA,31,Maria Joao Koehler,POR,,7 - 5,6 - 2,,,,
1,46,Irina-Camelia Begu,ROU,,Silvia Soler-Espinosa *,ESP,,3 - 6,2 - 6,,,,
1,47,Sandra Zahlavova,CZE,,Annika Beck *,GER,,2 - 6,1 - 6,,,,
1,48,Elena Vesnina,RUS,,Victoria Azarenka *,BLR,3,1 - 6,4 - 6,,,,
1,49,Petra Kvitova *,CZE,7,Aravane Rezai,FRA,,6 - 3,4 - 6,6 - 2,,,
1,50,Shuai Peng *,CHN,,Camila Giorgi,ITA,,6 - 4,6 - 2,,,,
1,51,Anna Karolina Schmiedlova *,SVK,,Yanina Wickmayer,BEL,,7 - 6 (7 - 5),2 - 6,6 - 2,,,
1,52,Jamie Hampton *,USA,,Lucie Safarova,CZE,25,7 - 6 (7 - 5),3 - 6,9 - 7,,,
1,53,Jelena Jankovic *,SRB,18,Daniela Hantuchova,SVK,,6 - 4,7 - 6 (9 - 7),,,,
1,54,Karolina Pliskova,CZE,,Garbine Muguruza *,ESP,,6 - 4,5 - 7,3 - 6,,,
1,55,Kristina Mladenovic *,FRA,,Lauren Davis,USA,,6 - 0,7 - 5,,,,
1,56,Kimiko Date-Krumm,JPN,,Samantha Stosur *,AUS,9,0 - 6,2 - 6,,,,
1,57,Dominika Cibulkova *,SVK,16,Lesia Tsurenko,UKR,,6 - 1,6 - 4,,,,
1,58,Marina Erakovic *,NZL,,Elena Baltacha,GBR,,6 - 3,6 - 0,,,,
1,59,Vania King *,USA,,Alexandra Cadantu,ROU,,7 - 6 (7 - 3),6 - 1,,,,
1,60,Karin Knapp,ITA,,Sloane Stephens *,USA,17,2 - 6,5 - 7,,,,
1,61,Tamira Paszek,AUT,28,Melanie Oudin *,USA,,4 - 6,3 - 6,,,,
1,62,Jie Zheng *,CHN,,Vesna Dolonc,SRB,,6 - 4,6 - 1,,,,
