Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,50,Oscar Hernandez,ESP,,Ivo Minar *,CZE,,3 - 6,6 - 7 (4 - 7),3 - 6,,,
1,51,Ivan Navarro,ESP,,Andreas Beck *,GER,,6 - 7 (9 - 11),4 - 6,1 - 6,,,
1,52,Marc Gicquel *,FRA,,Rainer Schuettler,GER,27,6 - 0,6 - 0,6 - 4,,,
1,53,Jurgen Melzer *,AUT,24,Sergio Roitman,ARG,,6 - 4,7 - 6 (7 - 4),6 - 0,,,
1,54,Guillaume Rufin *,FRA,,Eduardo Schwank,ARG,,6 - 1,6 - 3,6 - 3,,,
1,55,Victor Crivoi *,ROU,,Simon Greul,GER,,6 - 1,7 - 6 (7 - 1),6 - 2,,,
1,56,Bobby Reynolds,USA,,Gael Monfils *,FRA,11,2 - 6,3 - 6,1 - 6,,,
1,57,James Blake,USA,15,Leonardo Mayer *,ARG,,6 - 7 (6 - 8),5 - 7,2 - 6,,,
1,58,Andrei Pavel,ROU,,Tommy Haas *,GER,,1 - 6,4 - 6,4 - 6,,,
1,59,Thiago Alves,BRA,,Jeremy Chardy *,FRA,,2 - 6,6 - 7 (10 - 12),3 - 6,,,
1,60,Simone Bolelli *,ITA,,Tomas Berdych,CZE,19,6 - 4,6 - 4,5 - 7,4 - 6,6 - 3,
1,61,Paul-Henri Mathieu *,FRA,32,Laurent Recouderc,FRA,,6 - 4,6 - 4,6 - 1,,,
1,62,Robby Ginepri,USA,,Pablo Andujar *,ESP,,4 - 6,6 - 7 (7 - 9),6 - 7 (3 - 7),,,
1,63,Jose Acasuso *,ARG,,Santiago Ventura,ESP,,3 - 6,7 - 6 (7 - 5),6 - 0,6 - 3,,
1,64,Alberto Martin,ESP,,Roger Federer *,SUI,2,4 - 6,3 - 6,2 - 6,,,
2,1,Rafael Nadal *,ESP,1,Teimuraz Gabashvili,RUS,,6 - 1,6 - 4,6 - 2,,,
2,2,Andrey Golubev,KAZ,,Lleyton Hewitt *,AUS,,4 - 6,3 - 6,1 - 6,,,
2,3,Robin Soderling *,SWE,23,Denis Istomin,UZB,,6 - 4,7 - 6 (7 - 4),6 - 4,,,
2,4,Nicolas Kiefer,GER,,David Ferrer *,ESP,14,3 - 6,7 - 5,4 - 6,6 - 3,2 - 6,
2,5,Nikolay Davydenko *,RUS,10,Diego Junqueira,ARG,,4 - 6,6 - 3,6 - 0,6 - 2,,
2,6,Nicolas Massu,CHI,,Stanislas Wawrinka *,SUI,17,1 - 6,1 - 6,2 - 6,,,
2,7,Nicolas Almagro *,ESP,31,Ernests Gulbis,LAT,,6 - 7 (4 - 7),7 - 6 (7 - 5),6 - 3,6 - 2,,
2,8,Philipp Petzschner,GER,,Fernando Verdasco *,ESP,8,1 - 6,2 - 6,3 - 6,,,
2,9,Andy Murray *,GBR,3,Potito Starace,ITA,,6 - 3,2 - 6,7 - 5,6 - 4,,
2,10,Janko Tipsarevic *,SRB,,Feliciano Lopez,ESP,28,6 - 7 (9 - 11),6 - 4,7 - 6 (7 - 4),6 - 3,,
2,11,Radek Stepanek *,CZE,18,Mathieu Montcourt,FRA,,6 - 4,4 - 6,6 - 4,6 - 4,,
2,12,Dudi Sela,ISR,,Marin Cilic *,CRO,13,0 - 6,3 - 6,1 - 6,,,
2,13,Fernando Gonzalez *,CHI,12,Rui Machado,POR,,6 - 3,6 - 2,6 - 3,,,
2,14,Josselin Ouanna *,FRA,,Marat Safin,RUS,20,7 - 6 (7 - 2),7 - 6 (7 - 4),4 - 6,3 - 6,10 - 8,
2,15,Victor Hanescu *,ROU,30,Mikhail Youzhny,RUS,,7 - 5,7 - 5,7 - 5,,,
2,16,Robert Kendrick,USA,,Gilles Simon *,FRA,7,5 - 7,0 - 6,1 - 6,,,
2,17,Juan Martin Del Potro *,ARG,5,Viktor Troicki,SRB,,6 - 3,7 - 5,6 - 0,,,
2,18,Martin Vassallo Arguello,ARG,,Igor Andreev *,RUS,25,6 - 1,5 - 7,7 - 5,3 - 6,4 - 6,
2,19,Arnaud Clement,FRA,,Christophe Rochus *,BEL,,1 - 6,5 - 7,6 - 4,3 - 6,,
2,20,Juan Monaco,ARG,,Jo-Wilfried Tsonga *,FRA,9,5 - 7,6 - 2,1 - 6,6 - 7 (8 - 10),,
2,21,Tommy Robredo *,ESP,16,Daniel Gimeno-Traver,ESP,,6 - 4,6 - 4,6 - 3,,,
2,22,Andreas Seppi,ITA,,Maximo Gonzalez *,ARG,,6 - 7 (8 - 10),3 - 6,3 - 6,,,
2,23,Philipp Kohlschreiber *,GER,29,Juan Carlos Ferrero,ESP,,6 - 4,2 - 6,6 - 4,6 - 7 (3 - 7),6 - 3,
2,24,Sergiy Stakhovsky,UKR,,Novak Djokovic *,SRB,4,3 - 6,4 - 6,1 - 6,,,
2,25,Andy Roddick *,USA,6,Ivo Minar,CZE,,6 - 2,6 - 2,7 - 6 (7 - 2),,,
2,26,Andreas Beck,GER,,Marc Gicquel *,FRA,,4 - 6,7 - 6 (8 - 6),6 - 7 (3 - 7),5 - 7,,
2,27,Jurgen Melzer *,AUT,24,Guillaume Rufin,FRA,,6 - 2,7 - 5,6 - 4,,,
2,28,Victor Crivoi,ROU,,Gael Monfils *,FRA,11,4 - 6,3 - 6,3 - 6,,,
2,29,Leonardo Mayer,ARG,,Tommy Haas *,GER,,3 - 6,6 - 7 (2 - 7),6 - 3,6 - 4,3 - 6,
2,30,Jeremy Chardy *,FRA,,Simone Bolelli,ITA,,6 - 2,6 - 3,4 - 6,4 - 6,6 - 1,
2,31,Paul-Henri Mathieu *,FRA,32,Pablo Andujar,ESP,,6 - 2,6 - 3,6 - 4,,,
2,32,Jose Acasuso,ARG,,Roger Federer *,SUI,2,6 - 7 (8 - 10),7 - 5,6 - 7 (2 - 7),2 - 6,,
3,1,Rafael Nadal *,ESP,1,Lleyton Hewitt,AUS,,6 - 1,6 - 3,6 - 1,,,
3,2,Robin Soderling *,SWE,23,David Ferrer,ESP,14,6 - 7 (5 - 7),7 - 5,6 - 2,7 - 6 (7 - 5),,
3,3,Nikolay Davydenko *,RUS,10,Stanislas Wawrinka,SUI,17,6 - 3,4 - 6,6 - 3,6 - 2,,
3,4,Nicolas Almagro,ESP,31,Fernando Verdasco *,ESP,8,2 - 6,6 - 7 (4 - 7),6 - 7 (8 - 10),,,
3,5,Andy Murray *,GBR,3,Janko Tipsarevic,SRB,,7 - 6 (7 - 3),6 - 3,,,,Retired
3,6,Radek Stepanek,CZE,18,Marin Cilic *,CRO,13,1 - 6,6 - 7 (4 - 7),3 - 6,,,
3,7,Fernando Gonzalez *,CHI,12,Josselin Ouanna,FRA,,7 - 5,6 - 3,7 - 5,,,
3,8,Victor Hanescu *,ROU,30,Gilles Simon,FRA,7,6 - 4,6 - 4,6 - 2,,,
3,9,Juan Martin Del Potro *,ARG,5,Igor Andreev,RUS,25,6 - 4,7 - 5,6 - 4,,,
3,10,Christophe Rochus,BEL,,Jo-Wilfried Tsonga *,FRA,9,2 - 6,2 - 6,2 - 6,,,
3,11,Tommy Robredo *,ESP,16,Maximo Gonzalez,ARG,,4 - 6,7 - 5,6 - 1,6 - 0,,
3,12,Philipp Kohlschreiber *,GER,29,Novak Djokovic,SRB,4,6 - 4,6 - 4,6 - 4,,,
3,13,Andy Roddick *,USA,6,Marc Gicquel,FRA,,6 - 1,6 - 4,6 - 4,,,
3,14,Jurgen Melzer,AUT,24,Gael Monfils *,FRA,11,2 - 6,6 - 4,3 - 6,1 - 6,,
3,15,Tommy Haas *,GER,,Jeremy Chardy,FRA,,7 - 5,6 - 3,4 - 6,6 - 4,,
3,16,Paul-Henri Mathieu,FRA,32,Roger Federer *,SUI,2,6 - 4,1 - 6,4 - 6,4 - 6,,
4,1,Rafael Nadal,ESP,1,Robin Soderling *,SWE,23,2 - 6,7 - 6 (7 - 2),4 - 6,6 - 7 (2 - 7),,
4,2,Nikolay Davydenko *,RUS,10,Fernando Verdasco,ESP,8,6 - 2,6 - 2,6 - 4,,,
4,3,Andy Murray *,GBR,3,Marin Cilic,CRO,13,7 - 5,7 - 6 (7 - 4),6 - 1,,,
4,4,Fernando Gonzalez *,CHI,12,Victor Hanescu,ROU,30,6 - 2,6 - 4,6 - 2,,,
4,5,Juan Martin Del Potro *,ARG,5,Jo-Wilfried Tsonga,FRA,9,6 - 1,6 - 7 (5 - 7),6 - 1,6 - 4,,
4,6,Tommy Robredo *,ESP,16,Philipp Kohlschreiber,GER,29,6 - 4,5 - 7,7 - 6 (7 - 4),6 - 2,,
4,7,Andy Roddick,USA,6,Gael Monfils *,FRA,11,4 - 6,2 - 6,3 - 6,,,
4,8,Tommy Haas,GER,,Roger Federer *,SUI,2,7 - 6 (7 - 4),7 - 5,4 - 6,0 - 6,2 - 6,
5,1,Robin Soderling *,SWE,23,Nikolay Davydenko,RUS,10,6 - 1,6 - 3,6 - 1,,,
5,2,Andy Murray,GBR,3,Fernando Gonzalez *,CHI,12,3 - 6,6 - 3,0 - 6,4 - 6,,
5,3,Juan Martin Del Potro *,ARG,5,Tommy Robredo,ESP,16,6 - 3,6 - 4,6 - 2,,,
5,4,Gael Monfils,FRA,11,Roger Federer *,SUI,2,6 - 7 (6 - 8),2 - 6,4 - 6,,,
6,1,Robin Soderling *,SWE,23,Fernando Gonzalez,CHI,12,6 - 3,7 - 5,5 - 7,4 - 6,6 - 4,
6,2,Juan Martin Del Potro,ARG,5,Roger Federer *,SUI,2,6 - 3,6 - 7 (2 - 7),6 - 2,1 - 6,4 - 6,
7,1,Robin Soderling,SWE,23,Roger Federer *,SUI,2,1 - 6,6 - 7 (1 - 7),4 - 6,,,
