Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Serena Williams *,USA,1,Alize Lim,FRA,,6 - 2,6 - 1,,,,
1,2,Grace Min,USA,,Garbine Muguruza *,ESP,,5 - 7,6 - 7 (6 - 8),,,,
1,3,Anna Schmiedlova *,SVK,,Jie Zheng,CHN,,6 - 7 (2 - 7),6 - 3,6 - 4,,,
1,4,Belinda Bencic,SUI,,Venus Williams *,USA,29,4 - 6,1 - 6,,,,
1,5,Roberta Vinci,ITA,17,Pauline Parmentier *,FRA,,6 - 3,3 - 6,2 - 6,,,
1,6,Yaroslava Shvedova *,KAZ,,Lauren Davis,USA,,3 - 6,7 - 5,6 - 4,,,
1,7,Karin Knapp,ITA,,Mona Barthel *,GER,,4 - 6,0 - 6,,,,
1,8,Fiona Ferro,FRA,,Sabine Lisicki *,GER,16,1 - 6,5 - 7,,,,
1,9,Dominika Cibulkova *,SVK,9,Virginie Razzano,FRA,,7 - 5,6 - 0,,,,
1,10,Tamira Paszek *,AUT,,Alison Van Uytvanck,BEL,,6 - 2,7 - 6 (7 - 5),,,,
1,11,Amandine Hesse,FRA,,Yvonne Meusburger *,AUT,,6 - 3,3 - 6,4 - 6,,,
1,12,Monica Puig,PUR,,Samantha Stosur *,AUS,19,1 - 6,1 - 6,,,,
1,13,Kaia Kanepi,EST,25,Monica Niculescu *,ROU,,7 - 5,3 - 6,1 - 6,,,
1,14,Romina Oprandi,SUI,,Paula Ormaechea *,ARG,,5 - 7,2 - 6,,,,
1,15,Annika Beck,GER,,Tsvetana Pironkova *,BUL,,7 - 6 (7 - 5),3 - 6,2 - 6,,,
1,16,Ksenia Pervak,RUS,,Maria Sharapova *,RUS,7,1 - 6,2 - 6,,,,
1,17,Agnieszka Radwanska *,POL,3,Shuai Zhang,CHN,,6 - 3,6 - 0,,,,
1,18,Mathilde Johansson,FRA,,Karolina Pliskova *,CZE,,1 - 6,6 - 7 (5 - 7),,,,
1,19,Ajla Tomljanovic *,CRO,,Francesca Schiavone,ITA,,6 - 3,6 - 3,,,,
1,20,Christina McHale,USA,,Elena Vesnina *,RUS,32,6 - 7 (0 - 7),6 - 4,3 - 6,,,
1,21,Alize Cornet *,FRA,20,Ashleigh Barty,AUS,,6 - 2,6 - 1,,,,
1,22,Taylor Townsend *,USA,,Vania King,USA,,7 - 5,6 - 1,,,,
1,23,Timea Bacsinszky *,SUI,,Maryna Zanevska,UKR,,6 - 1,6 - 4,,,,
1,24,Yuliya Beygelzimer,UKR,,Carla Suarez Navarro *,ESP,14,5 - 7,5 - 7,,,,
1,25,Flavia Pennetta *,ITA,12,P.Mayr-Achleitner,AUT,,6 - 2,6 - 2,,,,
1,26,Maria Kirilenko,RUS,,Johanna Larsson *,SWE,,1 - 6,2 - 6,,,,
1,27,M.Larcher De Brito,POR,,Julia Goerges *,GER,,2 - 6,3 - 6,,,,
1,28,Shahar Peer,ISR,,Eugenie Bouchard *,CAN,18,0 - 6,2 - 6,,,,
1,29,Daniela Hantuchova *,SVK,31,Jovana Jaksic,SRB,,2 - 6,6 - 2,6 - 4,,,
1,30,Claire Feuerstein *,FRA,,Olga Govortsova,BLR,,6 - 1,7 - 5,,,,
1,31,Petra Cetkovska,CZE,,Varvara Lepchenko *,USA,,4 - 6,1 - 6,,,,
1,32,Katarzyna Piter,POL,,Angelique Kerber *,GER,8,3 - 6,1 - 6,,,,
1,33,Petra Kvitova *,CZE,5,Zarina Diyas,KAZ,,7 - 5,6 - 2,,,,
1,34,Marina Erakovic *,NZL,,Nadiya Kichenok,UKR,,6 - 2,6 - 1,,,,
1,35,Bojana Jovanovski,SRB,,Camila Giorgi *,ITA,,4 - 6,3 - 6,,,,
1,36,Sofia Shapatava,GEO,,Svetlana Kuznetsova *,RUS,27,3 - 6,1 - 6,,,,
1,37,Lucie Safarova *,CZE,23,Mandy Minella,LUX,,6 - 3,7 - 5,,,,
1,38,Casey Dellacqua *,AUS,,Lourdes Dominguez Lino,ESP,,7 - 5,6 - 3,,,,
1,39,Elina Svitolina *,UKR,,Petra Martic,CRO,,5 - 0,,,,,Retired
1,40,Caroline Garcia,FRA,,Ana Ivanovic *,SRB,11,1 - 6,3 - 6,,,,
1,41,Sloane Stephens *,USA,15,Shuai Peng,CHN,,6 - 4,7 - 6 (10 - 8),,,,
1,42,Polona Hercog *,SLO,,Jana Cepelova,SVK,,6 - 2,6 - 3,,,,
1,43,Iveta Melzer,CZE,,Coco Vandeweghe *,USA,,6 - 7 (6 - 8),2 - 6,,,,
1,44,Shelby Rogers,USA,,Ekaterina Makarova *,RUS,22,2 - 6,3 - 6,,,,
1,45,Klara Koukalova,CZE,30,Mt.Torro-Flor *,ESP,,6 - 7 (4 - 7),2 - 6,,,,
1,46,Magdalena Rybarikova *,SVK,,Urszula Radwanska,POL,,4 - 6,6 - 4,3 - 0,,,Retired
1,47,Heather Watson *,GBR,,B.Zahlavova Strycova,CZE,,6 - 3,6 - 4,,,,
1,48,Alisa Kleybanova,RUS,,Simona Halep *,ROU,4,0 - 6,2 - 6,,,,
1,49,Jelena Jankovic *,SRB,6,Sharon Fichman,CAN,,5 - 7,6 - 1,6 - 3,,,
1,50,Anna Tatishvili,USA,,Kurumi Nara *,JPN,,1 - 6,4 - 6,,,,
1,51,Teliana Pereira *,BRA,,Luksika Kumkhum,THA,,4 - 6,6 - 1,6 - 1,,,
1,52,Aleksandra Wozniak,CAN,,Sorana Cirstea *,ROU,26,7 - 6 (7 - 3),5 - 7,2 - 6,,,
1,53,Kirsten Flipkens *,BEL,21,Danka Kovinic,MNE,,7 - 6 (8 - 6),6 - 2,,,,
1,54,Donna Vekic,CRO,,Julia Glushko *,ISR,,5 - 7,6 - 2,4 - 6,,,
1,55,E.Cabeza Candela,ESP,,Dinah Pfizenmaier *,GER,,6 - 4,3 - 6,3 - 6,,,
1,56,Madison Keys,USA,,Sara Errani *,ITA,10,5 - 7,6 - 3,1 - 6,,,
1,57,Caroline Wozniacki,DEN,13,Yanina Wickmayer *,BEL,,6 - 7 (5 - 7),6 - 4,2 - 6,,,
1,58,Silvia Soler-Espinosa *,ESP,,Chanelle Scheepers,RSA,,6 - 2,6 - 3,,,,
1,59,Alexandra Cadantu,ROU,,Kiki Bertens *,NED,,6 - 7 (5 - 7),1 - 6,,,,
