Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Caroline Wozniacki *,DEN,1,Nuria Llagostera Vives,ESP,,6 - 3,6 - 1,,,,
1,2,Arantxa Rus *,NED,,Elena Vesnina,RUS,,6 - 2,6 - 4,,,,
1,3,Vania King *,USA,,Greta Arn,HUN,,6 - 1,6 - 4,,,,
1,4,Iveta Benesova,CZE,,Jarmila Gajdosova *,AUS,29,6 - 7 (5 - 7),5 - 7,,,,
1,5,Daniela Hantuchova,SVK,21,Pauline Parmentier *,FRA,,2 - 6,3 - 6,,,,
1,6,Akgul Amanmuradova *,UZB,,Tamira Paszek,AUT,,6 - 4,6 - 2,,,,
1,7,Jamie Hampton,USA,,Elena Baltacha *,GBR,,6 - 2,2 - 6,1 - 5,,,Retired
1,8,Sara Errani,ITA,,Svetlana Kuznetsova *,RUS,15,5 - 7,1 - 6,,,,
1,9,Andrea Petkovic *,GER,10,Ekaterina Bychkova,RUS,,6 - 2,6 - 2,,,,
1,10,Vitalia Diatchenko,RUS,,Jie Zheng *,CHN,,6 - 4,5 - 7,2 - 6,,,
1,11,Casey Dellacqua,AUS,,Alize Cornet *,FRA,,5 - 7,0 - 6,,,,
1,12,Irina-Camelia Begu,ROU,,Roberta Vinci *,ITA,18,3 - 6,4 - 6,,,,
1,13,Kaia Kanepi *,EST,31,Tamarine Tanasugarn,THA,,6 - 4,6 - 3,,,,
1,14,Kimiko Date-Krumm,JPN,,Silvia Soler-Espinosa *,ESP,,6 - 7 (5 - 7),6 - 7 (2 - 7),,,,
1,15,Mathilde Johansson,FRA,,Carla Suarez Navarro *,ESP,,2 - 6,6 - 4,5 - 7,,,
1,16,Simona Halep *,ROU,,Na Li,CHN,6,6 - 2,7 - 5,,,,
1,17,Victoria Azarenka *,BLR,4,Johanna Larsson,SWE,,6 - 1,6 - 3,,,,
1,18,Rebecca Marino,CAN,,Gisela Dulko *,ARG,,3 - 6,3 - 6,,,,
1,19,Michaella Krajicek *,NED,,Eleni Daniilidou,GRE,,3 - 6,7 - 6 (7 - 4),6 - 1,,,
1,20,Bojana Jovanovski,SRB,,Serena Williams *,USA,28,1 - 6,1 - 6,,,,
1,21,Shahar Peer *,ISR,23,Sania Mirza,IND,,6 - 7 (5 - 7),6 - 3,6 - 1,,,
1,22,Reka-Luca Jani,HUN,,Sloane Stephens *,USA,,2 - 6,6 - 3,6 - 7 (3 - 7),,,
1,23,Evgeniya Rodina,RUS,,Petra Cetkovska *,CZE,,6 - 1,1 - 6,2 - 6,,,
1,24,Ksenia Pervak,RUS,,Ana Ivanovic *,SRB,16,4 - 6,2 - 6,,,,
1,25,Jelena Jankovic *,SRB,11,Alison Riske,USA,,6 - 2,6 - 0,,,,
1,26,Jelena Dokic *,AUS,,Olga Govortsova,BLR,,6 - 3,6 - 1,,,,
1,27,Petra Martic *,CRO,,Barbora Zahlavova Strycova,CZE,,5 - 7,6 - 3,6 - 4,,,
1,28,Anna Tatishvili,GEO,,Anastasia Pavlyuchenkova *,RUS,17,2 - 6,2 - 6,,,,
1,29,Maria Jose Martinez Sanchez,ESP,32,Mona Barthel *,GER,,3 - 6,4 - 6,,,,
1,30,Chanelle Scheepers *,RSA,,Anne Keothavong,GBR,,7 - 5,6 - 3,,,,
1,31,Mirjana Lucic *,CRO,,Marina Erakovic,NZL,,6 - 4,2 - 6,6 - 4,,,
1,32,Galina Voskoboeva,KAZ,,Francesca Schiavone *,ITA,7,3 - 6,6 - 1,4 - 6,,,
1,33,Petra Kvitova,CZE,5,Alexandra Dulgheru *,ROU,,6 - 7 (3 - 7),3 - 6,,,,
1,34,Patricia Mayr-Achleitner,AUT,,Monica Niculescu *,ROU,,3 - 6,3 - 6,,,,
1,35,Jill Craybas,USA,,Madison Keys *,USA,,2 - 6,4 - 6,,,,
1,36,Magdalena Rybarikova,SVK,,Lucie Safarova *,CZE,27,6 - 2,3 - 6,2 - 6,,,
1,37,Yanina Wickmayer *,BEL,20,Sorana Cirstea,ROU,,6 - 1,7 - 5,,,,
1,38,Alla Kudryavtseva *,RUS,,Anastasia Rodionova,AUS,,7 - 6 (7 - 1),7 - 5,,,,
1,39,Lauren Davis,USA,,Angelique Kerber *,GER,,6 - 7 (3 - 7),3 - 6,,,,
1,40,Urszula Radwanska,POL,,Agnieszka Radwanska *,POL,12,2 - 6,3 - 6,,,,
1,41,Shuai Peng *,CHN,13,Varvara Lepchenko,USA,,6 - 3,6 - 4,,,,
1,42,Virginie Razzano,FRA,,Tsvetana Pironkova *,BUL,,2 - 6,3 - 6,,,,
1,43,Misaki Doi,JPN,,Laura Pous-Tio *,ESP,,2 - 6,7 - 6 (14 - 12),2 - 5,,,Retired
1,44,Kristina Barrois,GER,,Julia Goerges *,GER,19,3 - 6,2 - 6,,,,
1,45,Flavia Pennetta *,ITA,26,Aravane Rezai,FRA,,6 - 1,6 - 4,,,,
1,46,Melanie Oudin,USA,,Romina Oprandi *,ITA,,0 - 6,6 - 7 (7 - 9),,,,
1,47,Anastasiya Yakimova *,BLR,,Noppawan Lertcheewakarn,THA,,6 - 0,4 - 6,6 - 3,,,
1,48,Heather Watson,GBR,,Maria Sharapova *,RUS,3,6 - 3,5 - 7,3 - 6,,,
1,49,Marion Bartoli *,FRA,8,Alexandra Panova,RUS,,7 - 5,6 - 3,,,,
1,50,Christina McHale *,USA,,Aleksandra Wozniak,CAN,,6 - 3,6 - 7 (5 - 7),6 - 4,,,
1,51,Vera Dushevina *,RUS,,Anastasija Sevastova,LAT,,6 - 3,6 - 4,,,,
1,52,Ekaterina Makarova,RUS,,Maria Kirilenko *,RUS,25,6 - 4,1 - 6,6 - 7 (3 - 7),,,
1,53,Nadia Petrova *,RUS,24,Yung-Jan Chan,TPE,,6 - 3,1 - 6,6 - 4,,,
1,54,Bethanie Mattek-Sands,USA,,Polona Hercog *,SLO,,1 - 6,3 - 6,,,,
1,55,Coco Vandeweghe *,USA,,Alberta Brianti,ITA,,7 - 5,6 - 3,,,,
1,56,Sofia Arvidsson,SWE,,Samantha Stosur *,AUS,9,2 - 6,3 - 6,,,,
1,57,Dominika Cibulkova *,SVK,14,Shuai Zhang,CHN,,6 - 3,6 - 4,,,,
1,58,Klara Zakopalova,CZE,,Irina Falconi *,USA,,6 - 3,4 - 6,2 - 6,,,
1,59,Vesna Dolonts,RUS,,Venus Williams *,USA,,4 - 6,3 - 6,,,,
1,60,Alona Bondarenko,UKR,,Sabine Lisicki *,GER,22,3 - 6,3 - 6,,,,
1,61,Anabel Medina Garrigues *,ESP,30,Karin Knapp,ITA,,6 - 7 (4 - 7),6 - 4,6 - 3,,,
1,62,Laura Robson *,GBR,,Ayumi Morita,JPN,,7 - 6 (7 - 5),1 - 0,,,,Retired
1,63,Lucie Hradecka,CZE,,Kateryna Bondarenko *,UKR,,3 - 6,0 - 6,,,,
1,64,Stephanie Foretz Gacon,FRA,,Vera Zvonareva *,RUS,2,3 - 6,0 - 6,,,,
2,1,Caroline Wozniacki *,DEN,1,Arantxa Rus,NED,,6 - 2,6 - 0,,,,
