Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Serena Williams *,USA,1,Michelle Larcher De Brito,POR,,6 - 0,6 - 4,,,,
1,2,Anna Chakvetadze *,RUS,,Andrea Petkovic,GER,,3 - 6,6 - 4,6 - 4,,,
1,3,Tamarine Tanasugarn,THA,,Ayumi Morita *,JPN,,5 - 7,1 - 6,,,,
1,4,Dominika Cibulkova *,SVK,,Lucie Safarova,CZE,25,7 - 6 (7 - 5),6 - 4,,,,
1,5,Daniela Hantuchova *,SVK,24,Vania King,USA,,6 - 7 (4 - 7),7 - 6 (7 - 4),6 - 3,,,
1,6,Barbora Zahlavova Strycova *,CZE,,Elena Vesnina,RUS,,6 - 1,6 - 3,,,,
1,7,Ioana Raluca Olaru *,ROU,,Alize Cornet,FRA,,5 - 7,6 - 4,6 - 4,,,
1,8,Anastasia Pivovarova,RUS,,Maria Sharapova *,RUS,16,1 - 6,0 - 6,,,,
1,9,Na Li *,CHN,9,Chanelle Scheepers,RSA,,7 - 6 (7 - 5),6 - 2,,,,
1,10,Mariana Duque Marino,COL,,Kurumi Nara *,JPN,,4 - 6,2 - 6,,,,
1,11,Anne Keothavong,GBR,,Anastasia Rodionova *,AUS,,6 - 3,2 - 6,4 - 6,,,
1,12,Akgul Amanmuradova,UZB,,Svetlana Kuznetsova *,RUS,19,2 - 6,7 - 6 (7 - 5),4 - 6,,,
1,13,Sara Errani *,ITA,32,Julie Coin,FRA,,6 - 2,6 - 4,,,,
1,14,Arantxa Parra Santonja *,ESP,,Olga Govortsova,BLR,,6 - 3,2 - 6,6 - 4,,,
1,15,Alberta Brianti *,ITA,,Jill Craybas,USA,,6 - 2,7 - 5,,,,
1,16,Melinda Czink,HUN,,Agnieszka Radwanska *,POL,7,3 - 6,3 - 6,,,,
1,17,Caroline Wozniacki *,DEN,3,Tathiana Garbin,ITA,,6 - 1,6 - 1,,,,
1,18,Arantxa Rus,NED,,Kai-Chen Chang *,TPE,,0 - 6,6 - 2,3 - 6,,,
1,19,Sybille Bammer,AUT,,Roberta Vinci *,ITA,,3 - 6,3 - 6,,,,
1,20,Iveta Benesova,CZE,,Anastasia Pavlyuchenkova *,RUS,29,3 - 6,4 - 6,,,,
1,21,Jie Zheng *,CHN,23,Pauline Parmentier,FRA,,7 - 5,6 - 4,,,,
1,22,Sorana Cirstea,ROU,,Petra Kvitova *,CZE,,2 - 6,2 - 6,,,,
1,23,Bojana Jovanovski *,SRB,,Casey Dellacqua,AUS,,6 - 1,6 - 0,,,,
1,24,Mirjana Lucic,CRO,,Victoria Azarenka *,BLR,14,3 - 6,3 - 6,,,,
1,25,Flavia Pennetta *,ITA,10,Anabel Medina Garrigues,ESP,,6 - 4,6 - 0,,,,
1,26,Monica Niculescu *,ROU,,Gisela Dulko,ARG,,6 - 3,6 - 2,,,,
1,27,Klara Zakopalova *,CZE,,Yvonne Meusburger,AUT,,6 - 7 (1 - 7),6 - 1,6 - 0,,,
1,28,Magdalena Rybarikova,SVK,,Aravane Rezai *,FRA,18,7 - 6 (10 - 8),2 - 6,5 - 7,,,
1,29,Alexandra Dulgheru *,ROU,31,Kimiko Date Krumm,JPN,,6 - 2,6 - 7 (3 - 7),6 - 1,,,
1,30,Romina Sarina Oprandi *,ITA,,Heather Watson,GBR,,6 - 4,1 - 6,6 - 3,,,
1,31,Timea Bacsinszky,SUI,,Edina Gallovits *,ROU,,6 - 4,5 - 7,3 - 6,,,
1,32,Kaia Kanepi *,EST,,Samantha Stosur,AUS,6,6 - 4,6 - 4,,,,
1,33,Kim Clijsters *,BEL,8,Maria Elena Camerin,ITA,,6 - 0,6 - 3,,,,
1,34,Karolina Sprem *,CRO,,Bethanie Mattek-Sands,USA,,6 - 3,6 - 4,,,,
1,35,Shenay Perry *,USA,,Anastasiya Yakimova,BLR,,6 - 2,4 - 6,9 - 7,,,
1,36,Stefanie Voegele,SUI,,Maria Kirilenko *,RUS,27,6 - 2,4 - 6,5 - 7,,,
1,37,Justine Henin *,BEL,17,Anastasija Sevastova,LAT,,6 - 4,6 - 3,,,,
1,38,Kristina Barrois *,GER,,Mariya Koryttseva,UKR,,6 - 3,6 - 4,,,,
1,39,Yung-Jan Chan *,TPE,,Patty Schnyder,SUI,,6 - 0,6 - 2,,,,
1,40,Tatjana Malek,GER,,Nadia Petrova *,RUS,12,4 - 6,3 - 6,,,,
1,41,Yanina Wickmayer *,BEL,15,Alison Riske,USA,,6 - 4,5 - 7,6 - 3,,,
1,42,Stephanie Dubois,CAN,,Kirsten Flipkens *,BEL,,4 - 6,4 - 6,,,,
1,43,Noppawan Lertcheewakarn,THA,,Andrea Hlavackova *,CZE,,3 - 6,2 - 6,,,,
1,44,Nuria Llagostera Vives,ESP,,Vera Zvonareva *,RUS,21,4 - 6,1 - 6,,,,
1,45,Alona Bondarenko *,UKR,28,Katie O'Brien,GBR,,6 - 3,6 - 7 (10 - 12),6 - 4,,,
1,46,Lucie Hradecka,CZE,,Varvara Lepchenko *,USA,,4 - 6,5 - 7,,,,
1,47,Eleni Daniilidou,GRE,,Aleksandra Wozniak *,CAN,,5 - 7,5 - 7,,,,
1,48,Laura Robson,GBR,,Jelena Jankovic *,SRB,4,3 - 6,6 - 7 (5 - 7),,,,
1,49,Francesca Schiavone,ITA,5,Vera Dushevina *,RUS,,7 - 6 (7 - 0),5 - 7,1 - 6,,,
1,50,Tsvetana Pironkova *,BUL,,Anna Lapushchenkova,RUS,,6 - 0,7 - 6 (9 - 7),,,,
1,51,Regina Kulikova *,RUS,,Melanie South,GBR,,6 - 1,6 - 2,,,,
1,52,Polona Hercog,SLO,,Yaroslava Shvedova *,KAZ,30,1 - 6,4 - 6,,,,
1,53,Kateryna Bondarenko,UKR,34,Greta Arn *,HUN,,6 - 7 (1 - 7),6 - 3,3 - 6,,,
1,54,Zuzana Kucova,SVK,,Alicia Molik *,AUS,,2 - 6,5 - 7,,,,
1,55,Petra Martic *,CRO,,Elena Baltacha,GBR,,2 - 6,7 - 5,6 - 3,,,
1,56,Julia Goerges,GER,,Marion Bartoli *,FRA,11,4 - 6,3 - 6,,,,
1,57,Shahar Peer *,ISR,13,Ana Ivanovic,SRB,,6 - 3,6 - 4,,,,
1,58,Sania Mirza,IND,,Angelique Kerber *,GER,,4 - 6,1 - 6,,,,
1,59,Renata Voracova,CZE,,Jarmila Groth *,AUS,,4 - 6,3 - 6,,,,
1,60,Anna-Lena Groenefeld,GER,,Melanie Oudin *,USA,33,3 - 6,0 - 6,,,,
1,61,Alisa Kleybanova *,RUS,26,Sandra Zahlavova,CZE,,6 - 2,6 - 3,,,,
1,62,Sofia Arvidsson,SWE,,Alla Kudryavtseva *,RUS,,4 - 6,1 - 6,,,,
1,63,Ekaterina Makarova *,RUS,,Agnes Szavay,HUN,,6 - 4,7 - 6 (7 - 2),,,,
1,64,Rossana De Los Rios,PAR,,Venus Williams *,USA,2,3 - 6,2 - 6,,,,
2,1,Serena Williams *,USA,1,Anna Chakvetadze,RUS,,6 - 0,6 - 1,,,,
2,2,Ayumi Morita,JPN,,Dominika Cibulkova *,SVK,,7 - 6 (7 - 4),6 - 7 (2 - 7),5 - 7,,,
2,3,Daniela Hantuchova,SVK,24,Barbora Zahlavova Strycova *,CZE,,6 - 1,2 - 6,4 - 6,,,
2,4,Ioana Raluca Olaru,ROU,,Maria Sharapova *,RUS,16,1 - 6,4 - 6,,,,
2,5,Na Li *,CHN,9,Kurumi Nara,JPN,,6 - 2,6 - 4,,,,
2,6,Anastasia Rodionova *,AUS,,Svetlana Kuznetsova,RUS,19,6 - 4,2 - 6,6 - 4,,,
2,7,Sara Errani *,ITA,32,Arantxa Parra Santonja,ESP,,6 - 2,6 - 2,,,,
2,8,Alberta Brianti,ITA,,Agnieszka Radwanska *,POL,7,2 - 6,0 - 6,,,,
2,9,Caroline Wozniacki *,DEN,3,Kai-Chen Chang,TPE,,6 - 4,6 - 3,,,,
2,10,Roberta Vinci,ITA,,Anastasia Pavlyuchenkova *,RUS,29,2 - 6,6 - 7 (1 - 7),,,,
2,11,Jie Zheng,CHN,23,Petra Kvitova *,CZE,,4 - 6,6 - 2,2 - 6,,,
2,12,Bojana Jovanovski,SRB,,Victoria Azarenka *,BLR,14,1 - 6,4 - 6,,,,
2,13,Flavia Pennetta *,ITA,10,Monica Niculescu,ROU,,6 - 1,6 - 1,,,,
2,14,Klara Zakopalova *,CZE,,Aravane Rezai,FRA,18,5 - 7,6 - 3,6 - 3,,,
2,15,Alexandra Dulgheru *,ROU,31,Romina Sarina Oprandi,ITA,,6 - 2,6 - 0,,,,
2,16,Edina Gallovits,ROU,,Kaia Kanepi *,EST,,4 - 6,5 - 7,,,,
2,17,Kim Clijsters *,BEL,8,Karolina Sprem,CRO,,6 - 3,6 - 2,,,,
2,18,Shenay Perry,USA,,Maria Kirilenko *,RUS,27,1 - 6,4 - 6,,,,
2,19,Justine Henin *,BEL,17,Kristina Barrois,GER,,6 - 3,7 - 5,,,,
2,20,Yung-Jan Chan,TPE,,Nadia Petrova *,RUS,12,3 - 6,4 - 6,,,,
2,21,Yanina Wickmayer *,BEL,15,Kirsten Flipkens,BEL,,7 - 6 (11 - 9),6 - 4,,,,
