Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Roger Federer *,SUI,1,Peter Luczak,AUS,,6 - 4,6 - 1,6 - 2,,,
1,2,Janko Tipsarevic,SRB,,Alejandro Falla *,COL,,1 - 6,2 - 6,3 - 6,,,
1,3,Benoit Paire,FRA,,Olivier Rochus *,BEL,,6 - 3,6 - 7 (4 - 7),4 - 6,5 - 7,,
1,4,Julian Reister *,GER,,Feliciano Lopez,ESP,27,6 - 1,7 - 6 (7 - 5),6 - 2,,,
1,5,Stanislas Wawrinka *,SUI,20,Jan Hajek,CZE,,6 - 1,6 - 3,6 - 3,,,
1,6,Paolo Lorenzi,ITA,,Andreas Beck *,GER,,6 - 4,3 - 6,2 - 6,2 - 6,,
1,7,Nicolas Massu,CHI,,Fabio Fognini *,ITA,,1 - 6,6 - 3,6 - 2,3 - 6,3 - 6,
1,8,Dieter Kindlmann,GER,,Gael Monfils *,FRA,13,3 - 6,5 - 7,7 - 6 (7 - 5),2 - 6,,
1,9,Marin Cilic *,CRO,10,Ricardo Mello,BRA,,6 - 1,3 - 6,6 - 3,6 - 1,,
1,10,Dmitry Tursunov,RUS,,Daniel Gimeno-Traver *,ESP,,1 - 6,1 - 6,1 - 6,,,
1,11,Leonardo Mayer *,ARG,,Sergiy Stakhovsky,UKR,,7 - 6 (7 - 4),6 - 3,6 - 2,,,
1,12,Julien Benneteau *,FRA,,Ernests Gulbis,LAT,23,6 - 4,6 - 2,1 - 0,,,Retired
1,13,Albert Montanes *,ESP,29,Stefano Galvani,ITA,,6 - 3,6 - 3,6 - 3,,,
1,14,Stephane Robert,FRA,,Tobias Kamke *,GER,,0 - 6,4 - 6,3 - 6,,,
1,15,Nicolas Lapentti,ECU,,Taylor Dent *,USA,,3 - 6,4 - 6,6 - 7 (3 - 7),,,
1,16,Laurent Recouderc,FRA,,Robin Soderling *,SWE,5,0 - 6,2 - 6,3 - 6,,,
1,17,Andy Murray *,GBR,4,Richard Gasquet,FRA,,4 - 6,6 - 7 (5 - 7),6 - 4,6 - 2,6 - 1,
1,18,Juan Ignacio Chela *,ARG,,Ryan Sweeting,USA,,6 - 0,6 - 4,7 - 6 (7 - 4),,,
1,19,Paul-Henri Mathieu,FRA,,Marcel Granollers *,ESP,,6 - 3,3 - 6,0 - 3,,,Retired
1,20,Jesse Witten,USA,,Marcos Baghdatis *,CYP,25,3 - 6,4 - 6,3 - 6,,,
1,21,John Isner *,USA,17,Andrey Golubev,KAZ,,6 - 4,6 - 3,6 - 2,,,
1,22,Somdev Devvarman,IND,,Marco Chiudinelli *,SUI,,3 - 6,6 - 3,3 - 6,6 - 3,3 - 6,
1,23,Edouard Roger-Vasselin *,FRA,,Kevin Anderson,RSA,,1 - 6,4 - 6,6 - 3,7 - 6 (7 - 4),6 - 1,
1,24,Jorge Aguilar,CHI,,Tomas Berdych *,CZE,15,6 - 7 (7 - 9),3 - 6,1 - 6,,,
1,25,Mikhail Youzhny *,RUS,11,Michal Przysiezny,POL,,6 - 1,6 - 0,6 - 4,,,
1,26,Michael Yani,USA,,Lukas Lacko *,SVK,,6 - 4,6 - 7 (5 - 7),6 - 7 (4 - 7),7 - 6 (7 - 5),10 - 12,
1,27,Philipp Petzschner,GER,,Carsten Ball *,AUS,,6 - 3,7 - 6 (7 - 4),2 - 6,5 - 7,7 - 9,
1,28,Viktor Troicki *,SRB,,Tommy Robredo,ESP,21,6 - 4,6 - 4,6 - 3,,,
1,29,Guillermo Garcia-Lopez *,ESP,32,Rainer Schuettler,GER,,7 - 5,6 - 4,6 - 2,,,
1,30,Olivier Patience,FRA,,Thiemo De Bakker *,NED,,4 - 6,7 - 5,4 - 6,3 - 6,,
1,31,Josselin Ouanna *,FRA,,Lukasz Kubot,POL,,7 - 6 (7 - 5),6 - 7 (4 - 7),6 - 2,6 - 4,,
1,32,Daniel Brands,GER,,Jo-Wilfried Tsonga *,FRA,8,6 - 4,3 - 6,2 - 6,7 - 6 (7 - 2),5 - 7,
1,33,Andy Roddick *,USA,6,Jarkko Nieminen,FIN,,6 - 2,4 - 6,4 - 6,7 - 6 (7 - 4),6 - 3,
