Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Serena Williams *,USA,1,Francesca Schiavone,ITA,,6 - 0,6 - 1,,,,
1,2,Galina Voskoboeva *,KAZ,,Monica Niculescu,ROU,,6 - 4,6 - 3,,,,
1,3,Yaroslava Shvedova *,KAZ,,Olga Puchkova,RUS,,6 - 1,6 - 0,,,,
1,4,P.Mayr-Achleitner *,AUT,,Magdalena Rybarikova,SVK,29,7 - 6 (7 - 2),6 - 3,,,,
1,5,Jamie Hampton *,USA,23,Lara Arruabarrena,ESP,,6 - 4,6 - 2,,,,
1,6,Kristina Mladenovic *,FRA,,A.Medina Garrigues,ESP,,6 - 1,1 - 6,6 - 1,,,
1,7,Irina-Camelia Begu,ROU,,Urszula Radwanska *,POL,,1 - 6,3 - 6,,,,
1,8,Mandy Minella,LUX,,Sloane Stephens *,USA,15,6 - 4,3 - 6,6 - 7 (5 - 7),,,
1,9,Kirsten Flipkens,BEL,12,Venus Williams *,USA,,1 - 6,2 - 6,,,,
1,10,Kiki Bertens,NED,,Jie Zheng *,CHN,,1 - 6,3 - 6,,,,
1,11,Coco Vandeweghe *,USA,,Aleksandra Krunic,SRB,,6 - 4,7 - 6 (7 - 5),,,,
1,12,Lauren Davis,USA,,Carla Suarez Navarro *,ESP,18,0 - 6,0 - 6,,,,
1,13,Kaia Kanepi *,EST,25,Vania King,USA,,4 - 6,7 - 6 (7 - 4),6 - 1,,,
1,14,Stefanie Voegele,SUI,,Anna Schmiedlova *,SVK,,1 - 6,7 - 5,6 - 7 (4 - 7),,,
1,15,Karolina Pliskova,CZE,,Eugenie Bouchard *,CAN,,6 - 4,4 - 6,5 - 7,,,
1,16,Lucie Hradecka,CZE,,Angelique Kerber *,GER,8,1 - 6,1 - 6,,,,
1,17,Agnieszka Radwanska *,POL,3,Silvia Soler-Espinosa,ESP,,6 - 1,6 - 2,,,,
1,18,M.Torro-Flor *,ESP,,Marina Erakovic,NZL,,6 - 0,6 - 4,,,,
1,19,E.Cabeza Candela,ESP,,Ashleigh Barty *,AUS,,1 - 6,4 - 6,,,,
1,20,Virginie Razzano,FRA,,A.Pavlyuchenkova *,RUS,32,5 - 7,0 - 6,,,,
1,21,Ekaterina Makarova *,RUS,24,Polona Hercog,SLO,,6 - 2,6 - 4,,,,
1,22,Mathilde Johansson,FRA,,Bethanie Mattek-Sands *,USA,,3 - 6,1 - 6,,,,
1,23,Paula Ormaechea *,ARG,,Kimiko Date-Krumm,JPN,,6 - 3,7 - 6 (9 - 7),,,,
1,24,Vera Dushevina,RUS,,Sabine Lisicki *,GER,16,2 - 6,6 - 7 (3 - 7),,,,
1,25,Jelena Jankovic *,SRB,9,Madison Keys,USA,,6 - 3,6 - 4,,,,
1,26,Monica Puig,PUR,,Alisa Kleybanova *,RUS,,4 - 6,6 - 3,5 - 7,,,
1,27,Kurumi Nara *,JPN,,Alexandra Cadantu,ROU,,6 - 2,6 - 2,,,,
1,28,Sharon Fichman,CAN,,Sorana Cirstea *,ROU,19,5 - 7,7 - 5,1 - 6,,,
1,29,Laura Robson *,GBR,30,Lourdes Dominguez Lino,ESP,,7 - 5,6 - 0,,,,
1,30,Caroline Garcia *,FRA,,Shelby Rogers,USA,,6 - 3,6 - 2,,,,
1,31,Petra Cetkovska,CZE,,Sofia Arvidsson *,SWE,,6 - 1,4 - 6,1 - 6,,,
1,32,Olga Govortsova,BLR,,Na Li *,CHN,5,2 - 6,2 - 6,,,,
1,33,Caroline Wozniacki *,DEN,6,Ying-Ying Duan,CHN,,6 - 2,7 - 5,,,,
1,34,Chanelle Scheepers *,RSA,,Chanel Simmonds,RSA,,2 - 6,6 - 2,6 - 1,,,
1,35,Jana Cepelova,SVK,,Camila Giorgi *,ITA,,2 - 6,2 - 6,,,,
1,36,Su-Wei Hsieh *,TPE,,Klara Zakopalova,CZE,31,6 - 3,6 - 3,,,,
1,37,Elena Vesnina *,RUS,22,Annika Beck,GER,,6 - 1,6 - 1,,,,
1,38,Karin Knapp *,ITA,,Grace Min,USA,,6 - 3,6 - 1,,,,
1,39,Lesia Tsurenko,UKR,,Lucie Safarova *,CZE,,3 - 6,6 - 2,4 - 6,,,
1,40,Timea Babos,HUN,,Roberta Vinci *,ITA,10,4 - 6,2 - 6,,,,
1,41,Maria Kirilenko *,RUS,14,Yanina Wickmayer,BEL,,6 - 1,6 - 1,,,,
1,42,M.Larcher De Brito *,POR,,Eleni Daniilidou,GRE,,6 - 4,6 - 3,,,,
1,43,Donna Vekic *,CRO,,Mariana Duque-Marino,COL,,7 - 6 (7 - 5),4 - 6,6 - 2,,,
1,44,Heather Watson,GBR,,Simona Halep *,ROU,21,6 - 4,4 - 6,2 - 6,,,
1,45,Svetlana Kuznetsova *,RUS,27,Mallory Burdette,USA,,6 - 3,7 - 5,,,,
1,46,Shuai Peng *,CHN,,Yvonne Meusburger,AUT,,6 - 3,6 - 4,,,,
1,47,Nicole Gibbs,USA,,Flavia Pennetta *,ITA,,0 - 6,2 - 6,,,,
1,48,Olivia Rogowska,AUS,,Sara Errani *,ITA,4,0 - 6,0 - 6,,,,
1,49,Petra Kvitova *,CZE,7,Misaki Doi,JPN,,6 - 2,3 - 6,6 - 1,,,
1,50,Bojana Jovanovski *,SRB,,Andrea Petkovic,GER,,6 - 2,6 - 4,,,,
1,51,Tsvetana Pironkova,BUL,,Alison Riske *,USA,,3 - 6,3 - 6,,,,
1,52,Johanna Larsson,SWE,,Mona Barthel *,GER,28,1 - 6,4 - 6,,,,
1,53,Nadia Petrova,RUS,20,Julia Glushko *,ISR,,3 - 6,4 - 6,,,,
1,54,Mirjana Lucic-Baroni,CRO,,Sachia Vickery *,USA,,4 - 6,4 - 6,,,,
1,55,Maria Sanchez,USA,,Daniela Hantuchova *,SVK,,5 - 7,2 - 6,,,,
1,56,Victoria Duval *,USA,,Samantha Stosur,AUS,11,5 - 7,6 - 4,6 - 4,,,
1,57,Ana Ivanovic *,SRB,13,Anna Tatishvili,GEO,,6 - 2,6 - 0,,,,
1,58,Varvara Lepchenko,USA,,Alexandra Dulgheru *,ROU,,7 - 6 (7 - 5),2 - 6,6 - 7 (5 - 7),,,
1,59,Julia Goerges,GER,,Christina McHale *,USA,,4 - 6,3 - 6,,,,
1,60,Elina Svitolina *,UKR,,Dominika Cibulkova,SVK,17,6 - 4,6 - 3,,,,
1,61,Alize Cornet *,FRA,26,Maria Joao Koehler,POR,,6 - 3,6 - 2,,,,
1,62,Casey Dellacqua,AUS,,Ajla Tomljanovic *,CRO,,6 - 3,1 - 6,4 - 6,,,
1,63,Aleksandra Wozniak *,CAN,,Vesna Dolonc,SRB,,7 - 5,7 - 6 (7 - 5),,,,
1,64,Dinah Pfizenmaier,GER,,Victoria Azarenka *,BLR,2,0 - 6,0 - 6,,,,
2,1,Serena Williams *,USA,1,Galina Voskoboeva,KAZ,,6 - 3,6 - 0,,,,
2,2,Yaroslava Shvedova *,KAZ,,P.Mayr-Achleitner,AUT,,6 - 2,6 - 3,,,,
2,3,Jamie Hampton *,USA,23,Kristina Mladenovic,FRA,,7 - 5,6 - 4,,,,
2,4,Urszula Radwanska,POL,,Sloane Stephens *,USA,15,1 - 6,1 - 6,,,,
