Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Rafael Nadal *,ESP,1,Bernard Tomic,AUS,,6 - 4,,,,,Retired
1,2,Thanasi Kokkinakis *,AUS,,Igor Sijsling,NED,,7 - 6 (7 - 4),0 - 6,7 - 6 (7 - 3),6 - 2,,
1,3,Tobias Kamke,GER,,Jack Sock *,USA,,6 - 7 (5 - 7),7 - 5,2 - 6,4 - 6,,
1,4,Ryan Harrison,USA,,Gael Monfils *,FRA,25,4 - 6,4 - 6,4 - 6,,,
1,5,Andreas Seppi *,ITA,24,Lleyton Hewitt,AUS,,7 - 6 (7 - 4),6 - 3,5 - 7,5 - 7,7 - 5,
1,6,Robin Haase,NED,,Donald Young *,USA,,7 - 6 (7 - 4),6 - 7 (2 - 7),2 - 6,0 - 1,,Retired
1,7,Dusan Lajovic *,SRB,,Lucas Pouille,FRA,,6 - 4,7 - 6 (11 - 9),4 - 6,6 - 3,,
1,8,Marinko Matosevic,AUS,,Kei Nishikori *,JPN,16,3 - 6,7 - 5,2 - 6,6 - 4,2 - 6,
1,9,Milos Raonic *,CAN,11,Daniel Gimeno-Traver,ESP,,7 - 6 (7 - 2),6 - 1,4 - 6,6 - 2,,
1,10,Peter Gojowczyk,GER,,Victor Hanescu *,ROU,,6 - 7 (5 - 7),6 - 7 (5 - 7),3 - 6,,,
1,11,Jimmy Wang,TPE,,Yen-Hsun Lu *,TPE,,3 - 6,2 - 6,1 - 6,,,
1,12,Bradley Klahn,USA,,Grigor Dimitrov *,BUL,22,7 - 6 (9 - 7),4 - 6,4 - 6,3 - 6,,
1,13,Benoit Paire *,FRA,27,Frank Dancevic,CAN,,7 - 6 (14 - 12),6 - 3,6 - 4,,,
1,14,Nick Kyrgios *,AUS,,Benjamin Becker,GER,,6 - 3,6 - 7 (5 - 7),6 - 2,7 - 6 (7 - 2),,
1,15,Roberto Bautista Agut *,ESP,,Tim Smyczek,USA,,6 - 2,6 - 1,6 - 1,,,
1,16,Rhyne Williams,USA,,Juan Martin Del Potro *,ARG,5,7 - 6 (7 - 1),3 - 6,4 - 6,4 - 6,,
1,17,Andy Murray *,GBR,4,Go Soeda,JPN,,6 - 1,6 - 1,6 - 3,,,
1,18,Vincent Millot *,FRA,,Wayne Odesnik,USA,,7 - 5,4 - 6,6 - 7 (4 - 7),6 - 1,6 - 3,
1,19,Michael Berrer *,GER,,Michael Llodra,FRA,,6 - 4,7 - 5,6 - 1,,,
1,20,Somdev Devvarman,IND,,Feliciano Lopez *,ESP,26,4 - 6,4 - 6,6 - 7 (2 - 7),,,
1,21,Stephane Robert *,FRA,,Aljaz Bedene,SLO,,7 - 6 (7 - 3),6 - 3,6 - 0,,,
1,22,Michal Przysiezny *,POL,,Horacio Zeballos,ARG,,6 - 3,7 - 6 (7 - 4),7 - 5,,,
1,23,Blaz Rola *,SLO,,Federico Delbonis,ARG,,6 - 4,6 - 2,7 - 5,,,
1,24,Martin Klizan *,SVK,,John Isner,USA,13,6 - 2,7 - 6 (8 - 6),,,,Retired
1,25,Jo-Wilfried Tsonga *,FRA,10,Filippo Volandri,ITA,,7 - 5,6 - 3,6 - 3,,,
1,26,Thomaz Bellucci *,BRA,,Julian Reister,GER,,4 - 6,6 - 3,7 - 6 (7 - 5),,,Retired
1,27,Marin Cilic *,CRO,,Marcel Granollers,ESP,,4 - 6,4 - 6,6 - 3,6 - 3,6 - 2,
1,28,Daniel Brands,GER,,Gilles Simon *,FRA,18,7 - 6 (7 - 4),4 - 6,6 - 3,3 - 6,14 - 16,
1,29,Fernando Verdasco *,ESP,31,Ze Zhang,CHN,,5 - 7,6 - 3,6 - 2,6 - 3,,
1,30,Teymuraz Gabashvili *,RUS,,Sergiy Stakhovsky,UKR,,6 - 7 (3 - 7),6 - 4,6 - 2,6 - 0,,
1,31,Radek Stepanek,CZE,,Blaz Kavcic *,SLO,,7 - 6 (7 - 3),6 - 4,1 - 6,0 - 2,,Retired
1,32,James Duckworth,AUS,,Roger Federer *,SUI,6,4 - 6,4 - 6,2 - 6,,,
1,33,Tomas Berdych *,CZE,7,Aleksandr Nedovyesov,KAZ,,6 - 3,6 - 4,6 - 3,,,
1,34,Di Wu,CHN,,Kenny De Schepper *,FRA,,5 - 7,5 - 7,6 - 7 (2 - 7),,,
1,35,Jan Hajek,CZE,,Damir Dzumhur *,BIH,,4 - 6,2 - 6,1 - 6,,,
1,36,Ivo Karlovic,CRO,,Ivan Dodig *,CRO,32,6 - 7 (8 - 10),3 - 6,6 - 7 (4 - 7),,,
1,37,Kevin Anderson *,RSA,19,Jiri Vesely,CZE,,2 - 6,6 - 7 (4 - 7),6 - 4,6 - 4,6 - 4,
1,38,Dominic Thiem *,AUT,,Joao Sousa,POR,,5 - 7,6 - 4,6 - 3,7 - 6 (7 - 3),,
1,39,Carlos Berlocq,ARG,,Edouard Roger-Vasselin *,FRA,,4 - 6,6 - 7 (5 - 7),7 - 6 (11 - 9),2 - 6,,
1,40,Guillermo Garcia-Lopez *,ESP,,Tommy Haas,GER,12,7 - 5,5 - 2,,,,Retired
1,41,Mikhail Youzhny *,RUS,14,Jan-Lennard Struff,GER,,6 - 1,6 - 4,6 - 2,,,
1,42,Florian Mayer *,GER,,Denis Kudla,USA,,6 - 4,6 - 2,6 - 4,,,
1,43,Albert Ramos,ESP,,Pablo Andujar *,ESP,,4 - 6,2 - 6,4 - 6,,,
1,44,Jordan Thompson,AUS,,Jerzy Janowicz *,POL,20,6 - 1,6 - 4,4 - 6,2 - 6,1 - 6,
1,45,Jeremy Chardy *,FRA,29,Jesse Huta Galung,NED,,6 - 2,6 - 4,6 - 4,,,
1,46,Ricardas Berankis,LTU,,Alexandr Dolgopolov *,UKR,,5 - 7,5 - 7,2 - 6,,,
1,47,Steve Johnson,USA,,Adrian Mannarino *,FRA,,6 - 3,3 - 6,0 - 6,7 - 5,4 - 6,
1,48,Alejandro Gonzalez,COL,,David Ferrer *,ESP,3,3 - 6,4 - 6,4 - 6,,,
1,49,Stanislas Wawrinka *,SUI,8,Andrey Golubev,KAZ,,6 - 4,4 - 1,,,,Retired
1,50,Alejandro Falla *,COL,,Mikhail Kukushkin,KAZ,,6 - 7 (2 - 7),6 - 2,6 - 2,6 - 3,,
1,51,Nicolas Mahut,FRA,,Matthew Ebden *,AUS,,3 - 6,5 - 7,6 - 4,6 - 0,3 - 6,
1,52,Samuel Groth,AUS,,Vasek Pospisil *,CAN,28,4 - 6,3 - 6,4 - 6,,,
1,53,Tommy Robredo *,ESP,17,Lukas Rosol,CZE,,6 - 1,6 - 7 (7 - 9),3 - 6,7 - 6 (7 - 5),8 - 6,
1,54,Pablo Carreno Busta,ESP,,Julien Benneteau *,FRA,,3 - 6,6 - 3,6 - 4,1 - 6,2 - 6,
1,55,Nikolay Davydenko *,RUS,,Lukasz Kubot,POL,,3 - 6,6 - 3,3 - 6,6 - 3,6 - 4,
