Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Juan Martin Del Potro *,ARG,5,Arnaud Clement,FRA,,6 - 3,6 - 1,6 - 2,,,
1,2,Lleyton Hewitt *,AUS,,Robby Ginepri,USA,,6 - 4,6 - 1,6 - 1,,,
1,3,Rajeev Ram,USA,,Philipp Petzschner *,GER,,6 - 2,1 - 6,6 - 7 (3 - 7),1 - 6,,
1,4,Mischa Zverev *,GER,,Dmitry Tursunov,RUS,25,6 - 4,6 - 2,3 - 0,,,Retired
1,5,Radek Stepanek *,CZE,23,Alejandro Falla,COL,,6 - 4,6 - 4,6 - 1,,,
1,6,Potito Starace *,ITA,,Jose Acasuso,ARG,,7 - 6 (7 - 0),6 - 3,,,,Retired
1,7,Fabio Fognini *,ITA,,Denis Istomin,UZB,,1 - 6,6 - 7 (3 - 7),6 - 4,3 - 1,,Retired
1,8,Kevin Kim,USA,,David Ferrer *,ESP,16,5 - 7,3 - 6,6 - 4,2 - 6,,
1,9,Nikolay Davydenko *,RUS,12,Daniel Evans,GBR,,6 - 2,6 - 3,6 - 3,,,
1,10,Victor Crivoi *,ROU,,Bjorn Phau,GER,,4 - 6,6 - 1,7 - 6 (7 - 3),2 - 6,6 - 3,
1,11,Frederico Gil,POR,,Paul-Henri Mathieu *,FRA,,1 - 6,6 - 2,4 - 6,2 - 6,,
1,12,Alex Bogdanovic,GBR,,Tomas Berdych *,CZE,20,3 - 6,4 - 6,4 - 6,,,
1,13,Jurgen Melzer *,AUT,26,Wayne Odesnik,USA,,6 - 1,6 - 4,6 - 2,,,
1,14,Benjamin Becker *,GER,,Roko Karanusic,CRO,,6 - 4,6 - 4,6 - 1,,,
1,15,Grigor Dimitrov,BUL,,Igor Kunitsyn *,RUS,,6 - 3,0 - 6,0 - 4,,,Retired
1,16,Jeremy Chardy,FRA,,Andy Roddick *,USA,6,3 - 6,6 - 7 (3 - 7),6 - 4,3 - 6,,
1,17,Andy Murray *,GBR,3,Robert Kendrick,USA,,7 - 5,6 - 7 (3 - 7),6 - 3,6 - 4,,
1,18,Riccardo Ghedin,ITA,,Ernests Gulbis *,LAT,,2 - 6,4 - 6,4 - 6,,,
1,19,Taylor Dent,USA,,Daniel Gimeno-Traver *,ESP,,5 - 7,6 - 7 (6 - 8),6 - 4,7 - 6 (7 - 3),4 - 6,
1,20,Brian Dabul,ARG,,Viktor Troicki *,SRB,30,4 - 6,4 - 6,3 - 6,,,
1,21,Stanislas Wawrinka *,SUI,19,Eduardo Schwank,ARG,,7 - 5,6 - 4,6 - 1,,,
1,22,Pablo Andujar,ESP,,Martin Vassallo Arguello *,ARG,,6 - 4,3 - 6,2 - 6,2 - 6,,
1,23,Christophe Rochus,BEL,,Pablo Cuevas *,URU,,6 - 3,6 - 4,4 - 6,1 - 6,9 - 11,
1,24,Jesse Levine *,USA,,Marat Safin,RUS,14,6 - 2,3 - 6,7 - 6 (7 - 4),6 - 4,,
1,25,Fernando Gonzalez *,CHI,10,Teimuraz Gabashvili,RUS,,7 - 5,7 - 5,6 - 3,,,
1,26,Oscar Hernandez,ESP,,Leonardo Mayer *,ARG,,0 - 6,0 - 6,3 - 6,,,
1,27,Juan Carlos Ferrero *,ESP,,Mikhail Youzhny,RUS,,6 - 3,7 - 6 (7 - 3),6 - 3,,,
1,28,Fabrice Santoro *,FRA,,Nicolas Kiefer,GER,33,6 - 4,6 - 2,6 - 2,,,
1,29,Victor Hanescu *,ROU,31,Ivan Navarro,ESP,,6 - 3,6 - 7 (5 - 7),6 - 4,6 - 7 (5 - 7),12 - 10,
1,30,Nicolas Devilder *,FRA,,Nicolas Lapentti,ECU,,3 - 6,6 - 4,6 - 3,4 - 6,7 - 5,
1,31,Thiago Alves *,BRA,,Andrei Pavel,ROU,,6 - 3,2 - 6,6 - 1,2 - 6,6 - 1,
1,32,Bobby Reynolds,USA,,Gilles Simon *,FRA,8,4 - 6,3 - 6,3 - 6,,,
1,33,James Blake,USA,17,Andreas Seppi *,ITA,,5 - 7,4 - 6,6 - 7 (5 - 7),,,
1,34,Adrian Mannarino,FRA,,Marc Gicquel *,FRA,,2 - 6,2 - 6,4 - 6,,,
1,35,Paul Capdeville,CHI,,Vincent Spadea *,USA,,0 - 6,4 - 6,5 - 7,,,
1,36,Evgeny Korolev,RUS,,Igor Andreev *,RUS,29,6 - 4,6 - 7 (2 - 7),4 - 6,6 - 7 (4 - 7),,
1,37,Tommy Haas *,GER,24,Alexander Peya,AUT,,6 - 7 (5 - 7),7 - 6 (7 - 0),6 - 3,6 - 4,,
1,38,Michael Llodra *,FRA,,Joshua Goodall,GBR,,4 - 6,7 - 6 (7 - 5),6 - 4,3 - 6,6 - 4,
1,39,Sam Querrey *,USA,,Danai Udomchoke,THA,,6 - 3,6 - 4,6 - 4,,,
1,40,Alberto Martin,ESP,,Marin Cilic *,CRO,11,3 - 6,4 - 6,4 - 6,,,
1,41,Tommy Robredo *,ESP,15,Luka Gregorc,SLO,,7 - 6 (7 - 4),6 - 4,5 - 7,7 - 6 (7 - 3),,
1,42,Edouard Roger-Vasselin,FRA,,Stefan Koubek *,AUT,,5 - 7,3 - 6,6 - 4,6 - 3,3 - 6,
1,43,Dudi Sela *,ISR,,Santiago Gonzalez,MEX,,6 - 4,4 - 6,7 - 6 (7 - 2),6 - 3,,
1,44,Xavier Malisse,BEL,,Rainer Schuettler *,GER,18,7 - 6 (11 - 9),4 - 6,6 - 7 (3 - 7),1 - 6,,
1,45,Mardy Fish *,USA,28,Sergio Roitman,ARG,,6 - 3,6 - 2,4 - 1,,,Retired
1,46,Jan Hernych,CZE,,Janko Tipsarevic *,SRB,,4 - 6,4 - 6,6 - 7 (4 - 7),,,
1,47,Simon Greul *,GER,,Michael Yani,USA,,6 - 4,6 - 2,7 - 5,,,
1,48,Julien Benneteau,FRA,,Novak Djokovic *,SRB,4,7 - 6 (10 - 8),6 - 7 (1 - 7),2 - 6,4 - 6,,
1,49,Fernando Verdasco *,ESP,7,James Ward,GBR,,6 - 1,6 - 3,6 - 4,,,
1,50,Nicolas Mahut,FRA,,Kristof Vliegen *,BEL,,3 - 6,6 - 7 (6 - 8),7 - 5,7 - 5,4 - 6,
1,51,Diego Junqueira,ARG,,Guillermo Canas *,ARG,,1 - 6,2 - 6,2 - 6,,,
1,52,Grega Zemlja,SLO,,Albert Montanes *,ESP,32,4 - 6,4 - 6,4 - 6,,,
1,53,Ivo Karlovic *,CRO,22,Lukas Lacko,SVK,,6 - 3,7 - 6 (7 - 4),6 - 3,,,
1,54,Steve Darcis *,BEL,,Frank Dancevic,CAN,,6 - 4,7 - 6 (7 - 4),6 - 3,,,
1,55,Simone Bolelli *,ITA,,Daniel Koellerer,AUT,,6 - 7 (3 - 7),2 - 6,7 - 5,6 - 4,6 - 4,
1,56,Andrey Golubev,KAZ,,Jo-Wilfried Tsonga *,FRA,9,3 - 6,7 - 5,6 - 7 (4 - 7),6 - 7 (5 - 7),,
1,57,Robin Soderling *,SWE,13,Gilles Muller,LUX,,6 - 7 (4 - 7),7 - 5,6 - 1,6 - 2,,
1,58,Marcel Granollers *,ESP,,Andreas Beck,GER,,6 - 2,6 - 4,6 - 7 (4 - 7),6 - 2,,
1,59,Nicolas Almagro *,ESP,,Juan Monaco,ARG,,6 - 7 (3 - 7),6 - 7 (7 - 9),7 - 6 (7 - 5),6 - 4,8 - 6,
1,60,Karol Beck *,SVK,,Feliciano Lopez,ESP,21,1 - 6,7 - 5,6 - 3,4 - 6,10 - 8,
1,61,Philipp Kohlschreiber *,GER,27,Florent Serra,FRA,,7 - 6 (7 - 3),6 - 1,6 - 4,,,
1,62,Ivo Minar *,CZE,,Maximo Gonzalez,ARG,,6 - 4,3 - 6,7 - 5,6 - 0,,
1,63,Guillermo Garcia-Lopez *,ESP,,Agustin Calleri,ARG,,6 - 2,6 - 3,6 - 2,,,
1,64,Yen-Hsun Lu,TPE,,Roger Federer *,SUI,2,5 - 7,3 - 6,2 - 6,,,
2,1,Juan Martin Del Potro,ARG,5,Lleyton Hewitt *,AUS,,3 - 6,5 - 7,5 - 7,,,
2,2,Philipp Petzschner *,GER,,Mischa Zverev,GER,,4 - 6,7 - 6 (15 - 13),3 - 6,7 - 6 (7 - 5),6 - 0,
