Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Novak Djokovic *,SRB,1,Juan Carlos Ferrero,ESP,,6 - 3,6 - 3,6 - 1,,,
1,2,Ryan Harrison *,USA,,Yen-Hsun Lu,TPE,,4 - 6,6 - 3,6 - 4,6 - 2,,
1,3,Benjamin Becker *,GER,,James Blake,USA,,6 - 7 (4 - 7),7 - 5,6 - 0,6 - 4,,
1,4,Sergiy Stakhovsky,UKR,,Radek Stepanek *,CZE,28,1 - 6,0 - 1,,,,Retired
1,5,Marcel Granollers,ESP,24,Viktor Troicki *,SRB,,5 - 7,6 - 7 (5 - 7),6 - 3,6 - 2,6 - 8,
1,6,Martin Klizan *,SVK,,Juan Ignacio Chela,ARG,,7 - 5,3 - 6,7 - 6 (8 - 6),1 - 6,11 - 9,
1,7,Jeremy Chardy *,FRA,,Filippo Volandri,ITA,,6 - 0,6 - 1,1 - 0,,,Retired
1,8,Leonardo Mayer,ARG,,Juan Monaco *,ARG,15,4 - 6,6 - 7 (5 - 7),6 - 7 (5 - 7),,,
1,9,Nicolas Almagro *,ESP,12,Olivier Rochus,BEL,,6 - 7 (4 - 7),3 - 6,7 - 6 (7 - 4),6 - 2,6 - 4,
1,10,Guillaume Rufin *,FRA,,Steve Darcis,BEL,,6 - 4,3 - 6,5 - 7,6 - 4,6 - 4,
1,11,Carlos Berlocq,ARG,,Ruben Bemelmans *,BEL,,5 - 7,7 - 6 (7 - 4),3 - 6,6 - 7 (2 - 7),,
1,12,Tobias Kamke,GER,,Richard Gasquet *,FRA,18,2 - 6,2 - 6,2 - 6,,,
1,13,Florian Mayer *,GER,31,Dmitry Tursunov,RUS,,7 - 6 (7 - 3),6 - 2,6 - 3,,,
1,14,Philipp Petzschner *,GER,,Blaz Kavcic,SLO,,6 - 4,6 - 4,6 - 2,,,
1,15,Simone Bolelli,ITA,,Jerzy Janowicz *,POL,,6 - 3,3 - 6,3 - 6,3 - 6,,
1,16,Ernests Gulbis *,LAT,,Tomas Berdych,CZE,6,7 - 6 (7 - 5),7 - 6 (7 - 4),7 - 6 (7 - 4),,,
1,17,Roger Federer *,SUI,3,Albert Ramos,ESP,,6 - 1,6 - 1,6 - 1,,,
1,18,Fabio Fognini *,ITA,,Michael Llodra,FRA,,3 - 6,6 - 3,6 - 4,7 - 5,,
1,19,Adrian Menendez-MacEiras,ESP,,Michael Russell *,USA,,3 - 6,1 - 6,6 - 7 (7 - 9),,,
1,20,Gilles Muller,LUX,,Julien Benneteau *,FRA,29,2 - 6,5 - 7,6 - 7 (4 - 7),,,
1,21,Fernando Verdasco *,ESP,17,Jimmy Wang,TPE,,7 - 6 (7 - 3),6 - 4,7 - 5,,,
1,22,Grega Zemlja *,SLO,,Josh Goodall,GBR,,6 - 4,3 - 6,7 - 6 (7 - 3),6 - 4,,
1,23,Xavier Malisse *,BEL,,Marinko Matosevic,AUS,,6 - 2,6 - 2,7 - 5,,,
1,24,Paul-Henri Mathieu,FRA,,Gilles Simon *,FRA,13,3 - 6,4 - 5,,,,Retired
1,25,John Isner,USA,11,Alejandro Falla *,COL,,4 - 6,7 - 6 (9 - 7),6 - 3,6 - 7 (7 - 9),5 - 7,
1,26,Paolo Lorenzi,ITA,,Nicolas Mahut *,FRA,,3 - 6,7 - 5,7 - 6 (7 - 3),5 - 7,2 - 6,
1,27,Igor Andreev *,RUS,,Oliver Golding,GBR,,1 - 6,7 - 6 (7 - 4),7 - 6 (9 - 7),7 - 5,,
1,28,Denis Istomin *,UZB,,Andreas Seppi,ITA,23,6 - 7 (2 - 7),6 - 4,3 - 6,6 - 3,8 - 6,
1,29,Mikhail Youzhny *,RUS,26,Donald Young,USA,,4 - 6,6 - 3,6 - 2,6 - 3,,
1,30,Inigo Cervantes *,ESP,,Flavio Cipolla,ITA,,2 - 6,6 - 7 (4 - 7),6 - 3,6 - 2,6 - 1,
1,31,Ryan Sweeting *,USA,,Potito Starace,ITA,,6 - 2,2 - 0,,,,Retired
1,32,David Nalbandian,ARG,,Janko Tipsarevic *,SRB,8,4 - 6,6 - 7 (4 - 7),2 - 6,,,
1,33,David Ferrer *,ESP,7,Dustin Brown,GER,,7 - 6 (7 - 5),6 - 4,6 - 4,,,
1,34,Kenny De Schepper *,FRA,,Matthias Bachinger,GER,,6 - 4,6 - 2,6 - 2,,,
1,35,Wayne Odesnik,USA,,Bjorn Phau *,GER,,3 - 6,6 - 3,7 - 6 (7 - 3),3 - 6,4 - 6,
1,36,Jamie Baker,GBR,,Andy Roddick *,USA,30,6 - 7 (1 - 7),4 - 6,5 - 7,,,
1,37,Kei Nishikori *,JPN,19,Mikhail Kukushkin,KAZ,,7 - 5,6 - 3,6 - 4,,,
1,38,Andrey Kuznetsov,RUS,,Florent Serra *,FRA,,6 - 3,6 - 7 (3 - 7),4 - 6,6 - 4,4 - 6,
1,39,Go Soeda *,JPN,,Igor Kunitsyn,RUS,,6 - 3,6 - 2,6 - 1,,,
1,40,Robin Haase,NED,,Juan Martin Del Potro *,ARG,9,4 - 6,6 - 3,6 - 7 (3 - 7),5 - 7,,
1,41,Marin Cilic *,CRO,16,Cedrik-Marcel Stebe,GER,,6 - 4,3 - 6,6 - 3,6 - 2,,
1,42,Tatsuma Ito,JPN,,Lukasz Kubot *,POL,,6 - 7 (6 - 8),3 - 6,3 - 6,,,
1,43,Vasek Pospisil,CAN,,Sam Querrey *,USA,,5 - 7,7 - 6 (7 - 5),3 - 6,4 - 6,,
1,44,Santiago Giraldo,COL,,Milos Raonic *,CAN,21,4 - 6,4 - 6,4 - 6,,,
1,45,Kevin Anderson,RSA,32,Grigor Dimitrov *,BUL,,5 - 7,6 - 7 (3 - 7),7 - 6 (7 - 4),3 - 6,,
1,46,Albert Montanes,ESP,,Marcos Baghdatis *,CYP,,2 - 6,4 - 6,4 - 6,,,
1,47,Ivo Karlovic *,CRO,,Dudi Sela,ISR,,6 - 4,6 - 4,7 - 6 (7 - 5),,,
1,48,Nikolay Davydenko,RUS,,Andy Murray *,GBR,4,1 - 6,1 - 6,4 - 6,,,
1,49,Jo-Wilfried Tsonga *,FRA,5,Lleyton Hewitt,AUS,,6 - 3,6 - 4,6 - 4,,,
1,50,Edouard Roger-Vasselin,FRA,,Guillermo Garcia-Lopez *,ESP,,7 - 6 (7 - 2),3 - 6,6 - 7 (4 - 7),7 - 5,8 - 10,
1,51,Lukas Lacko *,SVK,,Adrian Ungur,ROU,,7 - 6 (7 - 4),6 - 1,6 - 3,,,
1,52,Jurgen Melzer *,AUT,,Stanislas Wawrinka,SUI,25,3 - 6,7 - 6 (7 - 2),2 - 6,6 - 4,8 - 6,
1,53,Bernard Tomic,AUS,20,David Goffin *,BEL,,6 - 3,3 - 6,4 - 6,4 - 6,,
1,54,Jesse Levine *,USA,,Karol Beck,SVK,,6 - 4,6 - 7 (6 - 8),6 - 3,6 - 2,,
1,55,James Ward *,GBR,,Pablo Andujar,ESP,,4 - 6,6 - 0,3 - 6,6 - 3,6 - 3,
1,56,Ruben Ramirez Hidalgo,ESP,,Mardy Fish *,USA,10,6 - 7 (3 - 7),5 - 7,6 - 7 (1 - 7),,,
1,57,Feliciano Lopez,ESP,14,Jarkko Nieminen *,FIN,,6 - 7 (4 - 7),6 - 3,6 - 7 (5 - 7),4 - 6,,
1,58,Brian Baker *,USA,,Rui Machado,POR,,7 - 6 (7 - 2),6 - 4,6 - 0,,,
1,59,Matthew Ebden,AUS,,Benoit Paire *,FRA,,1 - 6,3 - 6,7 - 6 (7 - 1),3 - 6,,
1,60,Alex Bogomolov Jr.,RUS,,Alexandr Dolgopolov *,UKR,22,3 - 6,4 - 6,5 - 7,,,
1,61,Philipp Kohlschreiber *,GER,27,Tommy Haas,GER,,3 - 6,7 - 6 (10 - 8),6 - 7 (5 - 7),7 - 6 (7 - 1),6 - 2,
1,62,Jurgen Zopp,EST,,Malek Jaziri *,TUN,,6 - 4,6 - 4,3 - 6,4 - 6,7 - 9,
1,63,Lukas Rosol *,CZE,,Ivan Dodig,CRO,,6 - 4,3 - 6,7 - 6 (7 - 0),7 - 5,,
1,64,Thomaz Bellucci,BRA,,Rafael Nadal *,ESP,2,6 - 7 (0 - 7),2 - 6,3 - 6,,,
2,1,Novak Djokovic *,SRB,1,Ryan Harrison,USA,,6 - 4,6 - 4,6 - 4,,,
2,2,Benjamin Becker,GER,,Radek Stepanek *,CZE,28,2 - 6,6 - 7 (4 - 7),3 - 6,,,
2,3,Viktor Troicki *,SRB,,Martin Klizan,SVK,,6 - 4,4 - 6,5 - 7,7 - 6 (7 - 3),6 - 4,
2,4,Jeremy Chardy,FRA,,Juan Monaco *,ARG,15,2 - 6,6 - 3,3 - 6,6 - 7 (3 - 7),,
2,5,Nicolas Almagro *,ESP,12,Guillaume Rufin,FRA,,6 - 2,5 - 7,6 - 2,6 - 4,,
2,6,Ruben Bemelmans,BEL,,Richard Gasquet *,FRA,18,3 - 6,4 - 6,4 - 6,,,
2,7,Florian Mayer *,GER,31,Philipp Petzschner,GER,,3 - 6,3 - 6,6 - 4,6 - 2,6 - 4,
2,8,Jerzy Janowicz *,POL,,Ernests Gulbis,LAT,,2 - 6,6 - 4,3 - 6,7 - 6 (7 - 2),9 - 7,
2,9,Roger Federer *,SUI,3,Fabio Fognini,ITA,,6 - 1,6 - 3,6 - 2,,,
2,10,Michael Russell,USA,,Julien Benneteau *,FRA,29,6 - 7 (4 - 7),6 - 2,4 - 6,5 - 7,,
2,11,Fernando Verdasco *,ESP,17,Grega Zemlja,SLO,,7 - 6 (7 - 4),7 - 6 (7 - 4),3 - 6,6 - 3,,
2,12,Xavier Malisse *,BEL,,Gilles Simon,FRA,13,6 - 4,6 - 4,7 - 6 (7 - 5),,,
2,13,Alejandro Falla *,COL,,Nicolas Mahut,FRA,,6 - 4,6 - 3,4 - 6,4 - 6,7 - 5,
2,14,Igor Andreev,RUS,,Denis Istomin *,UZB,,3 - 6,6 - 7 (3 - 7),6 - 4,2 - 6,,
2,15,Mikhail Youzhny *,RUS,26,Inigo Cervantes,ESP,,6 - 1,6 - 3,6 - 4,,,
2,16,Ryan Sweeting,USA,,Janko Tipsarevic *,SRB,8,7 - 5,5 - 7,4 - 6,2 - 6,,
2,17,David Ferrer *,ESP,7,Kenny De Schepper,FRA,,7 - 6 (7 - 1),6 - 2,6 - 4,,,
2,18,Bjorn Phau,GER,,Andy Roddick *,USA,30,3 - 6,6 - 7 (1 - 7),3 - 6,,,
2,19,Kei Nishikori *,JPN,19,Florent Serra,FRA,,6 - 3,7 - 5,6 - 2,,,
2,20,Go Soeda,JPN,,Juan Martin Del Potro *,ARG,9,2 - 6,3 - 6,6 - 1,4 - 6,,
2,21,Marin Cilic *,CRO,16,Lukasz Kubot,POL,,7 - 6 (7 - 4),6 - 2,6 - 1,,,
2,22,Sam Querrey *,USA,,Milos Raonic,CAN,21,6 - 7 (3 - 7),7 - 6 (9 - 7),7 - 6 (10 - 8),6 - 4,,
2,23,Grigor Dimitrov,BUL,,Marcos Baghdatis *,CYP,,5 - 7,1 - 4,,,,Retired
2,24,Ivo Karlovic,CRO,,Andy Murray *,GBR,4,5 - 7,7 - 6 (7 - 5),2 - 6,6 - 7 (4 - 7),,
2,25,Jo-Wilfried Tsonga *,FRA,5,Guillermo Garcia-Lopez,ESP,,6 - 7 (3 - 7),6 - 4,6 - 1,6 - 3,,
2,26,Lukas Lacko *,SVK,,Jurgen Melzer,AUT,,6 - 4,6 - 7 (4 - 7),3 - 6,6 - 3,6 - 4,
2,27,David Goffin *,BEL,,Jesse Levine,USA,,4 - 6,6 - 4,6 - 1,6 - 3,,
2,28,James Ward,GBR,,Mardy Fish *,USA,10,3 - 6,7 - 5,4 - 6,7 - 6 (7 - 3),3 - 6,
2,29,Jarkko Nieminen,FIN,,Brian Baker *,USA,,0 - 6,2 - 6,4 - 6,,,
2,30,Benoit Paire *,FRA,,Alexandr Dolgopolov,UKR,22,7 - 6 (7 - 2),6 - 4,6 - 4,,,
2,31,Philipp Kohlschreiber *,GER,27,Malek Jaziri,TUN,,6 - 1,7 - 6 (7 - 2),6 - 1,,,
2,32,Lukas Rosol *,CZE,,Rafael Nadal,ESP,2,6 - 7 (9 - 11),6 - 4,6 - 4,2 - 6,6 - 4,
3,1,Novak Djokovic *,SRB,1,Radek Stepanek,CZE,28,4 - 6,6 - 2,6 - 2,6 - 2,,
3,2,Viktor Troicki *,SRB,,Juan Monaco,ARG,15,7 - 5,7 - 5,6 - 3,,,
3,3,Nicolas Almagro,ESP,12,Richard Gasquet *,FRA,18,3 - 6,4 - 6,4 - 6,,,
3,4,Florian Mayer *,GER,31,Jerzy Janowicz,POL,,7 - 6 (7 - 5),3 - 6,2 - 6,6 - 3,7 - 5,
3,5,Roger Federer *,SUI,3,Julien Benneteau,FRA,29,4 - 6,6 - 7 (3 - 7),6 - 2,7 - 6 (8 - 6),6 - 1,
3,6,Fernando Verdasco,ESP,17,Xavier Malisse *,BEL,,6 - 1,6 - 7 (5 - 7),1 - 6,6 - 4,3 - 6,
3,7,Alejandro Falla,COL,,Denis Istomin *,UZB,,3 - 6,4 - 6,6 - 3,6 - 7 (5 - 7),,
3,8,Mikhail Youzhny *,RUS,26,Janko Tipsarevic,SRB,8,6 - 3,6 - 4,3 - 6,6 - 3,,
3,9,David Ferrer *,ESP,7,Andy Roddick,USA,30,2 - 6,7 - 6 (10 - 8),6 - 4,6 - 3,,
3,10,Kei Nishikori,JPN,19,Juan Martin Del Potro *,ARG,9,3 - 6,6 - 7 (3 - 7),1 - 6,,,
3,11,Marin Cilic *,CRO,16,Sam Querrey,USA,,7 - 6 (8 - 6),6 - 4,6 - 7 (2 - 7),6 - 7 (3 - 7),17 - 15,
3,12,Marcos Baghdatis,CYP,,Andy Murray *,GBR,4,5 - 7,6 - 3,5 - 7,1 - 6,,
3,13,Jo-Wilfried Tsonga *,FRA,5,Lukas Lacko,SVK,,6 - 4,6 - 3,6 - 3,,,
3,14,David Goffin,BEL,,Mardy Fish *,USA,10,3 - 6,6 - 7 (6 - 8),6 - 7 (6 - 8),,,
3,15,Brian Baker *,USA,,Benoit Paire,FRA,,6 - 4,4 - 6,6 - 1,6 - 3,,
3,16,Philipp Kohlschreiber *,GER,27,Lukas Rosol,CZE,,6 - 2,6 - 3,7 - 6 (8 - 6),,,
4,1,Novak Djokovic *,SRB,1,Viktor Troicki,SRB,,6 - 3,6 - 1,6 - 3,,,
4,2,Richard Gasquet,FRA,18,Florian Mayer *,GER,31,3 - 6,1 - 6,6 - 3,2 - 6,,
4,3,Roger Federer *,SUI,3,Xavier Malisse,BEL,,7 - 6 (7 - 1),6 - 1,4 - 6,6 - 3,,
4,4,Denis Istomin,UZB,,Mikhail Youzhny *,RUS,26,3 - 6,7 - 5,4 - 6,7 - 6 (7 - 5),5 - 7,
4,5,David Ferrer *,ESP,7,Juan Martin Del Potro,ARG,9,6 - 3,6 - 2,6 - 3,,,
4,6,Marin Cilic,CRO,16,Andy Murray *,GBR,4,5 - 7,2 - 6,3 - 6,,,
4,7,Jo-Wilfried Tsonga *,FRA,5,Mardy Fish,USA,10,4 - 6,7 - 6 (7 - 4),6 - 4,6 - 4,,
4,8,Brian Baker,USA,,Philipp Kohlschreiber *,GER,27,1 - 6,6 - 7 (4 - 7),3 - 6,,,
5,1,Novak Djokovic *,SRB,1,Florian Mayer,GER,31,6 - 4,6 - 1,6 - 4,,,
5,2,Roger Federer *,SUI,3,Mikhail Youzhny,RUS,26,6 - 1,6 - 2,6 - 2,,,
5,3,David Ferrer,ESP,7,Andy Murray *,GBR,4,7 - 6 (7 - 5),6 - 7 (6 - 8),4 - 6,6 - 7 (4 - 7),,
