Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Serena Williams *,USA,1,Urszula Radwanska,POL,,6 - 2,6 - 1,,,,
1,2,Petra Kvitova *,CZE,,Jill Craybas,USA,,6 - 1,7 - 5,,,,
1,3,Renata Voracova,CZE,,Andrea Petkovic *,GER,,2 - 6,4 - 6,,,,
1,4,Ayumi Morita,JPN,,Carla Suarez Navarro *,ESP,32,5 - 7,4 - 6,,,,
1,5,Sabine Lisicki *,GER,21,Petra Martic,CRO,,6 - 1,6 - 4,,,,
1,6,Varvara Lepchenko,USA,,Alberta Brianti *,ITA,,0 - 6,6 - 3,1 - 6,,,
1,7,Kristina Barrois *,GER,,Akgul Amanmuradova,UZB,,6 - 0,7 - 6 (8 - 6),,,,
1,8,Xinyun Han,CHN,,Samantha Stosur *,AUS,13,1 - 6,6 - 3,2 - 6,,,
1,9,Vera Zvonareva *,RUS,9,Kristina Kucova,SVK,,6 - 2,6 - 0,,,,
1,10,Kai-Chen Chang,TPE,,Iveta Benesova *,CZE,,5 - 7,2 - 6,,,,
1,11,Zuzana Kucova,SVK,,Gisela Dulko *,ARG,,0 - 6,7 - 5,5 - 7,,,
1,12,Shenay Perry,USA,,Ana Ivanovic *,SRB,20,2 - 6,3 - 6,,,,
1,13,Elena Vesnina,RUS,28,Tathiana Garbin *,ITA,,6 - 7 (5 - 7),4 - 6,,,,
1,14,Kimiko Date Krumm,JPN,,Yaroslava Shvedova *,KAZ,,4 - 6,2 - 6,,,,
1,15,Stefanie Voegele *,SUI,,Melinda Czink,HUN,,7 - 5,6 - 7 (5 - 7),9 - 7,,,
1,16,Stephanie Cohen-Aloro,FRA,,Victoria Azarenka *,BLR,7,2 - 6,0 - 6,,,,
1,17,Caroline Wozniacki *,DEN,4,Aleksandra Wozniak,CAN,,6 - 4,6 - 2,,,,
1,18,Tamira Paszek,AUT,,Julia Goerges *,GER,,0 - 6,6 - 3,3 - 6,,,
1,19,Galina Voskoboeva,KAZ,,Tsvetana Pironkova *,BUL,,4 - 6,4 - 6,,,,
1,20,Lucie Hradecka,CZE,,Shahar Peer *,ISR,29,7 - 6 (7 - 5),2 - 6,1 - 6,,,
1,21,Daniela Hantuchova *,SVK,22,Viktoriya Kutuzova,UKR,,3 - 6,6 - 1,7 - 5,,,
1,22,Jarmila Groth,AUS,,Sofia Arvidsson *,SWE,,2 - 6,6 - 4,4 - 6,,,
1,23,Stephanie Dubois,CAN,,Agnes Szavay *,HUN,,3 - 6,2 - 6,,,,
1,24,Marina Erakovic,NZL,,Na Li *,CHN,16,2 - 6,0 - 6,,,,
1,25,Agnieszka Radwanska *,POL,10,Tatjana Malek,GER,,6 - 1,6 - 0,,,,
1,26,Melanie Oudin,USA,,Alla Kudryavtseva *,RUS,,6 - 2,5 - 7,5 - 7,,,
1,27,Julie Coin *,FRA,,Alicia Molik,AUS,,3 - 6,7 - 6 (7 - 4),6 - 3,,,
1,28,Alize Cornet,FRA,,Francesca Schiavone *,ITA,17,6 - 0,5 - 7,0 - 6,,,
1,29,Anabel Medina Garrigues,ESP,25,Karolina Sprem *,CRO,,3 - 6,2 - 6,,,,
1,30,Anastasiya Yakimova,BLR,,Casey Dellacqua *,AUS,,2 - 6,6 - 3,4 - 6,,,
1,31,Arantxa Parra Santonja,ESP,,Sybille Bammer *,AUT,,3 - 6,2 - 6,,,,
1,32,Lucie Safarova,CZE,,Venus Williams *,USA,6,2 - 6,2 - 6,,,,
1,33,Elena Dementieva *,RUS,5,Vera Dushevina,RUS,,6 - 2,6 - 1,,,,
1,34,Kirsten Flipkens,BEL,,Justine Henin *,BEL,,4 - 6,3 - 6,,,,
1,35,Sorana Cirstea *,ROU,,Olivia Rogowska,AUS,,6 - 3,2 - 6,6 - 2,,,
1,36,Jelena Dokic,AUS,,Alisa Kleybanova *,RUS,27,1 - 6,5 - 7,,,,
1,37,Virginie Razzano,FRA,18,Ekaterina Makarova *,RUS,,2 - 6,3 - 6,,,,
1,38,Klara Zakopalova,CZE,,Sara Errani *,ITA,,2 - 6,6 - 7 (5 - 7),,,,
1,39,Yanina Wickmayer *,BEL,,Alexandra Dulgheru,ROU,,1 - 6,7 - 5,10 - 8,,,
1,40,Anna Chakvetadze,RUS,,Flavia Pennetta *,ITA,12,3 - 6,6 - 3,2 - 6,,,
1,41,Kim Clijsters *,BEL,15,Valerie Tetreault,CAN,,6 - 0,6 - 4,,,,
1,42,Sesil Karatantcheva,KAZ,,Tamarine Tanasugarn *,THA,,1 - 6,6 - 7 (0 - 7),,,,
1,43,Yung-Jan Chan,TPE,,Kaia Kanepi *,EST,,6 - 7 (4 - 7),2 - 6,,,,
1,44,Edina Gallovits,ROU,,Nadia Petrova *,RUS,19,3 - 6,4 - 6,,,,
1,45,Aravane Rezai *,FRA,26,Sania Mirza,IND,,6 - 4,6 - 2,,,,
1,46,Olga Govortsova,BLR,,Angelique Kerber *,GER,,3 - 6,3 - 6,,,,
1,47,Anastasia Pavlyuchenkova *,RUS,,Anastasija Sevastova,LAT,,6 - 2,6 - 4,,,,
1,48,Anastasia Rodionova,AUS,,Svetlana Kuznetsova *,RUS,3,1 - 6,2 - 6,,,,
1,49,Jelena Jankovic *,SRB,8,Monica Niculescu,ROU,,6 - 4,6 - 0,,,,
1,50,Patricia Mayr,AUT,,Katie O'Brien *,GBR,,3 - 6,3 - 6,,,,
1,51,Yuliana Fedak,UKR,,Polona Hercog *,SLO,,4 - 6,0 - 6,,,,
1,52,Kathrin Woerle,GER,,Alona Bondarenko *,UKR,31,2 - 6,2 - 6,,,,
1,53,Maria Jose Martinez Sanchez *,ESP,24,Evgeniya Rodina,RUS,,6 - 0,6 - 0,,,,
1,54,Jie Zheng *,CHN,,Shuai Peng,CHN,,0 - 6,6 - 1,6 - 2,,,
1,55,Coco Vandeweghe,USA,,Sandra Zahlavova *,CZE,,0 - 6,1 - 6,,,,
1,56,Rossana De Los Rios,PAR,,Marion Bartoli *,FRA,11,4 - 6,1 - 6,,,,
1,57,Maria Sharapova,RUS,14,Maria Kirilenko *,RUS,,6 - 7 (4 - 7),6 - 3,4 - 6,,,
1,58,Yvonne Meusburger *,AUT,,Timea Bacsinszky,SUI,,6 - 4,4 - 6,6 - 2,,,
1,59,Anna-Lena Groenefeld,GER,,Roberta Vinci *,ITA,,5 - 7,4 - 6,,,,
1,60,Vania King *,USA,,Dominika Cibulkova,SVK,23,6 - 3,6 - 7 (5 - 7),7 - 5,,,
1,61,Kateryna Bondarenko *,UKR,30,Ioana Raluca Olaru,ROU,,6 - 2,7 - 6 (8 - 6),,,,
1,62,Pauline Parmentier,FRA,,Elena Baltacha *,GBR,,4 - 6,6 - 3,5 - 7,,,
1,63,Barbora Zahlavova Strycova *,CZE,,Regina Kulikova,RUS,,7 - 6 (7 - 5),6 - 7 (10 - 12),6 - 3,,,
1,64,Magdalena Rybarikova,SVK,,Dinara Safina *,RUS,2,4 - 6,4 - 6,,,,
2,1,Serena Williams *,USA,1,Petra Kvitova,CZE,,6 - 2,6 - 1,,,,
2,2,Andrea Petkovic,GER,,Carla Suarez Navarro *,ESP,32,1 - 6,4 - 6,,,,
2,3,Sabine Lisicki,GER,21,Alberta Brianti *,ITA,,6 - 2,4 - 6,4 - 6,,,
2,4,Kristina Barrois,GER,,Samantha Stosur *,AUS,13,5 - 7,3 - 6,,,,
2,5,Vera Zvonareva *,RUS,9,Iveta Benesova,CZE,,6 - 0,6 - 3,,,,
2,6,Gisela Dulko *,ARG,,Ana Ivanovic,SRB,20,6 - 7 (6 - 8),7 - 5,6 - 4,,,
2,7,Tathiana Garbin *,ITA,,Yaroslava Shvedova,KAZ,,6 - 7 (5 - 7),6 - 2,6 - 0,,,
2,8,Stefanie Voegele,SUI,,Victoria Azarenka *,BLR,7,4 - 6,0 - 6,,,,
2,9,Caroline Wozniacki *,DEN,4,Julia Goerges,GER,,6 - 3,6 - 1,,,,
2,10,Tsvetana Pironkova,BUL,,Shahar Peer *,ISR,29,1 - 6,4 - 6,,,,
2,11,Daniela Hantuchova *,SVK,22,Sofia Arvidsson,SWE,,6 - 4,6 - 1,,,,
2,12,Agnes Szavay,HUN,,Na Li *,CHN,16,6 - 3,5 - 7,2 - 6,,,
2,13,Agnieszka Radwanska *,POL,10,Alla Kudryavtseva,RUS,,6 - 0,6 - 2,,,,
2,14,Julie Coin,FRA,,Francesca Schiavone *,ITA,17,3 - 6,4 - 6,,,,
2,15,Karolina Sprem,CRO,,Casey Dellacqua *,AUS,,6 - 7 (4 - 7),6 - 7 (6 - 8),,,,
2,16,Sybille Bammer,AUT,,Venus Williams *,USA,6,2 - 6,5 - 7,,,,
2,17,Elena Dementieva,RUS,5,Justine Henin *,BEL,,5 - 7,6 - 7 (6 - 8),,,,
2,18,Sorana Cirstea,ROU,,Alisa Kleybanova *,RUS,27,4 - 6,3 - 6,,,,
2,19,Ekaterina Makarova,RUS,,Sara Errani *,ITA,,2 - 6,3 - 6,,,,
2,20,Yanina Wickmayer *,BEL,,Flavia Pennetta,ITA,12,7 - 6 (7 - 2),6 - 1,,,,
2,21,Kim Clijsters *,BEL,15,Tamarine Tanasugarn,THA,,6 - 3,6 - 3,,,,
2,22,Kaia Kanepi,EST,,Nadia Petrova *,RUS,19,4 - 6,4 - 6,,,,
2,23,Aravane Rezai,FRA,26,Angelique Kerber *,GER,,2 - 6,3 - 6,,,,
2,24,Anastasia Pavlyuchenkova,RUS,,Svetlana Kuznetsova *,RUS,3,2 - 6,2 - 6,,,,
2,25,Jelena Jankovic *,SRB,8,Katie O'Brien,GBR,,6 - 2,6 - 2,,,,
2,26,Polona Hercog,SLO,,Alona Bondarenko *,UKR,31,4 - 6,5 - 7,,,,
2,27,Maria Jose Martinez Sanchez,ESP,24,Jie Zheng *,CHN,,6 - 2,2 - 6,3 - 6,,,
2,28,Sandra Zahlavova,CZE,,Marion Bartoli *,FRA,11,4 - 6,4 - 6,,,,
2,29,Maria Kirilenko *,RUS,,Yvonne Meusburger,AUT,,6 - 3,6 - 1,,,,
2,30,Roberta Vinci *,ITA,,Vania King,USA,,7 - 6 (9 - 7),7 - 5,,,,
2,31,Kateryna Bondarenko,UKR,30,Elena Baltacha *,GBR,,2 - 6,5 - 7,,,,
2,32,Barbora Zahlavova Strycova,CZE,,Dinara Safina *,RUS,2,3 - 6,4 - 6,,,,
3,1,Serena Williams *,USA,1,Carla Suarez Navarro,ESP,32,6 - 0,6 - 3,,,,
3,2,Alberta Brianti,ITA,,Samantha Stosur *,AUS,13,4 - 6,1 - 6,,,,
3,3,Vera Zvonareva *,RUS,9,Gisela Dulko,ARG,,6 - 1,7 - 5,,,,
3,4,Tathiana Garbin,ITA,,Victoria Azarenka *,BLR,7,0 - 6,2 - 6,,,,
3,5,Caroline Wozniacki *,DEN,4,Shahar Peer,ISR,29,6 - 4,6 - 0,,,,
3,6,Daniela Hantuchova,SVK,22,Na Li *,CHN,16,5 - 7,6 - 3,2 - 6,,,
3,7,Agnieszka Radwanska,POL,10,Francesca Schiavone *,ITA,17,2 - 6,2 - 6,,,,
3,8,Casey Dellacqua,AUS,,Venus Williams *,USA,6,1 - 6,6 - 7 (4 - 7),,,,
3,9,Justine Henin *,BEL,,Alisa Kleybanova,RUS,27,3 - 6,6 - 4,6 - 2,,,
3,10,Sara Errani,ITA,,Yanina Wickmayer *,BEL,,1 - 6,7 - 6 (7 - 4),3 - 6,,,
3,11,Kim Clijsters,BEL,15,Nadia Petrova *,RUS,19,0 - 6,1 - 6,,,,
3,12,Angelique Kerber,GER,,Svetlana Kuznetsova *,RUS,3,6 - 3,5 - 7,4 - 6,,,
3,13,Jelena Jankovic,SRB,8,Alona Bondarenko *,UKR,31,2 - 6,3 - 6,,,,
3,14,Jie Zheng *,CHN,,Marion Bartoli,FRA,11,5 - 7,6 - 3,6 - 0,,,
3,15,Maria Kirilenko *,RUS,,Roberta Vinci,ITA,,7 - 5,7 - 6 (7 - 4),,,,
3,16,Elena Baltacha,GBR,,Dinara Safina *,RUS,2,1 - 6,2 - 6,,,,
4,1,Serena Williams *,USA,1,Samantha Stosur,AUS,13,6 - 4,6 - 2,,,,
4,2,Vera Zvonareva,RUS,9,Victoria Azarenka *,BLR,7,6 - 4,4 - 6,0 - 6,,,
4,3,Caroline Wozniacki,DEN,4,Na Li *,CHN,16,4 - 6,3 - 6,,,,
4,4,Francesca Schiavone,ITA,17,Venus Williams *,USA,6,6 - 3,2 - 6,1 - 6,,,
4,5,Justine Henin *,BEL,,Yanina Wickmayer,BEL,,7 - 6 (7 - 3),1 - 6,6 - 3,,,
4,6,Nadia Petrova *,RUS,19,Svetlana Kuznetsova,RUS,3,6 - 3,3 - 6,6 - 1,,,
4,7,Alona Bondarenko,UKR,31,Jie Zheng *,CHN,,6 - 7 (5 - 7),4 - 6,,,,
4,8,Maria Kirilenko *,RUS,,Dinara Safina,RUS,2,5 - 4,,,,,Retired
5,1,Serena Williams *,USA,1,Victoria Azarenka,BLR,7,4 - 6,7 - 6 (7 - 4),6 - 2,,,
5,2,Na Li *,CHN,16,Venus Williams,USA,6,2 - 6,7 - 6 (7 - 4),7 - 5,,,
5,3,Justine Henin *,BEL,,Nadia Petrova,RUS,19,7 - 6 (7 - 3),7 - 5,,,,
5,4,Jie Zheng *,CHN,,Maria Kirilenko,RUS,,6 - 1,6 - 3,,,,
6,1,Serena Williams *,USA,1,Na Li,CHN,16,7 - 6 (7 - 4),7 - 6 (7 - 1),,,,
6,2,Justine Henin *,BEL,,Jie Zheng,CHN,,6 - 1,6 - 0,,,,
7,1,Serena Williams *,USA,1,Justine Henin,BEL,,6 - 4,3 - 6,6 - 2,,,
