Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Rafael Nadal *,ESP,1,Robby Ginepri,USA,,6 - 0,6 - 3,6 - 0,,,
1,2,Paul-Henri Mathieu,FRA,,Dominic Thiem *,AUT,,4 - 6,6 - 7 (3 - 7),2 - 6,,,
1,3,James Duckworth,AUS,,Leonardo Mayer *,ARG,,7 - 5,2 - 6,4 - 6,6 - 7 (2 - 7),,
1,4,Teymuraz Gabashvili *,RUS,,Vasek Pospisil,CAN,30,6 - 4,6 - 2,6 - 3,,,
1,5,Nicolas Almagro,ESP,21,Jack Sock *,USA,,0 - 5,,,,,Retired
1,6,Steve Johnson *,USA,,Laurent Lokoli,FRA,,4 - 6,6 - 7 (7 - 9),7 - 6 (7 - 3),6 - 3,6 - 3,
1,7,Dusan Lajovic *,SRB,,Federico Delbonis,ARG,,6 - 3,6 - 2,6 - 3,,,
1,8,Jurgen Zopp *,EST,,Tommy Haas,GER,16,2 - 5,,,,,Retired
1,9,Grigor Dimitrov,BUL,11,Ivo Karlovic *,CRO,,4 - 6,5 - 7,6 - 7 (4 - 7),,,
1,10,Andreas Haider-Maurer *,AUT,,Daniel Brands,GER,,4 - 6,4 - 6,6 - 2,6 - 3,6 - 4,
1,11,Axel Michon *,FRA,,Bradley Klahn,USA,,6 - 1,6 - 7 (4 - 7),5 - 7,6 - 1,6 - 4,
1,12,Stephane Robert,FRA,,Kevin Anderson *,RSA,19,5 - 7,3 - 6,4 - 6,,,
1,13,Andreas Seppi *,ITA,32,Santiago Giraldo,COL,,6 - 3,7 - 5,6 - 3,,,
1,14,Juan Monaco *,ARG,,Lucas Pouille,FRA,,6 - 3,6 - 1,6 - 4,,,
1,15,Simone Bolelli *,ITA,,Andrea Arnaboldi,ITA,,6 - 4,6 - 4,6 - 2,,,
1,16,Igor Sijsling,NED,,David Ferrer *,ESP,5,4 - 6,3 - 6,1 - 6,,,
1,17,Stan Wawrinka,SUI,3,Guillermo Garcia-Lopez *,ESP,,4 - 6,7 - 5,2 - 6,0 - 6,,
1,18,Adrian Mannarino *,FRA,,Yen-Hsun Lu,TPE,,6 - 2,6 - 1,6 - 1,,,
1,19,Donald Young *,USA,,Dudi Sela,ISR,,6 - 1,2 - 6,6 - 1,6 - 0,,
1,20,Damir Dzumhur,BIH,,Feliciano Lopez *,ESP,26,3 - 6,6 - 7 (8 - 10),3 - 6,,,
1,21,Gael Monfils *,FRA,23,Victor Hanescu,ROU,,6 - 2,4 - 6,6 - 4,6 - 2,,
1,22,Albano Olivetti,FRA,,Jan-Lennard Struff *,GER,,1 - 6,4 - 6,4 - 6,,,
1,23,Benjamin Becker,GER,,Thomaz Bellucci *,BRA,,2 - 6,4 - 6,6 - 3,6 - 4,2 - 6,
1,24,Andreas Beck,GER,,Fabio Fognini *,ITA,14,4 - 6,4 - 6,1 - 6,,,
1,25,Richard Gasquet *,FRA,12,Bernard Tomic,AUS,,6 - 2,6 - 1,7 - 5,,,
1,26,Lleyton Hewitt,AUS,,Carlos Berlocq *,ARG,,6 - 3,2 - 6,1 - 6,4 - 6,,
1,27,Matthew Ebden,AUS,,Pablo Cuevas *,URU,,1 - 6,2 - 6,3 - 6,,,
1,28,Michael Llodra,FRA,,Fernando Verdasco *,ESP,24,2 - 6,6 - 7 (4 - 7),6 - 7 (3 - 7),,,
1,29,Philipp Kohlschreiber *,GER,28,Pere Riba,ESP,,7 - 5,6 - 4,6 - 1,,,
1,30,Sergiy Stakhovsky,UKR,,Denis Istomin *,UZB,,3 - 6,4 - 6,6 - 2,3 - 6,,
1,31,Marinko Matosevic *,AUS,,Dustin Brown,GER,,7 - 6 (7 - 5),6 - 4,6 - 7 (1 - 7),7 - 5,,
1,32,Andrey Golubev,KAZ,,Andy Murray *,GBR,7,1 - 6,4 - 6,6 - 3,3 - 6,,
1,33,Tomas Berdych *,CZE,6,Peter Polansky,CAN,,6 - 3,6 - 4,6 - 4,,,
