Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Roger Federer *,SUI,1,Devin Britton,USA,,6 - 1,6 - 3,7 - 5,,,
1,2,Giovanni Lapentti,ECU,,Simon Greul *,GER,,3 - 6,6 - 4,6 - 3,0 - 6,6 - 7 (9 - 11),
1,3,Juan Ignacio Chela *,ARG,,Oscar Hernandez,ESP,,6 - 4,6 - 4,6 - 2,,,
1,4,Thiago Alves,BRA,,Lleyton Hewitt *,AUS,31,0 - 6,3 - 6,4 - 6,,,
1,5,James Blake *,USA,21,Ruben Ramirez Hidalgo,ESP,,6 - 1,6 - 4,7 - 5,,,
1,6,Olivier Rochus *,BEL,,Igor Kunitsyn,RUS,,6 - 3,6 - 0,6 - 2,,,
1,7,Peter Polansky,CAN,,Guillermo Garcia-Lopez *,ESP,,4 - 6,4 - 6,7 - 5,6 - 3,1 - 6,
1,8,Donald Young,USA,,Tommy Robredo *,ESP,14,4 - 6,6 - 3,2 - 6,3 - 6,,
1,9,Robin Soderling *,SWE,12,Albert Montanes,ESP,,6 - 1,3 - 6,6 - 1,6 - 4,,
1,10,Mischa Zverev,GER,,Marcel Granollers *,ESP,,6 - 2,5 - 7,6 - 3,4 - 6,0 - 6,
1,11,Kevin Kim *,USA,,Dudi Sela,ISR,,6 - 3,0 - 6,6 - 2,6 - 2,,
1,12,Michael Yani,USA,,Sam Querrey *,USA,22,3 - 6,5 - 7,4 - 6,,,
1,13,Paul-Henri Mathieu,FRA,26,Mikhail Youzhny *,RUS,,6 - 2,5 - 7,0 - 6,2 - 6,,
1,14,Potito Starace,ITA,,Marco Chiudinelli *,SUI,,6 - 7 (3 - 7),6 - 7 (2 - 7),0 - 6,,,
1,15,Jan Hernych *,CZE,,Rainer Schuettler,GER,,1 - 6,7 - 6 (7 - 5),6 - 4,2 - 6,6 - 3,
1,16,Dieter Kindlmann,GER,,Nikolay Davydenko *,RUS,8,3 - 6,4 - 6,5 - 7,,,
1,17,Novak Djokovic *,SRB,4,Ivan Ljubicic,CRO,,6 - 3,6 - 1,6 - 3,,,
1,18,Juan Pablo Brzezicki,ARG,,Carsten Ball *,AUS,,6 - 7 (5 - 7),3 - 6,4 - 6,,,
1,19,Karol Beck,SVK,,Maximo Gonzalez *,ARG,,6 - 2,6 - 1,1 - 6,4 - 6,3 - 6,
1,20,Jesse Witten *,USA,,Igor Andreev,RUS,29,6 - 4,6 - 0,6 - 2,,,
1,21,Philipp Kohlschreiber *,GER,23,Andreas Seppi,ITA,,6 - 0,6 - 4,6 - 4,,,
1,22,Somdev Devvarman *,IND,,Frederico Gil,POR,,6 - 3,6 - 4,6 - 3,,,
1,23,Andrey Golubev,KAZ,,Leonardo Mayer *,ARG,,4 - 6,6 - 4,5 - 7,3 - 6,,
1,24,Simone Bolelli,ITA,,Radek Stepanek *,CZE,15,4 - 6,4 - 6,4 - 6,,,
1,25,Fernando Verdasco *,ESP,10,Benjamin Becker,GER,,7 - 5,6 - 4,7 - 5,,,
1,26,Florent Serra *,FRA,,Janko Tipsarevic,SRB,,7 - 6 (10 - 8),7 - 6 (7 - 5),7 - 6 (7 - 5),,,
1,27,Robert Kendrick *,USA,,Martin Vassallo Arguello,ARG,,6 - 3,6 - 2,6 - 2,,,
1,28,Alejandro Falla,COL,,Tommy Haas *,GER,20,5 - 7,6 - 4,6 - 7 (7 - 9),2 - 6,,
1,29,Victor Hanescu,ROU,28,John Isner *,USA,,1 - 6,6 - 7 (14 - 16),6 - 7 (5 - 7),,,
1,30,Marsel Ilhan *,TUR,,Christophe Rochus,BEL,,3 - 6,6 - 3,3 - 6,7 - 5,7 - 5,
1,31,Marc Gicquel *,FRA,,Dmitry Tursunov,RUS,,6 - 2,5 - 7,6 - 3,6 - 3,,
1,32,Bjorn Phau,GER,,Andy Roddick *,USA,5,1 - 6,4 - 6,2 - 6,,,
1,33,Jo-Wilfried Tsonga *,FRA,7,Chase Buchanan,USA,,6 - 0,6 - 2,6 - 1,,,
1,34,Jarkko Nieminen *,FIN,,Fabio Fognini,ITA,,7 - 5,7 - 6 (8 - 6),6 - 4,,,
1,35,Flavio Cipolla,ITA,,Julien Benneteau *,FRA,,6 - 4,1 - 6,3 - 6,3 - 6,,
1,36,Peter Luczak,AUS,,Viktor Troicki *,SRB,30,3 - 6,3 - 6,6 - 1,6 - 2,1 - 6,
1,37,Tomas Berdych *,CZE,17,Wayne Odesnik,USA,,7 - 5,6 - 4,6 - 4,,,
1,38,Michael Berrer,GER,,Horacio Zeballos *,ARG,,3 - 6,6 - 7 (7 - 9),6 - 3,0 - 6,,
1,39,Josselin Ouanna *,FRA,,Rajeev Ram,USA,,7 - 6 (7 - 4),6 - 4,3 - 6,6 - 3,,
1,40,Nicolas Massu,CHI,,Fernando Gonzalez *,CHI,11,3 - 6,3 - 6,3 - 6,,,
1,41,Gael Monfils *,FRA,13,Jeremy Chardy,FRA,,6 - 1,6 - 4,6 - 3,,,
1,42,Evgeny Korolev,RUS,,Andreas Beck *,GER,,3 - 6,4 - 6,6 - 2,6 - 2,4 - 6,
1,43,Marcos Daniel,BRA,,Jose Acasuso *,ARG,,2 - 6,4 - 6,3 - 6,,,
1,44,Alberto Martin,ESP,,David Ferrer *,ESP,18,5 - 7,7 - 5,3 - 6,3 - 6,,
1,45,Nicolas Almagro *,ESP,32,Steve Darcis,BEL,,6 - 2,6 - 4,2 - 6,7 - 6 (10 - 8),,
1,46,Robby Ginepri *,USA,,Andrei Pavel,ROU,,5 - 7,6 - 2,6 - 4,6 - 0,,
1,47,Michael Llodra,FRA,,Nicolas Kiefer *,GER,,3 - 6,4 - 6,4 - 6,,,
1,48,Richard Gasquet,FRA,,Rafael Nadal *,ESP,3,2 - 6,2 - 6,3 - 6,,,
1,49,Juan Martin Del Potro *,ARG,6,Juan Monaco,ARG,,6 - 3,6 - 3,6 - 1,,,
1,50,Jurgen Melzer *,AUT,,Marat Safin,RUS,,1 - 6,6 - 4,6 - 3,6 - 4,,
