Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Maria Sharapova *,RUS,1,Anastasia Rodionova,AUS,,6 - 2,6 - 3,,,,
1,2,Vesna Dolonc,SRB,,Tsvetana Pironkova *,BUL,,7 - 5,0 - 6,5 - 7,,,
1,3,Su-Wei Hsieh *,TPE,,Virginie Razzano,FRA,,6 - 2,6 - 4,,,,
1,4,Stephanie Foretz Gacon *,FRA,,Monica Niculescu,ROU,29,6 - 4,3 - 6,6 - 3,,,
1,5,Petra Cetkovska *,CZE,23,Vania King,USA,,6 - 4,6 - 2,,,,
1,6,Sloane Stephens *,USA,,Karolina Pliskova,CZE,,6 - 2,6 - 2,,,,
1,7,Bojana Jovanovski *,SRB,,Eleni Daniilidou,GRE,,5 - 7,6 - 3,2 - 0,,,Retired
1,8,Petra Martic,CRO,,Sabine Lisicki *,GER,15,4 - 6,2 - 6,,,,
1,9,Vera Zvonareva *,RUS,12,Mona Barthel,GER,,2 - 6,7 - 6 (7 - 3),6 - 4,,,
1,10,Edina Gallovits-Hall,ROU,,Silvia Soler-Espinosa *,ESP,,6 - 4,4 - 6,8 - 10,,,
1,11,Kai-Chen Chang,TPE,,Andrea Hlavackova *,CZE,,1 - 6,2 - 6,,,,
1,12,Kim Clijsters *,BEL,,Jelena Jankovic,SRB,18,6 - 2,6 - 4,,,,
1,13,Christina McHale *,USA,28,Johanna Konta,GBR,,6 - 7 (4 - 7),6 - 2,10 - 8,,,
1,14,Lesia Tsurenko,UKR,,Mathilde Johansson *,FRA,,6 - 3,0 - 6,3 - 6,,,
1,15,Ekaterina Makarova *,RUS,,Alberta Brianti,ITA,,6 - 2,3 - 6,6 - 3,,,
1,16,Lucie Hradecka,CZE,,Angelique Kerber *,GER,8,4 - 6,1 - 6,,,,
1,17,Agnieszka Radwanska *,POL,3,Magdalena Rybarikova,SVK,,6 - 3,6 - 3,,,,
1,18,Venus Williams,USA,,Elena Vesnina *,RUS,,1 - 6,3 - 6,,,,
1,19,Iveta Benesova,CZE,,Heather Watson *,GBR,,2 - 6,1 - 6,,,,
1,20,Jamie Lee Hampton *,USA,,Daniela Hantuchova,SVK,27,6 - 4,7 - 6 (7 - 1),,,,
1,21,Nadia Petrova *,RUS,20,Maria Elena Camerin,ITA,,6 - 0,6 - 2,,,,
1,22,Timea Babos *,HUN,,Melanie Oudin,USA,,6 - 4,4 - 6,6 - 3,,,
1,23,Tamarine Tanasugarn,THA,,Anna Tatishvili *,GEO,,4 - 6,2 - 6,,,,
1,24,Camila Giorgi *,ITA,,Flavia Pennetta,ITA,16,6 - 4,6 - 3,,,,
1,25,Na Li *,CHN,11,Ksenia Pervak,KAZ,,6 - 3,6 - 1,,,,
1,26,Sorana Cirstea *,ROU,,Pauline Parmentier,FRA,,6 - 4,6 - 1,,,,
