Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Serena Williams *,USA,1,Stefanie Voegele,SUI,,7 - 6 (7 - 2),6 - 2,,,,
1,2,Melinda Czink,HUN,,Julia Goerges *,GER,,2 - 6,3 - 6,,,,
1,3,Katie O'brien,GBR,,Jill Craybas *,USA,,0 - 6,6 - 4,2 - 6,,,
1,4,Alize Cornet,FRA,,Anastasia Pavlyuchenkova *,RUS,29,4 - 6,2 - 6,,,,
1,5,Shahar Peer *,ISR,18,Nuria Llagostera Vives,ESP,,6 - 1,6 - 4,,,,
1,6,Vania King,USA,,Bethanie Mattek-Sands *,USA,,2 - 6,2 - 6,,,,
1,7,Shenay Perry,USA,,Olivia Sanchez *,FRA,,6 - 7 (4 - 7),0 - 6,,,,
1,8,Maria Elena Camerin,ITA,,Marion Bartoli *,FRA,13,2 - 6,3 - 6,,,,
1,9,Maria Sharapova *,RUS,12,Ksenia Pervak,RUS,,6 - 3,6 - 2,,,,
1,10,Ayumi Morita,JPN,,Kirsten Flipkens *,BEL,,1 - 6,4 - 6,,,,
1,11,Klara Zakopalova *,CZE,,Katarina Srebotnik,SLO,,7 - 6 (7 - 3),4 - 6,6 - 2,,,
1,12,Tsvetana Pironkova,BUL,,Justine Henin *,BEL,22,4 - 6,3 - 6,,,,
1,13,Jie Zheng *,CHN,25,Ekaterina Bychkova,RUS,,7 - 5,6 - 4,,,,
1,14,Anastasia Pivovarova *,RUS,,Ioana Raluca Olaru,ROU,,6 - 4,6 - 3,,,,
1,15,Barbora Zahlavova Strycova,CZE,,Rossana De Los Rios *,PAR,,6 - 7 (2 - 7),3 - 6,,,,
1,16,Simona Halep,ROU,,Samantha Stosur *,AUS,7,5 - 7,1 - 6,,,,
1,17,Jelena Jankovic *,SRB,4,Alicia Molik,AUS,,6 - 0,6 - 4,,,,
1,18,Kaia Kanepi *,EST,,Pauline Parmentier,FRA,,6 - 3,6 - 1,,,,
1,19,Sofia Arvidsson,SWE,,Magdalena Rybarikova *,SVK,,7 - 6 (7 - 2),3 - 6,2 - 6,,,
