Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Roger Federer *,SUI,1,Bjorn Phau,GER,,7 - 5,6 - 0,6 - 4,,,
1,2,Jonas Bjorkman *,SWE,,Olivier Patience,FRA,,5 - 7,4 - 6,6 - 0,6 - 1,6 - 2,
1,3,Simon Greul,GER,,Yen-Hsun Lu *,TPE,,3 - 6,4 - 6,3 - 6,,,
1,4,Jan Hernych,CZE,,Mikhail Youzhny *,RUS,25,6 - 7 (6 - 8),2 - 6,0 - 6,,,
1,5,Juan Carlos Ferrero *,ESP,24,Jan Hajek,CZE,,3 - 0,,,,,Retired
1,6,Danai Udomchoke *,THA,,Martin Vassallo Arguello,ARG,,6 - 3,6 - 3,6 - 2,,,
1,7,Feliciano Lopez *,ESP,,Brian Wilson,USA,,7 - 6 (10 - 8),4 - 6,6 - 3,7 - 6 (7 - 3),,
1,8,Nicolas Massu,CHI,,Novak Djokovic *,SRB,14,1 - 6,1 - 6,0 - 6,,,
1,9,Marcos Baghdatis *,CYP,11,Rainer Schuettler,GER,,6 - 4,2 - 6,6 - 3,6 - 2,,
1,10,Gael Monfils *,FRA,,Daniele Bracciali,ITA,,7 - 6 (7 - 2),6 - 7 (9 - 11),6 - 4,7 - 6 (7 - 5),,
1,11,Gilles Simon,FRA,,Amer Delic *,USA,,3 - 6,0 - 6,2 - 6,,,
1,12,Filippo Volandri,ITA,,Richard Gasquet *,FRA,18,4 - 6,4 - 6,2 - 6,,,
1,13,Jose Acasuso,ARG,27,Sam Querrey *,USA,,7 - 6 (7 - 2),4 - 6,1 - 6,3 - 6,,
1,14,Florent Serra *,FRA,,Nicolas Devilder,FRA,,7 - 5,6 - 2,6 - 4,,,
1,15,Ivo Karlovic,CRO,,Jurgen Melzer *,AUT,,4 - 6,4 - 6,6 - 7 (6 - 8),,,
1,16,Ruben Ramirez Hidalgo,ESP,,Tommy Robredo *,ESP,7,4 - 6,4 - 6,0 - 6,,,
1,17,Ivan Ljubicic,CRO,4,Mardy Fish *,USA,,6 - 4,6 - 7 (2 - 7),4 - 6,4 - 6,,
1,18,Nicolas Mahut *,FRA,,Juan Monaco,ARG,,6 - 0,6 - 7 (0 - 7),6 - 3,6 - 4,,
1,19,Stefan Koubek,AUT,,Wayne Arthurs *,AUS,,6 - 1,7 - 6 (7 - 4),6 - 7 (5 - 7),2 - 6,3 - 6,
1,20,Zack Fleishman *,USA,,Agustin Calleri,ARG,30,7 - 5,4 - 6,6 - 3,6 - 4,,
1,21,Radek Stepanek *,CZE,20,Michael Llodra,FRA,,6 - 2,6 - 4,6 - 0,,,
1,22,Lukas Dlouhy *,CZE,,Teimuraz Gabashvili,RUS,,6 - 3,6 - 1,6 - 7 (5 - 7),6 - 7 (5 - 7),16 - 14,
1,23,Thomas Johansson *,SWE,,Marco Chiudinelli,SUI,,6 - 4,3 - 6,1 - 6,6 - 4,6 - 2,
1,24,Kristian Pless,DEN,,David Ferrer *,ESP,16,5 - 7,4 - 6,3 - 6,,,
1,25,Mario Ancic *,CRO,9,Go Soeda,JPN,,6 - 4,6 - 3,6 - 2,,,
1,26,Joachim Johansson,SWE,,Guillermo Garcia-Lopez *,ESP,,1 - 1,,,,,Retired
1,27,Vincent Spadea *,USA,,Igor Andreev,RUS,,6 - 2,7 - 6 (7 - 3),6 - 1,,,
1,28,Jiri Vanek,CZE,,Dominik Hrbaty *,SVK,22,7 - 6 (9 - 7),6 - 7 (1 - 7),1 - 6,3 - 6,,
1,29,Marat Safin *,RUS,26,Benjamin Becker,GER,,5 - 7,7 - 6 (7 - 2),3 - 6,6 - 3,6 - 4,
1,30,Dudi Sela *,ISR,,Paradorn Srichaphan,THA,,6 - 4,6 - 2,6 - 2,,,
1,31,Marc Gicquel *,FRA,,Alun Jones,AUS,,3 - 6,6 - 7 (1 - 7),6 - 4,6 - 1,6 - 0,
1,32,Jo-Wilfried Tsonga,FRA,,Andy Roddick *,USA,6,7 - 6 (20 - 18),6 - 7 (2 - 7),3 - 6,3 - 6,,
1,33,David Nalbandian *,ARG,8,Janko Tipsarevic,SRB,,6 - 7 (5 - 7),4 - 6,7 - 6 (7 - 2),6 - 0,2 - 1,Retired
1,34,Alan Mackin,GBR,,Nicolas Lapentti *,ECU,,4 - 6,4 - 6,2 - 6,,,
1,35,Chris Guccione,AUS,,Olivier Rochus *,BEL,,6 - 3,5 - 7,5 - 7,7 - 6 (7 - 4),7 - 9,
1,36,Christophe Rochus,BEL,,Sebastien Grosjean *,FRA,28,2 - 6,1 - 4,,,,Retired
1,37,Robin Soderling,SWE,23,Florian Mayer *,GER,,6 - 3,4 - 6,6 - 3,4 - 6,0 - 6,
1,38,Andreas Seppi *,ITA,,Bobby Reynolds,USA,,6 - 1,6 - 7 (4 - 7),6 - 7 (5 - 7),7 - 6 (7 - 3),6 - 3,
1,39,Marin Cilic,CRO,,Ilia Bozoljac *,SRB,,2 - 6,4 - 6,1 - 6,,,
1,40,Albert Montanes,ESP,,Tommy Haas *,GER,12,5 - 7,1 - 6,6 - 7 (3 - 7),,,
1,41,Tomas Berdych *,CZE,13,Hyung-Taik Lee,KOR,,6 - 1,6 - 2,6 - 2,,,
1,42,Lukas Lacko,SVK,,Robert Smeets *,AUS,,2 - 6,6 - 3,1 - 6,4 - 6,,
1,43,Max Mirnyi *,BLR,,Luis Horna,PER,,7 - 6 (7 - 4),3 - 6,2 - 6,6 - 4,6 - 4,
1,44,Alexander Waske,GER,,Dmitry Tursunov *,RUS,21,7 - 5,4 - 6,3 - 6,4 - 6,,
1,45,Xavier Malisse,BEL,29,Arnaud Clement *,FRA,,3 - 6,6 - 3,5 - 7,4 - 6,,
1,46,Fabrice Santoro *,FRA,,Igor Kunitsyn,RUS,,7 - 6 (7 - 5),6 - 3,6 - 0,,,
1,47,Gilles Muller *,LUX,,Gaston Gaudio,ARG,,6 - 0,4 - 6,6 - 2,6 - 3,,
1,48,Sergio Roitman,ARG,,Nikolay Davydenko *,RUS,3,2 - 6,5 - 7,2 - 6,,,
1,49,James Blake *,USA,5,Carlos Moya,ESP,,7 - 6 (10 - 8),6 - 2,6 - 4,,,
1,50,Peter Luczak,AUS,,Alex Kuznetsov *,USA,,4 - 6,7 - 5,7 - 6 (7 - 5),1 - 6,4 - 6,
1,51,Mischa Zverev *,GER,,Michael Berrer,GER,,6 - 4,7 - 6 (7 - 1),3 - 6,6 - 4,,
1,52,Robby Ginepri *,USA,,Nicolas Almagro,ESP,32,4 - 6,6 - 2,4 - 6,7 - 5,6 - 3,
1,53,Lleyton Hewitt *,AUS,19,Michael Russell,USA,,3 - 6,2 - 6,6 - 3,6 - 3,6 - 3,
1,54,Frank Dancevic *,CAN,,Victor Hanescu,ROM,,6 - 3,6 - 3,7 - 6 (7 - 3),,,
1,55,Juan Martin Del Potro *,ARG,,Alessio Di Mauro,ITA,,6 - 3,6 - 3,6 - 1,,,
1,56,Evgeny Korolev,RUS,,Fernando Gonzalez *,CHI,10,7 - 6 (7 - 4),6 - 7 (6 - 8),3 - 6,2 - 6,,
1,57,Andy Murray *,GBR,15,Alberto Martin,ESP,,6 - 0,6 - 0,6 - 1,,,
1,58,Fernando Verdasco *,ESP,,Paul-Henri Mathieu,FRA,,6 - 7 (5 - 7),4 - 6,6 - 6 (1 - 3),,,Retired
1,59,Juan Ignacio Chela *,ARG,,Potito Starace,ITA,,7 - 6 (7 - 5),6 - 4,6 - 4,,,
1,60,Paul Goldstein,USA,,Jarkko Nieminen *,FIN,17,7 - 5,2 - 6,6 - 7 (4 - 7),4 - 6,,
1,61,Stanislas Wawrinka *,SUI,31,Kevin Kim,USA,,6 - 1,2 - 6,6 - 4,6 - 2,,
1,62,Julien Benneteau,FRA,,Paul Capdeville *,CHI,,6 - 4,7 - 6 (7 - 4),2 - 6,1 - 6,2 - 6,
