Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Novak Djokovic *,SRB,1,Conor Niland,IRL,,6 - 0,5 - 1,,,,Retired
1,2,Pere Riba,ESP,,Carlos Berlocq *,ARG,,5 - 7,0 - 6,1 - 6,,,
1,3,Potito Starace *,ITA,,Michael Berrer,GER,,6 - 4,4 - 6,6 - 3,6 - 2,,
1,4,Nikolay Davydenko *,RUS,,Ivan Dodig,CRO,32,6 - 7 (6 - 8),6 - 3,6 - 0,2 - 6,6 - 2,
1,5,Alexandr Dolgopolov *,UKR,22,Frederico Gil,POR,,6 - 4,6 - 2,7 - 5,,,
1,6,Kei Nishikori,JPN,,Flavio Cipolla *,ITA,,4 - 6,2 - 6,,,,Retired
1,7,Ivo Karlovic *,CRO,,Fernando Gonzalez,CHI,,6 - 4,6 - 4,7 - 6 (7 - 3),,,
1,8,Sergiy Stakhovsky,UKR,,Richard Gasquet *,FRA,13,4 - 6,4 - 6,0 - 6,,,
1,9,Tomas Berdych *,CZE,9,Romain Jouan,FRA,,6 - 2,7 - 6 (7 - 4),6 - 1,,,
1,10,Fabio Fognini *,ITA,,Horacio Zeballos,ARG,,5 - 7,6 - 4,7 - 6 (7 - 5),6 - 4,,
1,11,Philipp Petzschner *,GER,,Albert Ramos,ESP,,7 - 5,6 - 7 (2 - 7),6 - 3,6 - 7 (5 - 7),6 - 3,
1,12,Augustin Gensse,FRA,,Janko Tipsarevic *,SRB,20,2 - 6,5 - 7,0 - 6,,,
1,13,Marcel Granollers *,ESP,31,Xavier Malisse,BEL,,6 - 4,6 - 4,6 - 4,,,
1,14,Mikhail Kukushkin *,KAZ,,Albert Montanes,ESP,,7 - 5,6 - 2,3 - 6,7 - 6 (7 - 5),,
1,15,Pablo Andujar,ESP,,Juan Carlos Ferrero *,ESP,,6 - 1,5 - 7,7 - 5,1 - 6,3 - 6,
1,16,Grigor Dimitrov,BUL,,Gael Monfils *,FRA,7,6 - 7 (4 - 7),3 - 6,4 - 6,,,
1,17,Roger Federer *,SUI,3,Santiago Giraldo,COL,,6 - 4,6 - 3,6 - 2,,,
1,18,Dudi Sela *,ISR,,Thomaz Bellucci,BRA,,4 - 6,2 - 6,6 - 4,6 - 3,6 - 0,
1,19,Michael Yani,USA,,Bernard Tomic *,AUS,,3 - 6,4 - 6,4 - 6,,,
1,20,Ryan Harrison,USA,,Marin Cilic *,CRO,27,2 - 6,5 - 7,6 - 7 (6 - 8),,,
1,21,Radek Stepanek *,CZE,23,Philipp Kohlschreiber,GER,,6 - 4,6 - 1,6 - 3,,,
1,22,Juan Monaco *,ARG,,Andreas Seppi,ITA,,7 - 6 (7 - 1),6 - 2,6 - 2,,,
1,23,Tommy Haas *,GER,,Jonathan Dasnieres De Veigy,FRA,,6 - 3,6 - 4,6 - 7 (5 - 7),6 - 1,,
1,24,Alejandro Falla *,COL,,Viktor Troicki,SRB,15,3 - 6,6 - 3,4 - 6,7 - 5,7 - 5,
1,25,Jo-Wilfried Tsonga *,FRA,11,Yen-Hsun Lu,TPE,,6 - 4,6 - 4,6 - 4,,,
1,26,Andreas Haider-Maurer,AUT,,Sergei Bubka *,UKR,,3 - 6,2 - 6,6 - 3,4 - 6,,
1,27,Marsel Ilhan *,TUR,,Frank Dancevic,CAN,,6 - 3,6 - 2,1 - 0,,,Retired
1,28,Jarkko Nieminen,FIN,,Fernando Verdasco *,ESP,19,6 - 3,4 - 6,1 - 6,4 - 6,,
1,29,Michael Llodra *,FRA,29,Victor Hanescu,ROU,,6 - 2,4 - 6,4 - 6,6 - 3,6 - 2,
1,30,Kevin Anderson *,RSA,,Go Soeda,JPN,,6 - 1,6 - 3,6 - 0,,,
1,31,Malek Jaziri *,TUN,,Thiemo de Bakker,NED,,4 - 6,6 - 1,6 - 4,6 - 2,,
1,32,Tobias Kamke,GER,,Mardy Fish *,USA,8,2 - 6,2 - 6,1 - 6,,,
1,33,Rogerio Dutra Da Silva *,BRA,,Louk Sorensen,IRL,,6 - 0,3 - 6,6 - 4,1 - 0,,Retired
1,34,Alex Bogomolov Jr. *,USA,,Steve Johnson,USA,,4 - 6,4 - 6,6 - 3,7 - 6 (7 - 3),6 - 3,
1,35,Robby Ginepri *,USA,,Joao Souza,BRA,,6 - 3,6 - 4,6 - 7 (5 - 7),6 - 1,,
1,36,Marcos Baghdatis,CYP,,John Isner *,USA,28,6 - 7 (2 - 7),6 - 7 (11 - 13),6 - 2,4 - 6,,
1,37,Juan Martin Del Potro *,ARG,18,Filippo Volandri,ITA,,6 - 3,6 - 1,6 - 1,,,
1,38,Diego Junqueira *,ARG,,Karol Beck,SVK,,6 - 2,,,,,Retired
1,39,Guillermo Garcia-Lopez *,ESP,,Daniel Gimeno-Traver,ESP,,6 - 3,1 - 6,7 - 6 (7 - 1),4 - 6,7 - 6 (7 - 4),
1,40,Ricardo Mello,BRA,,Gilles Simon *,FRA,12,6 - 3,3 - 6,4 - 6,6 - 3,4 - 6,
1,41,Stanislas Wawrinka *,SUI,14,Maximo Gonzalez,ARG,,3 - 6,6 - 4,6 - 1,6 - 3,,
1,42,Donald Young *,USA,,Lukas Lacko,SVK,,6 - 4,6 - 2,6 - 4,,,
1,43,Dmitry Tursunov,RUS,,Steve Darcis *,BEL,,7 - 6 (7 - 4),6 - 4,5 - 7,1 - 6,6 - 7 (0 - 7),
1,44,Marinko Matosevic,AUS,,Juan Ignacio Chela *,ARG,24,1 - 3,,,,,Retired
1,45,Feliciano Lopez *,ESP,25,Tatsuma Ito,JPN,,6 - 2,6 - 4,6 - 4,,,
1,46,Vasek Pospisil *,CAN,,Lukas Rosol,CZE,,6 - 1,6 - 2,6 - 1,,,
1,47,Rui Machado,POR,,Robin Haase *,NED,,0 - 6,4 - 6,4 - 6,,,
1,48,Somdev Devvarman,IND,,Andy Murray *,GBR,4,6 - 7 (5 - 7),2 - 6,3 - 6,,,
1,49,David Ferrer *,ESP,5,Igor Andreev,RUS,,2 - 6,6 - 3,6 - 0,6 - 4,,
1,50,James Blake *,USA,,Jesse Huta Galung,NED,,6 - 4,6 - 2,4 - 6,6 - 4,,
1,51,Olivier Rochus,BEL,,Jean-Rene Lisnard *,MON,,6 - 7 (5 - 7),2 - 6,4 - 6,,,
1,52,Adrian Mannarino,FRA,,Florian Mayer *,GER,26,2 - 6,0 - 6,1 - 6,,,
1,53,Andy Roddick *,USA,21,Michael Russell,USA,,6 - 2,6 - 4,4 - 6,7 - 5,,
1,54,Jack Sock *,USA,,Marc Gicquel,FRA,,6 - 4,6 - 3,1 - 6,6 - 4,,
1,55,Denis Istomin *,UZB,,Ryan Sweeting,USA,,3 - 6,7 - 5,6 - 4,7 - 6 (7 - 4),,
1,56,Julien Benneteau *,FRA,,Nicolas Almagro,ESP,10,6 - 2,6 - 4,6 - 3,,,
1,57,Mikhail Youzhny,RUS,16,Ernests Gulbis *,LAT,,2 - 6,4 - 6,4 - 6,,,
1,58,Edouard Roger-Vasselin,FRA,,Gilles Muller *,LUX,,6 - 7 (5 - 7),4 - 6,4 - 6,,,
1,59,Matthias Bachinger,GER,,Igor Kunitsyn *,RUS,,6 - 2,6 - 1,1 - 6,4 - 6,4 - 6,
1,60,Eric Prodon,FRA,,Jurgen Melzer *,AUT,17,2 - 6,6 - 7 (4 - 7),2 - 6,,,
1,61,Ivan Ljubicic *,CRO,30,Blaz Kavcic,SLO,,7 - 6 (7 - 5),3 - 6,6 - 1,7 - 5,,
1,62,Bobby Reynolds,USA,,David Nalbandian *,ARG,,6 - 4,3 - 6,4 - 6,3 - 6,,
1,63,Nicolas Mahut *,FRA,,Robert Farah,COL,,3 - 6,6 - 7 (4 - 7),6 - 2,6 - 4,6 - 0,
1,64,Andrey Golubev,KAZ,,Rafael Nadal *,ESP,2,3 - 6,6 - 7 (1 - 7),5 - 7,,,
2,1,Novak Djokovic *,SRB,1,Carlos Berlocq,ARG,,6 - 0,6 - 0,6 - 2,,,
2,2,Potito Starace,ITA,,Nikolay Davydenko *,RUS,,2 - 6,4 - 6,5 - 7,,,
2,3,Alexandr Dolgopolov *,UKR,22,Flavio Cipolla,ITA,,6 - 0,7 - 5,2 - 6,5 - 7,6 - 4,
2,4,Ivo Karlovic *,CRO,,Richard Gasquet,FRA,13,6 - 4,6 - 2,2 - 6,7 - 6 (7 - 4),,
2,5,Tomas Berdych *,CZE,9,Fabio Fognini,ITA,,7 - 5,6 - 0,6 - 0,,,
2,6,Philipp Petzschner,GER,,Janko Tipsarevic *,SRB,20,0 - 6,3 - 6,6 - 3,3 - 6,,
2,7,Marcel Granollers *,ESP,31,Mikhail Kukushkin,KAZ,,7 - 5,6 - 3,6 - 4,,,
2,8,Juan Carlos Ferrero *,ESP,,Gael Monfils,FRA,7,7 - 6 (7 - 5),5 - 7,6 - 7 (5 - 7),6 - 4,6 - 4,
2,9,Roger Federer *,SUI,3,Dudi Sela,ISR,,6 - 3,6 - 2,6 - 2,,,
2,10,Bernard Tomic,AUS,,Marin Cilic *,CRO,27,1 - 6,0 - 6,2 - 6,,,
2,11,Radek Stepanek,CZE,23,Juan Monaco *,ARG,,4 - 6,1 - 6,0 - 2,,,Retired
2,12,Tommy Haas *,GER,,Alejandro Falla,COL,,7 - 6 (7 - 5),6 - 1,7 - 5,,,
2,13,Jo-Wilfried Tsonga *,FRA,11,Sergei Bubka,UKR,,6 - 3,7 - 5,6 - 2,,,
2,14,Marsel Ilhan,TUR,,Fernando Verdasco *,ESP,19,4 - 6,3 - 6,1 - 6,,,
2,15,Michael Llodra,FRA,29,Kevin Anderson *,RSA,,1 - 6,2 - 6,2 - 6,,,
2,16,Malek Jaziri,TUN,,Mardy Fish *,USA,8,2 - 6,2 - 6,4 - 6,,,
2,17,Rogerio Dutra Da Silva,BRA,,Alex Bogomolov Jr. *,USA,,4 - 6,3 - 6,5 - 7,,,
2,18,Robby Ginepri,USA,,John Isner *,USA,28,4 - 6,3 - 6,4 - 6,,,
2,19,Juan Martin Del Potro *,ARG,18,Diego Junqueira,ARG,,6 - 2,6 - 1,7 - 5,,,
