Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Novak Djokovic *,SRB,1,David Goffin,BEL,,7 - 6 (7 - 5),6 - 4,7 - 5,,,
1,2,Ivan Dodig,CRO,,Guido Pella *,ARG,,6 - 4,4 - 6,3 - 6,6 - 2,10 - 12,
1,3,Alex Kuznetsov,USA,,Lucas Pouille *,FRA,,1 - 6,6 - 7 (2 - 7),2 - 6,,,
1,4,Alejandro Falla,COL,,Grigor Dimitrov *,BUL,26,4 - 6,0 - 1,,,,Retired
1,5,Alexandr Dolgopolov,UKR,22,Dmitry Tursunov *,RUS,,6 - 7 (7 - 9),4 - 6,6 - 7 (7 - 9),,,
1,6,Bernard Tomic,AUS,,Victor Hanescu *,ROU,,5 - 7,6 - 7 (8 - 10),1 - 2,,,Retired
1,7,Simone Bolelli,ITA,,Yen-Hsun Lu *,TPE,,4 - 6,4 - 6,1 - 2,,,Retired
1,8,Jiri Vesely,CZE,,Philipp Kohlschreiber *,GER,16,6 - 7 (3 - 7),6 - 1,5 - 7,2 - 6,,
1,9,Tommy Haas *,GER,12,Guillaume Rufin,FRA,,7 - 6 (7 - 4),6 - 1,6 - 3,,,
1,10,Jack Sock *,USA,,Guillermo Garcia-Lopez,ESP,,6 - 2,6 - 2,7 - 5,,,
1,11,Andrey Kuznetsov,RUS,,Ryan Harrison *,USA,,3 - 6,4 - 6,6 - 7 (4 - 7),,,
1,12,Carlos Berlocq,ARG,,John Isner *,USA,19,3 - 6,4 - 6,4 - 6,,,
1,13,Mikhail Youzhny *,RUS,29,Pablo Andujar,ESP,,4 - 6,6 - 4,6 - 2,6 - 3,,
1,14,Federico Delbonis *,ARG,,Julian Reister,GER,,6 - 7 (2 - 7),6 - 1,6 - 0,6 - 4,,
1,15,Fernando Verdasco *,ESP,,Marc Gicquel,FRA,,6 - 2,6 - 3,6 - 1,,,
1,16,Nicolas Mahut,FRA,,Janko Tipsarevic *,SRB,8,2 - 6,6 - 7 (4 - 7),1 - 6,,,
1,17,Rafael Nadal *,ESP,3,Daniel Brands,GER,,4 - 6,7 - 6 (7 - 4),6 - 4,6 - 3,,
1,18,Martin Klizan *,SVK,,Michael Russell,USA,,3 - 6,6 - 3,6 - 1,,,Retired
1,19,Pere Riba,ESP,,Lukas Rosol *,CZE,,3 - 6,4 - 6,4 - 6,,,
1,20,Andreas Beck,GER,,Fabio Fognini *,ITA,27,3 - 6,5 - 7,3 - 6,,,
1,21,Benoit Paire *,FRA,24,Marcos Baghdatis,CYP,,3 - 6,7 - 6 (7 - 1),6 - 4,6 - 4,,
1,22,Lukasz Kubot *,POL,,Maxime Teixeira,FRA,,6 - 4,5 - 7,7 - 6 (9 - 7),6 - 2,,
1,23,Grega Zemlja *,SLO,,Santiago Giraldo,COL,,6 - 1,6 - 4,6 - 1,,,
1,24,Jesse Levine,CAN,,Kei Nishikori *,JPN,13,3 - 6,2 - 6,0 - 6,,,
1,25,Stanislas Wawrinka *,SUI,9,Thiemo De Bakker,NED,,7 - 5,6 - 3,6 - 7 (1 - 7),7 - 5,,
1,26,Vasek Pospisil,CAN,,Horacio Zeballos *,ARG,,6 - 7 (9 - 11),4 - 6,7 - 6 (7 - 4),6 - 2,6 - 8,
1,27,Kenny De Schepper,FRA,,Robin Haase *,NED,,4 - 6,6 - 7 (3 - 7),6 - 2,3 - 6,,
1,28,Albert Ramos,ESP,,Jerzy Janowicz *,POL,21,6 - 7 (3 - 7),5 - 7,3 - 6,,,
1,29,Florian Mayer,GER,28,Denis Istomin *,UZB,,6 - 4,3 - 6,5 - 7,,,Retired
1,30,Florent Serra,FRA,,Nikolay Davydenko *,RUS,,3 - 6,4 - 6,5 - 7,,,
1,31,Michal Przysiezny *,POL,,Rhyne Williams,USA,,6 - 3,6 - 7 (5 - 7),7 - 5,7 - 5,,
1,32,Sergiy Stakhovsky,UKR,,Richard Gasquet *,FRA,7,1 - 6,4 - 6,3 - 6,,,
1,33,Tomas Berdych,CZE,5,Gael Monfils *,FRA,,6 - 7 (8 - 10),4 - 6,7 - 6 (7 - 3),7 - 6 (7 - 4),5 - 7,
1,34,Ernests Gulbis *,LAT,,Rogerio Dutra Silva,BRA,,6 - 1,7 - 6 (7 - 4),6 - 3,,,
1,35,Igor Sijsling *,NED,,Jurgen Melzer,AUT,,6 - 4,6 - 3,6 - 2,,,
1,36,Jurgen Zopp,EST,,Tommy Robredo *,ESP,32,3 - 6,2 - 6,1 - 6,,,
1,37,Andreas Seppi *,ITA,20,Leonardo Mayer,ARG,,6 - 7 (4 - 7),6 - 4,6 - 3,6 - 7 (2 - 7),6 - 4,
1,38,Blaz Kavcic *,SLO,,James Duckworth,AUS,,6 - 2,6 - 2,6 - 2,,,
1,39,Martin Alund,ARG,,Edouard Roger-Vasselin *,FRA,,2 - 6,6 - 4,1 - 6,0 - 6,,
1,40,Andreas Haider-Maurer,AUT,,Nicolas Almagro *,ESP,11,6 - 4,4 - 6,3 - 6,3 - 6,,
1,41,Milos Raonic *,CAN,14,Xavier Malisse,BEL,,6 - 2,6 - 1,4 - 6,6 - 4,,
1,42,Steve Darcis,BEL,,Michael Llodra *,FRA,,4 - 6,6 - 4,1 - 6,4 - 6,,
1,43,Jan-Lennard Struff,GER,,Evgeny Donskoy *,RUS,,6 - 7 (7 - 9),6 - 2,6 - 7 (2 - 7),2 - 6,,
1,44,Illya Marchenko,UKR,,Kevin Anderson *,RSA,23,3 - 6,5 - 7,4 - 6,,,
1,45,Marcel Granollers,ESP,31,Feliciano Lopez *,ESP,,5 - 7,6 - 2,4 - 6,6 - 4,4 - 6,
1,46,Joao Sousa *,POR,,Go Soeda,JPN,,6 - 1,6 - 3,6 - 2,,,
1,47,Steve Johnson,USA,,Albert Montanes *,ESP,,4 - 6,6 - 3,3 - 6,6 - 3,1 - 6,
1,48,Marinko Matosevic,AUS,,David Ferrer *,ESP,4,4 - 6,3 - 6,4 - 6,,,
1,49,Jo-Wilfried Tsonga *,FRA,6,Aljaz Bedene,SLO,,6 - 2,6 - 2,6 - 3,,,
1,50,Jarkko Nieminen *,FIN,,Paul-Henri Mathieu,FRA,,6 - 4,4 - 6,7 - 6 (11 - 9),4 - 6,6 - 2,
1,51,Roberto Bautista Agut *,ESP,,Gilles Muller,LUX,,6 - 3,6 - 4,6 - 2,,,
