Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Dinara Safina *,RUS,1,Anne Keothavong,GBR,,6 - 0,6 - 0,,,,
1,2,Vitalia Diatchenko *,RUS,,Mathilde Johansson,FRA,,2 - 6,6 - 2,10 - 8,,,
1,3,Nuria Llagostera Vives,ESP,,Julie Coin *,FRA,,5 - 7,2 - 6,,,,
1,4,Ioana Raluca Olaru,ROU,,Anastasia Pavlyuchenkova *,RUS,27,3 - 6,2 - 6,,,,
1,5,Alisa Kleybanova,RUS,23,Polona Hercog *,SLO,,2 - 6,6 - 4,1 - 6,,,
1,6,Ai Sugiyama,JPN,,Aravane Rezai *,FRA,,3 - 6,2 - 6,,,,
1,7,Michelle Larcher De Brito *,POR,,Melanie South,GBR,,0 - 6,7 - 6 (7 - 5),7 - 5,,,
1,8,Stephanie Cohen-Aloro,FRA,,Jie Zheng *,CHN,15,1 - 6,3 - 6,,,,
1,9,Victoria Azarenka *,BLR,9,Roberta Vinci,ITA,,6 - 4,6 - 2,,,,
1,10,Maria-Emilia Salerni,ARG,,Kristina Barrois *,GER,,6 - 3,1 - 6,2 - 6,,,
1,11,Yvonne Meusburger,AUT,,Lucie Hradecka *,CZE,,1 - 6,2 - 6,,,,
1,12,Edina Gallovits,ROU,,Carla Suarez Navarro *,ESP,22,1 - 6,4 - 6,,,,
1,13,Iveta Benesova *,CZE,32,Julia Goerges,GER,,7 - 5,4 - 1,,,,Retired
1,14,Varvara Lepchenko,USA,,Alla Kudryavtseva *,RUS,,3 - 6,3 - 6,,,,
1,15,Tamarine Tanasugarn *,THA,,Camille Pin,FRA,,6 - 3,5 - 7,7 - 5,,,
1,16,Sara Errani,ITA,,Ana Ivanovic *,SRB,8,6 - 7 (3 - 7),3 - 6,,,,
1,17,Venus Williams *,USA,3,Bethanie Mattek-Sands,USA,,6 - 1,4 - 6,6 - 2,,,
1,18,Lucie Safarova *,CZE,,Sabine Lisicki,GER,,6 - 2,1 - 6,6 - 1,,,
1,19,Elena Vesnina *,RUS,,Severine Bremond Beltrame,FRA,,6 - 3,6 - 3,,,,
1,20,Corinna Dentoni,ITA,,Agnes Szavay *,HUN,29,3 - 6,4 - 6,,,,
1,21,Dominika Cibulkova *,SVK,20,Alona Bondarenko,UKR,,6 - 4,2 - 6,6 - 4,,,
1,22,Stephanie Foretz,FRA,,Kirsten Flipkens *,BEL,,1 - 6,6 - 4,4 - 6,,,
1,23,Tamira Paszek,AUT,,Gisela Dulko *,ARG,,1 - 6,3 - 6,,,,
1,24,Anna-Lena Groenefeld *,GER,,Amelie Mauresmo,FRA,16,6 - 4,6 - 3,,,,
1,25,Nadia Petrova *,RUS,11,Lauren Embree,USA,,6 - 1,6 - 2,,,,
1,26,Anastasiya Yakimova,BLR,,Maria Sharapova *,RUS,,6 - 3,1 - 6,2 - 6,,,
1,27,Olivia Sanchez,FRA,,Arantxa Rus *,NED,,1 - 6,1 - 6,,,,
1,28,Yaroslava Shvedova *,KAZ,,Kaia Kanepi,EST,19,7 - 6 (7 - 2),3 - 6,6 - 2,,,
1,29,Na Li *,CHN,25,Marta Domachowska,POL,,6 - 4,6 - 2,,,,
1,30,Emilie Loit,FRA,,Timea Bacsinszky *,SUI,,6 - 4,4 - 6,1 - 6,,,
1,31,Irena Pavlovic,FRA,,Akgul Amanmuradova *,UZB,,3 - 6,4 - 6,,,,
1,32,Olga Govortsova *,BLR,,Katie O'brien,GBR,,6 - 1,6 - 1,,,,
1,33,Jelena Jankovic *,SRB,5,Petra Cetkovska,CZE,,6 - 2,6 - 3,,,,
1,34,Magdalena Rybarikova *,SVK,,Kristina Mladenovic,FRA,,6 - 1,2 - 6,8 - 6,,,
1,35,Jarmila Groth *,AUS,,Kinnie Laisne,FRA,,6 - 4,6 - 3,,,,
1,36,Mariana Duque Marino *,COL,,Anna Chakvetadze,RUS,26,3 - 6,6 - 4,6 - 4,,,
1,37,Alize Cornet *,FRA,21,Maret Ani,EST,,6 - 4,7 - 5,,,,
1,38,Carly Gullickson,USA,,Sorana Cirstea *,ROU,,4 - 6,2 - 6,,,,
1,39,Tsvetana Pironkova,BUL,,Jill Craybas *,USA,,5 - 7,2 - 6,,,,
1,40,Vera Dushevina,RUS,,Caroline Wozniacki *,DEN,10,6 - 4,5 - 7,1 - 6,,,
1,41,Marion Bartoli *,FRA,13,Pauline Parmentier,FRA,,3 - 6,6 - 1,6 - 3,,,
1,42,Tathiana Garbin *,ITA,,Ayumi Morita,JPN,,7 - 5,7 - 5,,,,
1,43,Virginie Razzano *,FRA,,Daniela Hantuchova,SVK,,6 - 3,6 - 3,,,,
1,44,Ekaterina Makarova,RUS,,A. Medina Garrigues *,ESP,18,2 - 6,7 - 5,0 - 6,,,
1,45,Samantha Stosur *,AUS,30,Francesca Schiavone,ITA,,6 - 4,6 - 2,,,,
1,46,Yanina Wickmayer *,BEL,,Urszula Radwanska,POL,,4 - 6,6 - 3,6 - 0,,,
1,47,Jelena Dokic *,AUS,,Karolina Sprem,CRO,,3 - 6,6 - 1,6 - 2,,,
1,48,Chanelle Scheepers,RSA,,Elena Dementieva *,RUS,4,4 - 6,3 - 6,,,,
1,49,Svetlana Kuznetsova *,RUS,7,Claire Feuerstein,FRA,,6 - 1,6 - 4,,,,
1,50,Galina Voskoboeva *,KAZ,,Sania Mirza,IND,,6 - 4,7 - 6 (7 - 3),,,,
1,51,Anastasija Sevastova,LAT,,Melinda Czink *,HUN,,6 - 3,4 - 6,1 - 6,,,
1,52,Nathalie Dechy,FRA,,Sybille Bammer *,AUT,28,3 - 6,6 - 7 (1 - 7),,,,
1,53,Patty Schnyder,SUI,17,Kateryna Bondarenko *,UKR,,4 - 6,3 - 6,,,,
1,54,Olivia Rogowska *,AUS,,Maria Kirilenko,RUS,,6 - 4,6 - 4,,,,
1,55,Patricia Mayr,AUT,,Mariya Koryttseva *,UKR,,1 - 6,1 - 6,,,,
1,56,Rossana De Los Rios,PAR,,Agnieszka Radwanska *,POL,12,3 - 6,1 - 6,,,,
1,57,Flavia Pennetta,ITA,14,Alexa Glatch *,USA,,1 - 6,1 - 6,,,,
1,58,Barbora Zahlavova Strycova,CZE,,Lourdes Dominguez Lino *,ESP,,1 - 6,6 - 4,7 - 9,,,
1,59,Mara Santangelo,ITA,,Petra Martic *,CRO,,4 - 6,2 - 6,,,,
1,60,Monica Niculescu,ROU,,Aleksandra Wozniak *,CAN,24,4 - 6,6 - 4,3 - 6,,,
1,61,Shuai Peng,CHN,31,Maria Jose Martinez Sanchez *,ESP,,6 - 1,2 - 6,4 - 6,,,
1,62,Viktoriya Kutuzova *,UKR,,Zuzana Ondraskova,CZE,,6 - 2,6 - 4,,,,
1,63,Virginia Ruano Pascual *,ESP,,Nicole Vaidisova,CZE,,6 - 4,6 - 3,,,,
1,64,Klara Zakopalova,CZE,,Serena Williams *,USA,2,3 - 6,7 - 6 (7 - 5),4 - 6,,,
2,1,Dinara Safina *,RUS,1,Vitalia Diatchenko,RUS,,6 - 1,6 - 1,,,,
2,2,Julie Coin,FRA,,Anastasia Pavlyuchenkova *,RUS,27,2 - 6,6 - 7 (2 - 7),,,,
2,3,Polona Hercog,SLO,,Aravane Rezai *,FRA,,6 - 3,4 - 6,2 - 6,,,
2,4,Michelle Larcher De Brito *,POR,,Jie Zheng,CHN,15,6 - 4,6 - 3,,,,
2,5,Victoria Azarenka *,BLR,9,Kristina Barrois,GER,,7 - 6 (7 - 1),7 - 5,,,,
2,6,Lucie Hradecka,CZE,,Carla Suarez Navarro *,ESP,22,2 - 6,4 - 6,,,,
2,7,Iveta Benesova *,CZE,32,Alla Kudryavtseva,RUS,,6 - 1,6 - 2,,,,
2,8,Tamarine Tanasugarn,THA,,Ana Ivanovic *,SRB,8,1 - 6,2 - 6,,,,
2,9,Venus Williams *,USA,3,Lucie Safarova,CZE,,6 - 7 (5 - 7),6 - 2,7 - 5,,,
2,10,Elena Vesnina,RUS,,Agnes Szavay *,HUN,29,2 - 6,0 - 6,,,,
2,11,Dominika Cibulkova *,SVK,20,Kirsten Flipkens,BEL,,6 - 1,6 - 0,,,,
2,12,Gisela Dulko *,ARG,,Anna-Lena Groenefeld,GER,,7 - 6 (7 - 5),0 - 6,6 - 2,,,
2,13,Nadia Petrova,RUS,11,Maria Sharapova *,RUS,,2 - 6,6 - 1,6 - 8,,,
2,14,Arantxa Rus,NED,,Yaroslava Shvedova *,KAZ,,0 - 6,2 - 6,,,,
2,15,Na Li *,CHN,25,Timea Bacsinszky,SUI,,6 - 1,6 - 4,,,,
2,16,Akgul Amanmuradova,UZB,,Olga Govortsova *,BLR,,3 - 6,7 - 6 (7 - 3),5 - 7,,,
2,17,Jelena Jankovic *,SRB,5,Magdalena Rybarikova,SVK,,6 - 1,6 - 2,,,,
2,18,Jarmila Groth *,AUS,,Mariana Duque Marino,COL,,6 - 2,7 - 6 (11 - 9),,,,
2,19,Alize Cornet,FRA,21,Sorana Cirstea *,ROU,,3 - 6,2 - 6,,,,
2,20,Jill Craybas,USA,,Caroline Wozniacki *,DEN,10,1 - 6,4 - 6,,,,
2,21,Marion Bartoli,FRA,13,Tathiana Garbin *,ITA,,3 - 6,5 - 7,,,,
2,22,Virginie Razzano *,FRA,,A. Medina Garrigues,ESP,18,6 - 2,6 - 2,,,,
2,23,Samantha Stosur *,AUS,30,Yanina Wickmayer,BEL,,6 - 3,4 - 6,6 - 4,,,
2,24,Jelena Dokic,AUS,,Elena Dementieva *,RUS,4,6 - 2,3 - 4,,,,Retired
2,25,Svetlana Kuznetsova *,RUS,7,Galina Voskoboeva,KAZ,,6 - 0,6 - 2,,,,
2,26,Melinda Czink *,HUN,,Sybille Bammer,AUT,28,4 - 6,6 - 3,10 - 8,,,
2,27,Kateryna Bondarenko *,UKR,,Olivia Rogowska,AUS,,4 - 6,7 - 5,7 - 5,,,
2,28,Mariya Koryttseva,UKR,,Agnieszka Radwanska *,POL,12,1 - 6,4 - 6,,,,
2,29,Alexa Glatch,USA,,Lourdes Dominguez Lino *,ESP,,6 - 7 (0 - 7),5 - 7,,,,
2,30,Petra Martic,CRO,,Aleksandra Wozniak *,CAN,24,3 - 6,3 - 6,,,,
2,31,Maria Jose Martinez Sanchez *,ESP,,Viktoriya Kutuzova,UKR,,3 - 6,6 - 3,6 - 3,,,
2,32,Virginia Ruano Pascual,ESP,,Serena Williams *,USA,2,2 - 6,0 - 6,,,,
3,1,Dinara Safina *,RUS,1,Anastasia Pavlyuchenkova,RUS,27,6 - 2,6 - 0,,,,
3,2,Aravane Rezai *,FRA,,Michelle Larcher De Brito,POR,,7 - 6 (7 - 3),6 - 2,,,,
3,3,Victoria Azarenka *,BLR,9,Carla Suarez Navarro,ESP,22,5 - 7,7 - 5,6 - 2,,,
3,4,Iveta Benesova,CZE,32,Ana Ivanovic *,SRB,8,0 - 6,2 - 6,,,,
3,5,Venus Williams,USA,3,Agnes Szavay *,HUN,29,0 - 6,4 - 6,,,,
3,6,Dominika Cibulkova *,SVK,20,Gisela Dulko,ARG,,6 - 4,6 - 2,,,,
3,7,Maria Sharapova *,RUS,,Yaroslava Shvedova,KAZ,,1 - 6,6 - 3,6 - 4,,,
3,8,Na Li *,CHN,25,Olga Govortsova,BLR,,7 - 5,6 - 1,,,,
3,9,Jelena Jankovic *,SRB,5,Jarmila Groth,AUS,,6 - 1,6 - 1,,,,
3,10,Sorana Cirstea *,ROU,,Caroline Wozniacki,DEN,10,7 - 6 (7 - 3),7 - 5,,,,
3,11,Tathiana Garbin,ITA,,Virginie Razzano *,FRA,,5 - 7,5 - 7,,,,
3,12,Samantha Stosur *,AUS,30,Elena Dementieva,RUS,4,6 - 3,4 - 6,6 - 1,,,
3,13,Svetlana Kuznetsova *,RUS,7,Melinda Czink,HUN,,6 - 1,6 - 3,,,,
3,14,Kateryna Bondarenko,UKR,,Agnieszka Radwanska *,POL,12,2 - 6,4 - 6,,,,
3,15,Lourdes Dominguez Lino,ESP,,Aleksandra Wozniak *,CAN,24,2 - 6,6 - 3,3 - 6,,,
3,16,Maria Jose Martinez Sanchez,ESP,,Serena Williams *,USA,2,6 - 4,3 - 6,4 - 6,,,
4,1,Dinara Safina *,RUS,1,Aravane Rezai,FRA,,6 - 1,6 - 0,,,,
4,2,Victoria Azarenka *,BLR,9,Ana Ivanovic,SRB,8,6 - 2,6 - 3,,,,
4,3,Agnes Szavay,HUN,29,Dominika Cibulkova *,SVK,20,2 - 6,4 - 6,,,,
4,4,Maria Sharapova *,RUS,,Na Li,CHN,25,6 - 4,0 - 6,6 - 4,,,
4,5,Jelena Jankovic,SRB,5,Sorana Cirstea *,ROU,,6 - 3,0 - 6,7 - 9,,,
4,6,Virginie Razzano,FRA,,Samantha Stosur *,AUS,30,1 - 6,2 - 6,,,,
4,7,Svetlana Kuznetsova *,RUS,7,Agnieszka Radwanska,POL,12,6 - 4,1 - 6,6 - 1,,,
4,8,Aleksandra Wozniak,CAN,24,Serena Williams *,USA,2,1 - 6,2 - 6,,,,
5,1,Dinara Safina *,RUS,1,Victoria Azarenka,BLR,9,1 - 6,6 - 4,6 - 2,,,
5,2,Dominika Cibulkova *,SVK,20,Maria Sharapova,RUS,,6 - 0,6 - 2,,,,
5,3,Sorana Cirstea,ROU,,Samantha Stosur *,AUS,30,1 - 6,3 - 6,,,,
5,4,Svetlana Kuznetsova *,RUS,7,Serena Williams,USA,2,7 - 6 (7 - 3),5 - 7,7 - 5,,,
6,1,Dinara Safina *,RUS,1,Dominika Cibulkova,SVK,20,6 - 3,6 - 3,,,,
6,2,Samantha Stosur,AUS,30,Svetlana Kuznetsova *,RUS,7,4 - 6,7 - 6 (7 - 5),3 - 6,,,
7,1,Dinara Safina,RUS,1,Svetlana Kuznetsova *,RUS,7,4 - 6,2 - 6,,,,
