Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Novak Djokovic *,SRB,1,Potito Starace,ITA,,7 - 6 (7 - 3),6 - 3,6 - 1,,,
1,2,Blaz Kavcic *,SLO,,Lleyton Hewitt,AUS,,7 - 6 (7 - 2),6 - 3,6 - 7 (4 - 7),6 - 3,,
1,3,Filip Krajinovic,SRB,,Nicolas Devilder *,FRA,,2 - 6,2 - 6,0 - 6,,,
1,4,Michael Berrer *,GER,,Jurgen Melzer,AUT,30,6 - 7 (5 - 7),4 - 6,6 - 2,6 - 2,6 - 3,
1,5,Andreas Seppi *,ITA,22,Nikolay Davydenko,RUS,,6 - 3,7 - 6 (7 - 5),7 - 5,,,
1,6,Mikhail Kukushkin *,KAZ,,Ernests Gulbis,LAT,,6 - 4,7 - 6 (7 - 4),5 - 7,2 - 6,6 - 4,
1,7,Igor Sijsling,NED,,Gilles Muller *,LUX,,6 - 2,5 - 7,6 - 3,4 - 6,6 - 8,
1,8,Steve Darcis,BEL,,Fernando Verdasco *,ESP,14,3 - 6,2 - 6,6 - 7 (4 - 7),,,
1,9,Gilles Simon *,FRA,11,Ryan Harrison,USA,,3 - 6,7 - 5,6 - 4,6 - 1,,
1,10,Xavier Malisse,BEL,,Brian Baker *,USA,,3 - 6,6 - 7 (1 - 7),6 - 7 (5 - 7),,,
1,11,Pablo Andujar *,ESP,,Victor Hanescu,ROU,,6 - 1,2 - 6,1 - 6,6 - 3,6 - 1,
1,12,Flavio Cipolla,ITA,,Stanislas Wawrinka *,SUI,18,3 - 6,3 - 6,6 - 4,6 - 3,2 - 6,
1,13,Viktor Troicki *,SRB,28,Thomaz Bellucci,BRA,,4 - 6,6 - 3,5 - 7,6 - 3,6 - 2,
1,14,Fabio Fognini *,ITA,,Adrian Mannarino,FRA,,6 - 0,7 - 5,6 - 1,,,
1,15,Cedrik-Marcel Stebe *,GER,,Joao Souza,BRA,,6 - 3,2 - 0,,,,Retired
1,16,Andrey Kuznetsov,RUS,,Jo-Wilfried Tsonga *,FRA,5,6 - 1,3 - 6,2 - 6,4 - 6,,
1,17,Roger Federer *,SUI,3,Tobias Kamke,GER,,6 - 2,7 - 5,6 - 3,,,
1,18,Adrian Ungur *,ROU,,David Nalbandian,ARG,,6 - 3,5 - 7,6 - 4,7 - 5,,
1,19,Frank Dancevic,CAN,,Martin Klizan *,SVK,,0 - 4,,,,,Retired
1,20,Nicolas Mahut *,FRA,,Andy Roddick,USA,26,6 - 3,6 - 3,4 - 6,6 - 2,,
1,21,Radek Stepanek,CZE,23,David Goffin *,BEL,,2 - 6,6 - 4,6 - 2,4 - 6,2 - 6,
1,22,Arnaud Clement *,FRA,,Alex Bogomolov Jr.,RUS,,6 - 2,3 - 6,4 - 6,7 - 6 (7 - 2),5 - 4,Retired
