Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Serena Williams *,USA,1,Anna Tatishvili,USA,,6 - 1,6 - 2,,,,
1,2,Chanelle Scheepers *,RSA,,Christina McHale,USA,,6 - 3,6 - 3,,,,
1,3,Jovana Jaksic,SRB,,Petra Cetkovska *,CZE,,2 - 6,6 - 4,5 - 7,,,
1,4,A.Schmiedlova,SVK,,Alize Cornet *,FRA,25,6 - 4,4 - 6,2 - 6,,,
1,5,Andrea Petkovic *,GER,20,Katarzyna Piter,POL,,6 - 1,6 - 4,,,,
1,6,Irina-Camelia Begu *,ROU,,Virginie Razzano,FRA,,1 - 6,6 - 4,7 - 5,,,
1,7,Silvia Soler-Espinosa *,ESP,,Olga Govortsova,BLR,,6 - 2,6 - 3,,,,
1,8,Daniela Hantuchova,SVK,,Eugenie Bouchard *,CAN,13,5 - 7,5 - 7,,,,
1,9,Angelique Kerber *,GER,9,Urszula Radwanska,POL,,6 - 2,6 - 4,,,,
1,10,Heather Watson *,GBR,,Ajla Tomljanovic,CRO,,6 - 3,6 - 2,,,,
1,11,Petra Martic,CRO,,Lourdes Dominguez Lino *,ESP,,0 - 6,1 - 6,,,,
1,12,Tamira Paszek,AUT,,Kirsten Flipkens *,BEL,24,4 - 6,7 - 6 (7 - 3),2 - 6,,,
1,13,A.Pavlyuchenkova,RUS,26,Alison Riske *,USA,,6 - 4,5 - 7,1 - 6,,,
1,14,Alexandra Cadantu,ROU,,Camila Giorgi *,ITA,,1 - 6,6 - 7 (5 - 7),,,,
1,15,Timea Bacsinszky *,SUI,,Sharon Fichman,CAN,,6 - 1,6 - 3,,,,
1,16,Samantha Murray,GBR,,Maria Sharapova *,RUS,5,1 - 6,0 - 6,,,,
1,17,Simona Halep *,ROU,3,Teliana Pereira,BRA,,6 - 2,6 - 2,,,,
1,18,Dinah Pfizenmaier,GER,,Lesia Tsurenko *,UKR,,3 - 6,0 - 6,,,,
1,19,Belinda Bencic *,SUI,,Magdalena Rybarikova,SVK,,2 - 6,6 - 3,6 - 3,,,
1,20,Victoria Duval *,USA,,Sorana Cirstea,ROU,29,6 - 4,3 - 6,6 - 1,,,
1,21,Roberta Vinci,ITA,21,Donna Vekic *,CRO,,4 - 6,6 - 4,4 - 6,,,
1,22,Vera Zvonareva *,RUS,,Tara Moore,GBR,,6 - 4,6 - 7 (3 - 7),9 - 7,,,
1,23,Zarina Diyas *,KAZ,,Kristina Mladenovic,FRA,,7 - 6 (7 - 4),6 - 4,,,,
1,24,Shuai Zhang,CHN,,Carla Suarez Navarro *,ESP,15,1 - 6,2 - 6,,,,
1,25,Ana Ivanovic *,SRB,11,Francesca Schiavone,ITA,,7 - 6 (8 - 6),6 - 4,,,,
1,26,Annika Beck,GER,,Jie Zheng *,CHN,,1 - 6,3 - 6,,,,
1,27,Karolina Pliskova *,CZE,,Karin Knapp,ITA,,6 - 7 (4 - 7),6 - 4,10 - 8,,,
1,28,Julia Glushko,ISR,,Sabine Lisicki *,GER,19,2 - 6,1 - 6,,,,
1,29,Klara Koukalova *,CZE,31,Taylor Townsend,USA,,7 - 5,6 - 2,,,,
1,30,Madison Keys *,USA,,Monica Puig,PUR,,6 - 3,6 - 3,,,,
1,31,Kristyna Pliskova,CZE,,Yaroslava Shvedova *,KAZ,,6 - 3,4 - 6,6 - 8,,,
1,32,Kaia Kanepi *,EST,,Jelena Jankovic,SRB,7,6 - 3,6 - 2,,,,
1,33,Victoria Azarenka *,BLR,8,Mirjana Lucic-Baroni,CRO,,6 - 3,7 - 5,,,,
1,34,Johanna Larsson,SWE,,Bojana Jovanovski *,SRB,,6 - 7 (2 - 7),0 - 6,,,,
1,35,Tereza Smitkova *,CZE,,Su-Wei Hsieh,TPE,,6 - 3,6 - 3,,,,
1,36,Coco Vandeweghe *,USA,,Garbine Muguruza,ESP,27,6 - 3,3 - 6,7 - 5,,,
1,37,Lucie Safarova *,CZE,23,Julia Goerges,GER,,7 - 6 (7 - 3),7 - 6 (7 - 3),,,,
1,38,Polona Hercog *,SLO,,Paula Ormaechea,ARG,,6 - 4,6 - 4,,,,
1,39,Monica Niculescu,ROU,,Alison Van Uytvanck *,BEL,,5 - 7,3 - 6,,,,
1,40,Aleksandra Wozniak,CAN,,Dominika Cibulkova *,SVK,10,1 - 6,2 - 6,,,,
1,41,Sara Errani,ITA,14,Caroline Garcia *,FRA,,6 - 2,6 - 7 (3 - 7),5 - 7,,,
1,42,Tsvetana Pironkova,BUL,,Varvara Lepchenko *,USA,,7 - 6 (8 - 6),2 - 6,2 - 6,,,
1,43,Misaki Doi *,JPN,,Elina Svitolina,UKR,,6 - 4,6 - 1,,,,
1,44,Kimiko Date-Krumm,JPN,,Ekaterina Makarova *,RUS,22,6 - 3,4 - 6,5 - 7,,,
1,45,Svetlana Kuznetsova,RUS,28,M.Larcher De Brito *,POR,,6 - 3,3 - 6,1 - 6,,,
1,46,Stefanie Voegele,SUI,,Jarmila Gajdosova *,AUS,,3 - 6,6 - 7 (6 - 8),,,,
1,47,Anett Kontaveit,EST,,Casey Dellacqua *,AUS,,6 - 3,6 - 7 (4 - 7),3 - 6,,,
1,48,Andreea Mitu,ROU,,Agnieszka Radwanska *,POL,4,2 - 6,1 - 6,,,,
1,49,Petra Kvitova *,CZE,6,Andrea Hlavackova,CZE,,6 - 3,6 - 0,,,,
1,50,Mona Barthel *,GER,,Romina Oprandi,SUI,,7 - 5,6 - 0,,,,
1,51,Kurumi Nara *,JPN,,Anna-Lena Friedsam,GER,,6 - 4,6 - 4,,,,
1,52,M.Torro-Flor,ESP,,Venus Williams *,USA,30,4 - 6,6 - 4,2 - 6,,,
1,53,Sloane Stephens,USA,18,Maria Kirilenko *,RUS,,2 - 6,6 - 7 (6 - 8),,,,
1,54,Johanna Konta,GBR,,Shuai Peng *,CHN,,4 - 6,6 - 3,4 - 6,,,
1,55,Lauren Davis *,USA,,Alisa Kleybanova,RUS,,6 - 1,6 - 2,,,,
1,56,Jana Cepelova,SVK,,Flavia Pennetta *,ITA,12,2 - 6,3 - 6,,,,
1,57,Caroline Wozniacki *,DEN,16,Shahar Peer,ISR,,6 - 3,6 - 0,,,,
1,58,Naomi Broady *,GBR,,Timea Babos,HUN,,2 - 6,7 - 6 (9 - 7),6 - 0,,,
1,59,Ana Konjuh *,CRO,,Marina Erakovic,NZL,,6 - 3,4 - 6,6 - 0,,,
1,60,Yanina Wickmayer *,BEL,,Samantha Stosur,AUS,17,6 - 3,6 - 4,,,,
1,61,Elena Vesnina *,RUS,32,P.Mayr-Achleitner,AUT,,6 - 0,6 - 4,,,,
1,62,Alla Kudryavtseva,RUS,,B.Zahlavova Strycova *,CZE,,2 - 6,2 - 6,,,,
1,63,Vania King,USA,,Yvonne Meusburger *,AUT,,5 - 7,3 - 6,,,,
1,64,Paula Kania,POL,,Na Li *,CHN,2,5 - 7,2 - 6,,,,
2,1,Serena Williams *,USA,1,Chanelle Scheepers,RSA,,6 - 1,6 - 1,,,,
2,2,Petra Cetkovska,CZE,,Alize Cornet *,FRA,25,4 - 6,7 - 5,3 - 6,,,
2,3,Andrea Petkovic *,GER,20,Irina-Camelia Begu,ROU,,6 - 4,3 - 6,6 - 1,,,
2,4,Silvia Soler-Espinosa,ESP,,Eugenie Bouchard *,CAN,13,5 - 7,1 - 6,,,,
2,5,Angelique Kerber *,GER,9,Heather Watson,GBR,,6 - 2,5 - 7,6 - 1,,,
2,6,Lourdes Dominguez Lino,ESP,,Kirsten Flipkens *,BEL,24,2 - 6,1 - 6,,,,
2,7,Alison Riske *,USA,,Camila Giorgi,ITA,,7 - 5,6 - 2,,,,
2,8,Timea Bacsinszky,SUI,,Maria Sharapova *,RUS,5,2 - 6,1 - 6,,,,
2,9,Simona Halep *,ROU,3,Lesia Tsurenko,UKR,,6 - 3,4 - 6,6 - 4,,,
2,10,Belinda Bencic *,SUI,,Victoria Duval,USA,,6 - 4,7 - 5,,,,
2,11,Donna Vekic,CRO,,Vera Zvonareva *,RUS,,4 - 6,4 - 6,,,,
2,12,Zarina Diyas *,KAZ,,Carla Suarez Navarro,ESP,15,7 - 6 (14 - 12),5 - 7,6 - 2,,,
2,13,Ana Ivanovic *,SRB,11,Jie Zheng,CHN,,6 - 4,6 - 0,,,,
2,14,Karolina Pliskova,CZE,,Sabine Lisicki *,GER,19,3 - 6,5 - 7,,,,
2,15,Klara Koukalova,CZE,31,Madison Keys *,USA,,5 - 7,7 - 6 (7 - 3),2 - 6,,,
2,16,Yaroslava Shvedova *,KAZ,,Kaia Kanepi,EST,,6 - 3,6 - 7 (4 - 7),6 - 2,,,
2,17,Victoria Azarenka,BLR,8,Bojana Jovanovski *,SRB,,3 - 6,6 - 3,5 - 7,,,
2,18,Tereza Smitkova *,CZE,,Coco Vandeweghe,USA,,6 - 3,7 - 6 (7 - 4),,,,
2,19,Lucie Safarova *,CZE,23,Polona Hercog,SLO,,7 - 6 (9 - 7),7 - 5,,,,
2,20,Alison Van Uytvanck,BEL,,Dominika Cibulkova *,SVK,10,6 - 3,3 - 6,6 - 8,,,
2,21,Caroline Garcia *,FRA,,Varvara Lepchenko,USA,,7 - 5,6 - 3,,,,
2,22,Misaki Doi,JPN,,Ekaterina Makarova *,RUS,22,5 - 7,4 - 6,,,,
2,23,M.Larcher De Brito *,POR,,Jarmila Gajdosova,AUS,,6 - 3,4 - 6,6 - 3,,,
2,24,Casey Dellacqua,AUS,,Agnieszka Radwanska *,POL,4,4 - 6,0 - 6,,,,
2,25,Petra Kvitova *,CZE,6,Mona Barthel,GER,,6 - 2,6 - 0,,,,
2,26,Kurumi Nara,JPN,,Venus Williams *,USA,30,6 - 7 (4 - 7),1 - 6,,,,
2,27,Maria Kirilenko,RUS,,Shuai Peng *,CHN,,0 - 6,3 - 6,,,,
2,28,Lauren Davis *,USA,,Flavia Pennetta,ITA,12,6 - 4,7 - 6 (7 - 4),,,,
2,29,Caroline Wozniacki *,DEN,16,Naomi Broady,GBR,,6 - 3,6 - 2,,,,
2,30,Ana Konjuh *,CRO,,Yanina Wickmayer,BEL,,3 - 6,6 - 2,6 - 2,,,
2,31,Elena Vesnina,RUS,32,B.Zahlavova Strycova *,CZE,,4 - 6,2 - 6,,,,
2,32,Yvonne Meusburger,AUT,,Na Li *,CHN,2,2 - 6,2 - 6,,,,
3,1,Serena Williams,USA,1,Alize Cornet *,FRA,25,6 - 1,3 - 6,4 - 6,,,
3,2,Andrea Petkovic,GER,20,Eugenie Bouchard *,CAN,13,3 - 6,4 - 6,,,,
3,3,Angelique Kerber *,GER,9,Kirsten Flipkens,BEL,24,3 - 6,6 - 3,6 - 2,,,
3,4,Alison Riske,USA,,Maria Sharapova *,RUS,5,3 - 6,0 - 6,,,,
3,5,Simona Halep *,ROU,3,Belinda Bencic,SUI,,6 - 4,6 - 1,,,,
3,6,Vera Zvonareva,RUS,,Zarina Diyas *,KAZ,,6 - 7 (1 - 7),6 - 3,3 - 6,,,
3,7,Ana Ivanovic,SRB,11,Sabine Lisicki *,GER,19,4 - 6,6 - 3,1 - 6,,,
3,8,Madison Keys,USA,,Yaroslava Shvedova *,KAZ,,6 - 7 (7 - 9),6 - 6,,,,Retired
3,9,Bojana Jovanovski,SRB,,Tereza Smitkova *,CZE,,6 - 4,6 - 7 (5 - 7),8 - 10,,,
3,10,Lucie Safarova *,CZE,23,Dominika Cibulkova,SVK,10,6 - 4,6 - 2,,,,
3,11,Caroline Garcia,FRA,,Ekaterina Makarova *,RUS,22,5 - 7,3 - 6,,,,
3,12,M.Larcher De Brito,POR,,Agnieszka Radwanska *,POL,4,2 - 6,0 - 6,,,,
3,13,Petra Kvitova *,CZE,6,Venus Williams,USA,30,5 - 7,7 - 6 (7 - 2),7 - 5,,,
3,14,Shuai Peng *,CHN,,Lauren Davis,USA,,0 - 6,6 - 3,6 - 3,,,
3,15,Caroline Wozniacki *,DEN,16,Ana Konjuh,CRO,,6 - 3,6 - 0,,,,
3,16,B.Zahlavova Strycova *,CZE,,Na Li,CHN,2,7 - 6 (7 - 5),7 - 6 (7 - 5),,,,
4,1,Alize Cornet,FRA,25,Eugenie Bouchard *,CAN,13,6 - 7 (5 - 7),5 - 7,,,,
4,2,Angelique Kerber *,GER,9,Maria Sharapova,RUS,5,7 - 6 (7 - 4),4 - 6,6 - 4,,,
4,3,Simona Halep *,ROU,3,Zarina Diyas,KAZ,,6 - 3,6 - 0,,,,
4,4,Sabine Lisicki *,GER,19,Yaroslava Shvedova,KAZ,,6 - 3,3 - 6,6 - 4,,,
4,5,Tereza Smitkova,CZE,,Lucie Safarova *,CZE,23,0 - 6,2 - 6,,,,
4,6,Ekaterina Makarova *,RUS,22,Agnieszka Radwanska,POL,4,6 - 3,6 - 0,,,,
4,7,Petra Kvitova *,CZE,6,Shuai Peng,CHN,,6 - 3,6 - 2,,,,
4,8,Caroline Wozniacki,DEN,16,B.Zahlavova Strycova *,CZE,,2 - 6,5 - 7,,,,
5,1,Eugenie Bouchard *,CAN,13,Angelique Kerber,GER,9,6 - 3,6 - 4,,,,
5,2,Simona Halep *,ROU,3,Sabine Lisicki,GER,19,6 - 4,6 - 0,,,,
5,3,Lucie Safarova *,CZE,23,Ekaterina Makarova,RUS,22,6 - 3,6 - 1,,,,
5,4,Petra Kvitova *,CZE,6,B.Zahlavova Strycova,CZE,,6 - 1,7 - 5,,,,
6,1,Eugenie Bouchard *,CAN,13,Simona Halep,ROU,3,7 - 6 (7 - 5),6 - 2,,,,
6,2,Lucie Safarova,CZE,23,Petra Kvitova *,CZE,6,6 - 7 (6 - 8),1 - 6,,,,
7,1,Eugenie Bouchard,CAN,13,Petra Kvitova *,CZE,6,3 - 6,0 - 6,,,,
