Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Roger Federer *,SUI,2,Michael Russell,USA,,6 - 4,6 - 2,6 - 4,,,
1,2,Marin Cilic,CRO,,Thierry Ascione *,FRA,,2 - 6,2 - 6,1 - 6,,,
1,3,Ivo Minar,CZE,,Potito Starace *,ITA,,6 - 4,1 - 6,4 - 6,6 - 7 (5 - 7),,
1,4,Carlos Berlocq *,ARG,,Julien Benneteau,FRA,30,6 - 7 (5 - 7),7 - 5,6 - 2,6 - 3,,
1,5,Juan Carlos Ferrero *,ESP,17,Amer Delic,USA,,6 - 7 (2 - 7),6 - 3,6 - 3,6 - 4,,
1,6,Stefan Koubek *,AUT,,Christophe Rochus,BEL,,6 - 7 (7 - 9),7 - 6 (7 - 1),6 - 4,1 - 2,,Retired
1,7,Nicolas Lapentti *,ECU,,Alexander Peya,AUT,,6 - 1,6 - 4,2 - 1,,,Retired
1,8,Jan Hernych,CZE,,Mikhail Youzhny *,RUS,13,,,,,,Retired
1,9,Tommy Robredo *,ESP,9,Sergio Roitman,ARG,,6 - 3,6 - 4,6 - 2,,,
1,10,Chris Guccione,AUS,,Konstantinos Economidis *,GRE,,7 - 6 (8 - 6),4 - 6,4 - 6,1 - 6,,
1,11,Janko Tipsarevic *,SRB,,Dusan Vemic,SRB,,7 - 6 (7 - 3),6 - 4,4 - 6,6 - 3,,
1,12,Fernando Vicente,ESP,,Marat Safin *,RUS,22,1 - 6,3 - 6,1 - 6,,,
1,13,Filippo Volandri *,ITA,29,Paul Capdeville,CHI,,6 - 3,7 - 5,6 - 3,,,
1,14,Martin Vassallo Arguello *,ARG,,Alejandro Falla,COL,,6 - 3,6 - 3,6 - 7 (3 - 7),7 - 6 (7 - 4),,
1,15,Ruben Ramirez Hidalgo,ESP,,Stanislas Wawrinka *,SUI,,6 - 0,7 - 5,2 - 6,5 - 7,4 - 6,
1,16,Arnaud Clement,FRA,,Ivan Ljubicic *,CRO,7,1 - 6,5 - 7,6 - 7 (2 - 7),,,
1,17,Nikolay Davydenko *,RUS,4,Stefano Galvani,ITA,,6 - 3,6 - 1,6 - 1,,,
1,18,Alexandre Sidorenko,FRA,,Werner Eschauer *,AUT,,3 - 6,6 - 3,3 - 6,4 - 5,,Retired
1,19,Michael Llodra *,FRA,,Nicolas Devilder,FRA,,6 - 4,6 - 3,6 - 3,,,
1,20,Justin Gimelstob,USA,,Nicolas Almagro *,ESP,32,4 - 6,4 - 6,4 - 6,,,
1,21,Juan Ignacio Chela *,ARG,18,Fabrice Santoro,FRA,,6 - 7 (5 - 7),6 - 0,6 - 3,6 - 3,,
1,22,Olivier Rochus,BEL,,Gael Monfils *,FRA,,6 - 4,4 - 6,2 - 6,6 - 3,1 - 6,
1,23,Ivan Navarro Pastor *,ESP,,Boris Pashanski,SRB,,7 - 6 (7 - 1),6 - 4,6 - 4,,,
1,24,Hyung-Taik Lee,KOR,,David Nalbandian *,ARG,15,2 - 6,1 - 6,6 - 3,3 - 6,,
1,25,Richard Gasquet *,FRA,11,Nicolas Mahut,FRA,,6 - 3,6 - 2,6 - 2,,,
1,26,Kristof Vliegen *,BEL,,Danai Udomchoke,THA,,6 - 2,6 - 4,6 - 3,,,
1,27,Martin Verkerk,NED,,Simone Bolelli *,ITA,,1 - 6,4 - 6,4 - 6,,,
1,28,Victor Hanescu,ROU,,Guillermo Canas *,ARG,19,3 - 6,1 - 6,4 - 6,,,
1,29,Jurgen Melzer *,AUT,27,Jose Acasuso,ARG,,6 - 4,7 - 5,6 - 4,,,
1,30,Fabio Fognini,ITA,,Juan Monaco *,ARG,,6 - 3,6 - 2,1 - 6,2 - 6,4 - 6,
1,31,Edouard Roger-Vasselin *,FRA,,Marcos Daniel,BRA,,6 - 1,4 - 1,,,,Retired
1,32,Radek Stepanek *,CZE,,Fernando Gonzalez,CHI,5,6 - 2,6 - 2,6 - 4,,,
1,33,Novak Djokovic *,SRB,6,Santiago Giraldo,COL,,6 - 3,7 - 6 (7 - 3),6 - 4,,,
1,34,Sam Querrey,USA,,Laurent Recouderc *,FRA,,6 - 7 (4 - 7),6 - 2,0 - 6,7 - 6 (7 - 5),3 - 6,
1,35,Jonathan Eysseric,FRA,,Olivier Patience *,FRA,,1 - 6,6 - 3,2 - 6,4 - 6,,
1,36,Mariano Zabaleta *,ARG,,Agustin Calleri,ARG,26,6 - 4,6 - 7 (5 - 7),7 - 6 (7 - 5),7 - 5,,
1,37,Dmitry Tursunov *,RUS,21,Alessio Di Mauro,ITA,,6 - 3,6 - 4,3 - 6,6 - 3,,
1,38,Fernando Verdasco *,ESP,,Jerome Haehnel,FRA,,4 - 6,6 - 2,6 - 2,6 - 0,,
1,39,Robby Ginepri,USA,,Diego Hartfield *,ARG,,4 - 6,6 - 1,7 - 5,4 - 6,2 - 6,
1,40,Daniele Bracciali,ITA,,David Ferrer *,ESP,12,1 - 6,1 - 6,2 - 6,,,
1,41,Marcos Baghdatis *,CYP,16,Sebastien Grosjean,FRA,,6 - 3,6 - 2,6 - 4,,,
1,42,Kristian Pless *,DEN,,Yen-Hsun Lu,TPE,,6 - 3,6 - 2,7 - 6 (7 - 1),,,
1,43,Thomas Johansson,SWE,,Jan Hajek *,CZE,,5 - 7,6 - 7 (3 - 7),6 - 7 (3 - 7),,,
1,44,Bohdan Ulihrach *,CZE,,Dominik Hrbaty,SVK,24,6 - 2,5 - 7,6 - 7 (3 - 7),6 - 4,6 - 3,
1,45,Florian Maier,GER,31,Paul-Henri Mathieu *,FRA,,3 - 6,4 - 6,2 - 6,,,
1,46,Vincent Spadea,USA,,Gilles Simon *,FRA,,6 - 2,4 - 6,4 - 6,3 - 6,,
1,47,Luis Horna,PER,,Nicolas Massu *,CHI,,4 - 6,5 - 7,6 - 3,7 - 6 (7 - 1),2 - 6,
1,48,Igor Andreev *,RUS,,Andy Roddick,USA,3,3 - 6,6 - 4,6 - 3,6 - 4,,
1,49,James Blake,USA,8,Ivo Karlovic *,CRO,,6 - 4,4 - 6,5 - 7,5 - 7,,
1,50,Peter Luczak,AUS,,Jonas Bjorkman *,SWE,,7 - 6 (7 - 4),7 - 5,3 - 6,3 - 6,1 - 6,
1,51,Juan-Pablo Guzman,ARG,,Oscar Hernandez *,ESP,,6 - 7 (4 - 7),0 - 6,2 - 6,,,
