Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Serena Williams *,USA,1,Mandy Minella,LUX,,6 - 1,6 - 3,,,,
1,2,Caroline Garcia *,FRA,,Jie Zheng,CHN,,6 - 3,6 - 4,,,,
1,3,Kimiko Date-Krumm *,JPN,,Carina Witthoeft,GER,,6 - 0,6 - 2,,,,
1,4,Alexandra Cadantu *,ROU,,Tamira Paszek,AUT,28,6 - 2,7 - 5,,,,
1,5,Sabine Lisicki *,GER,23,Francesca Schiavone,ITA,,6 - 1,6 - 2,,,,
1,6,Elena Vesnina *,RUS,,Andrea Hlavackova,CZE,,6 - 2,7 - 5,,,,
1,7,Olga Puchkova *,RUS,,Arantxa Rus,NED,,6 - 4,6 - 2,,,,
1,8,Anna Schmiedlova,SVK,,Samantha Stosur *,AUS,14,1 - 6,3 - 6,,,,
1,9,Maria Kirilenko,RUS,10,Laura Robson *,GBR,,3 - 6,4 - 6,,,,
1,10,Mariana Duque-Marino *,COL,,Julia Goerges,GER,,6 - 4,6 - 7 (3 - 7),7 - 5,,,
1,11,Ayumi Morita,JPN,,Marina Erakovic *,NZL,,6 - 4,0 - 6,5 - 7,,,
1,12,A.Medina Garrigues,ESP,,Shuai Peng *,CHN,24,3 - 6,2 - 6,,,,
1,13,Romina Oprandi,SUI,31,Alison Riske *,USA,,7 - 6 (7 - 5),5 - 7,1 - 3,,,Retired
1,14,Mallory Burdette,USA,,Urszula Radwanska *,POL,,6 - 7 (3 - 7),6 - 4,2 - 6,,,
1,15,Kaia Kanepi *,EST,,Tara Moore,GBR,,7 - 5,5 - 7,7 - 5,,,
1,16,Bethanie Mattek-Sands,USA,,Angelique Kerber *,GER,7,3 - 6,4 - 6,,,,
1,17,Agnieszka Radwanska *,POL,4,Yvonne Meusburger,AUT,,6 - 1,6 - 1,,,,
1,18,Timea Babos,HUN,,Mathilde Johansson *,FRA,,6 - 4,1 - 6,3 - 6,,,
1,19,Heather Watson,GBR,,Madison Keys *,USA,,3 - 6,5 - 7,,,,
1,20,Monica Niculescu,ROU,,Mona Barthel *,GER,30,3 - 6,6 - 4,5 - 7,,,
1,21,A.Pavlyuchenkova,RUS,21,Tsvetana Pironkova *,BUL,,0 - 6,1 - 6,,,,
1,22,B.Zahlavova Strycova *,CZE,,Magdalena Rybarikova,SVK,,5 - 7,6 - 0,6 - 1,,,
1,23,Anna Tatishvili,GEO,,Petra Martic *,CRO,,1 - 6,6 - 1,3 - 6,,,
1,24,Karolina Pliskova *,CZE,,Nadia Petrova,RUS,13,6 - 3,6 - 2,,,,
1,25,Roberta Vinci *,ITA,11,Chanelle Scheepers,RSA,,6 - 2,6 - 1,,,,
1,26,Kristyna Pliskova,CZE,,Jana Cepelova *,SVK,,4 - 6,1 - 6,,,,
1,27,M.Torro-Flor *,ESP,,Irina-Camelia Begu,ROU,,6 - 3,6 - 4,,,,
1,28,Maria Elena Camerin,ITA,,Dominika Cibulkova *,SVK,18,4 - 6,6 - 4,4 - 6,,,
1,29,Klara Zakopalova *,CZE,32,Daniela Hantuchova,SVK,,6 - 4,6 - 3,,,,
1,30,Nina Bratchikova,RUS,,Annika Beck *,GER,,3 - 6,2 - 6,,,,
1,31,Olga Govortsova,BLR,,Simona Halep *,ROU,,2 - 6,6 - 3,3 - 6,,,
1,32,Michaella Krajicek,NED,,Na Li *,CHN,6,1 - 6,1 - 6,,,,
1,33,Sara Errani,ITA,5,Monica Puig *,PUR,,3 - 6,2 - 6,,,,
1,34,Silvia Soler-Espinosa *,ESP,,Misaki Doi,JPN,,1 - 6,6 - 4,6 - 1,,,
1,35,Lara Arruabarrena,ESP,,Lesia Tsurenko *,UKR,,1 - 6,3 - 6,,,,
1,36,Eva Birnerova *,CZE,,Varvara Lepchenko,USA,26,6 - 2,4 - 6,6 - 4,,,
1,37,Sloane Stephens *,USA,17,Jamie Hampton,USA,,6 - 3,6 - 3,,,,
1,38,Pauline Parmentier,FRA,,Andrea Petkovic *,GER,,3 - 6,2 - 6,,,,
1,39,Petra Cetkovska *,CZE,,Donna Vekic,CRO,,6 - 3,6 - 1,,,,
1,40,E.Cabeza Candela,ESP,,Caroline Wozniacki *,DEN,9,0 - 6,2 - 6,,,,
1,41,Marion Bartoli *,FRA,15,Elina Svitolina,UKR,,6 - 3,7 - 5,,,,
1,42,Christina McHale *,USA,,Alexa Glatch,USA,,6 - 4,6 - 4,,,,
1,43,Camila Giorgi *,ITA,,Samantha Murray,GBR,,6 - 3,6 - 4,,,,
1,44,Stefanie Voegele,SUI,,Sorana Cirstea *,ROU,22,5 - 7,6 - 7 (3 - 7),,,,
1,45,Lucie Safarova *,CZE,27,Lauren Davis,USA,,6 - 4,6 - 0,,,,
1,46,Lucie Hradecka,CZE,,Karin Knapp *,ITA,,3 - 6,4 - 6,,,,
1,47,M.Larcher De Brito *,POR,,Melanie Oudin,USA,,7 - 6 (9 - 7),1 - 6,6 - 4,,,
1,48,Kristina Mladenovic,FRA,,Maria Sharapova *,RUS,3,6 - 7 (5 - 7),3 - 6,,,,
1,49,Petra Kvitova *,CZE,8,Coco Vandeweghe,USA,,6 - 1,5 - 7,6 - 4,,,
1,50,Kiki Bertens,NED,,Yaroslava Shvedova *,KAZ,,4 - 6,3 - 6,,,,
1,51,Garbine Muguruza *,ESP,,Anne Keothavong,GBR,,6 - 4,6 - 0,,,,
1,52,Johanna Larsson,SWE,,Ekaterina Makarova *,RUS,25,3 - 6,3 - 6,,,,
1,53,Carla Suarez Navarro *,ESP,19,Lourdes Dominguez Lino,ESP,,6 - 2,6 - 2,,,,
1,54,Sofia Arvidsson,SWE,,Mirjana Lucic-Baroni *,CRO,,1 - 6,4 - 6,,,,
1,55,Eugenie Bouchard *,CAN,,Galina Voskoboeva,KAZ,,5 - 7,7 - 6 (7 - 5),6 - 4,,,
1,56,Virginie Razzano,FRA,,Ana Ivanovic *,SRB,12,6 - 7 (1 - 7),0 - 6,,,,
1,57,Jelena Jankovic *,SRB,16,Johanna Konta,GBR,,6 - 2,7 - 5,,,,
1,58,Yanina Wickmayer,BEL,,Vesna Dolonc *,SRB,,6 - 3,2 - 6,4 - 6,,,
1,59,Ajla Tomljanovic,CRO,,Bojana Jovanovski *,SRB,,6 - 3,1 - 6,7 - 9,,,
1,60,Yulia Putintseva,KAZ,,Kirsten Flipkens *,BEL,20,5 - 7,4 - 6,,,,
1,61,Alize Cornet *,FRA,29,Vania King,USA,,4 - 6,6 - 3,6 - 1,,,
1,62,Su-Wei Hsieh *,TPE,,Tatjana Maria,GER,,6 - 1,6 - 0,,,,
1,63,Elena Baltacha,GBR,,Flavia Pennetta *,ITA,,4 - 6,1 - 6,,,,
1,64,Maria Joao Koehler,POR,,Victoria Azarenka *,BLR,2,1 - 6,2 - 6,,,,
2,1,Serena Williams *,USA,1,Caroline Garcia,FRA,,6 - 3,6 - 2,,,,
2,2,Kimiko Date-Krumm *,JPN,,Alexandra Cadantu,ROU,,6 - 4,7 - 5,,,,
2,3,Sabine Lisicki *,GER,23,Elena Vesnina,RUS,,6 - 3,6 - 1,,,,
2,4,Olga Puchkova,RUS,,Samantha Stosur *,AUS,14,2 - 6,2 - 6,,,,
2,5,Laura Robson *,GBR,,Mariana Duque-Marino,COL,,6 - 4,6 - 1,,,,
2,6,Marina Erakovic *,NZL,,Shuai Peng,CHN,24,7 - 6 (8 - 6),6 - 2,,,,
2,7,Alison Riske *,USA,,Urszula Radwanska,POL,,4 - 6,6 - 3,6 - 4,,,
2,8,Kaia Kanepi *,EST,,Angelique Kerber,GER,7,3 - 6,7 - 6 (8 - 6),6 - 3,,,
2,9,Agnieszka Radwanska *,POL,4,Mathilde Johansson,FRA,,6 - 1,6 - 3,,,,
2,10,Madison Keys *,USA,,Mona Barthel,GER,30,6 - 4,6 - 2,,,,
2,11,Tsvetana Pironkova *,BUL,,B.Zahlavova Strycova,CZE,,7 - 5,6 - 3,,,,
2,12,Petra Martic *,CRO,,Karolina Pliskova,CZE,,7 - 6 (9 - 7),6 - 1,,,,
2,13,Roberta Vinci *,ITA,11,Jana Cepelova,SVK,,6 - 1,4 - 6,9 - 7,,,
2,14,M.Torro-Flor,ESP,,Dominika Cibulkova *,SVK,18,0 - 6,1 - 6,,,,
2,15,Klara Zakopalova *,CZE,32,Annika Beck,GER,,7 - 6 (7 - 5),6 - 3,,,,
2,16,Simona Halep,ROU,,Na Li *,CHN,6,2 - 6,6 - 1,0 - 6,,,
2,17,Monica Puig *,PUR,,Silvia Soler-Espinosa,ESP,,6 - 2,5 - 7,6 - 4,,,
2,18,Lesia Tsurenko,UKR,,Eva Birnerova *,CZE,,3 - 6,4 - 6,,,,
2,19,Sloane Stephens *,USA,17,Andrea Petkovic,GER,,7 - 6 (7 - 2),2 - 6,8 - 6,,,
2,20,Petra Cetkovska *,CZE,,Caroline Wozniacki,DEN,9,6 - 2,6 - 2,,,,
2,21,Marion Bartoli *,FRA,15,Christina McHale,USA,,7 - 5,6 - 4,,,,
2,22,Camila Giorgi *,ITA,,Sorana Cirstea,ROU,22,7 - 6 (9 - 7),7 - 6 (8 - 6),,,,
2,23,Lucie Safarova,CZE,27,Karin Knapp *,ITA,,6 - 4,4 - 6,4 - 6,,,
2,24,M.Larcher De Brito *,POR,,Maria Sharapova,RUS,3,6 - 3,6 - 4,,,,
2,25,Petra Kvitova *,CZE,8,Yaroslava Shvedova,KAZ,,,,,,,Walkover
2,26,Garbine Muguruza,ESP,,Ekaterina Makarova *,RUS,25,2 - 6,7 - 6 (7 - 3),4 - 6,,,
2,27,Carla Suarez Navarro *,ESP,19,Mirjana Lucic-Baroni,CRO,,1 - 6,6 - 3,6 - 3,,,
2,28,Eugenie Bouchard *,CAN,,Ana Ivanovic,SRB,12,6 - 3,6 - 3,,,,
2,29,Jelena Jankovic,SRB,16,Vesna Dolonc *,SRB,,5 - 7,2 - 6,,,,
2,30,Bojana Jovanovski,SRB,,Kirsten Flipkens *,BEL,20,4 - 6,4 - 6,,,,
2,31,Alize Cornet *,FRA,29,Su-Wei Hsieh,TPE,,6 - 3,6 - 2,,,,
2,32,Flavia Pennetta *,ITA,,Victoria Azarenka,BLR,2,,,,,,Walkover
3,1,Serena Williams *,USA,1,Kimiko Date-Krumm,JPN,,6 - 2,6 - 0,,,,
3,2,Sabine Lisicki *,GER,23,Samantha Stosur,AUS,14,4 - 6,6 - 2,6 - 1,,,
3,3,Laura Robson *,GBR,,Marina Erakovic,NZL,,1 - 6,7 - 5,6 - 3,,,
3,4,Alison Riske,USA,,Kaia Kanepi *,EST,,2 - 6,3 - 6,,,,
3,5,Agnieszka Radwanska *,POL,4,Madison Keys,USA,,7 - 5,4 - 6,6 - 3,,,
3,6,Tsvetana Pironkova *,BUL,,Petra Martic,CRO,,6 - 1,4 - 6,6 - 2,,,
3,7,Roberta Vinci *,ITA,11,Dominika Cibulkova,SVK,18,6 - 1,6 - 4,,,,
3,8,Klara Zakopalova,CZE,32,Na Li *,CHN,6,6 - 4,0 - 6,6 - 8,,,
3,9,Monica Puig *,PUR,,Eva Birnerova,CZE,,4 - 6,6 - 3,6 - 4,,,
3,10,Sloane Stephens *,USA,17,Petra Cetkovska,CZE,,7 - 6 (7 - 3),0 - 6,6 - 4,,,
3,11,Marion Bartoli *,FRA,15,Camila Giorgi,ITA,,6 - 4,7 - 5,,,,
3,12,Karin Knapp *,ITA,,M.Larcher De Brito,POR,,7 - 5,6 - 2,,,,
3,13,Petra Kvitova *,CZE,8,Ekaterina Makarova,RUS,25,6 - 3,2 - 6,6 - 3,,,
3,14,Carla Suarez Navarro *,ESP,19,Eugenie Bouchard,CAN,,7 - 5,6 - 2,,,,
3,15,Vesna Dolonc,SRB,,Kirsten Flipkens *,BEL,20,4 - 6,2 - 6,,,,
3,16,Alize Cornet,FRA,29,Flavia Pennetta *,ITA,,6 - 0,6 - 7 (4 - 7),2 - 6,,,
4,1,Serena Williams,USA,1,Sabine Lisicki *,GER,23,2 - 6,6 - 1,4 - 6,,,
4,2,Laura Robson,GBR,,Kaia Kanepi *,EST,,6 - 7 (6 - 8),5 - 7,,,,
4,3,Agnieszka Radwanska *,POL,4,Tsvetana Pironkova,BUL,,4 - 6,6 - 3,6 - 3,,,
4,4,Roberta Vinci,ITA,11,Na Li *,CHN,6,2 - 6,0 - 6,,,,
4,5,Monica Puig,PUR,,Sloane Stephens *,USA,17,6 - 4,5 - 7,1 - 6,,,
4,6,Marion Bartoli *,FRA,15,Karin Knapp,ITA,,6 - 2,6 - 3,,,,
4,7,Petra Kvitova *,CZE,8,Carla Suarez Navarro,ESP,19,7 - 6 (7 - 5),6 - 3,,,,
4,8,Kirsten Flipkens *,BEL,20,Flavia Pennetta,ITA,,7 - 6 (7 - 2),6 - 3,,,,
5,1,Sabine Lisicki *,GER,23,Kaia Kanepi,EST,,6 - 3,6 - 3,,,,
5,2,Agnieszka Radwanska *,POL,4,Na Li,CHN,6,7 - 6 (7 - 5),4 - 6,6 - 2,,,
5,3,Sloane Stephens,USA,17,Marion Bartoli *,FRA,15,4 - 6,5 - 7,,,,
5,4,Petra Kvitova,CZE,8,Kirsten Flipkens *,BEL,20,6 - 4,3 - 6,4 - 6,,,
6,1,Sabine Lisicki *,GER,23,Agnieszka Radwanska,POL,4,6 - 4,2 - 6,9 - 7,,,
6,2,Marion Bartoli *,FRA,15,Kirsten Flipkens,BEL,20,6 - 1,6 - 2,,,,
7,1,Sabine Lisicki,GER,23,Marion Bartoli *,FRA,15,1 - 6,4 - 6,,,,
