Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Serena Williams *,USA,1,Alison Van Uytvanck,BEL,,6 - 0,6 - 4,,,,
1,2,Vera Zvonareva *,RUS,,Ons Jabeur,TUN,,6 - 2,6 - 3,,,,
1,3,Olivia Rogowska,AUS,,Nicole Gibbs *,USA,,4 - 6,1 - 6,,,,
1,4,Yulia Putintseva,KAZ,,Elina Svitolina *,UKR,26,3 - 6,5 - 7,,,,
1,5,Garbine Muguruza *,ESP,24,Marina Erakovic,NZL,,7 - 5,6 - 0,,,,
1,6,Daniela Hantuchova *,SVK,,Saisai Zheng,CHN,,6 - 4,6 - 4,,,,
1,7,Kimiko Date-Krumm,JPN,,Anna Tatishvili *,USA,,5 - 7,4 - 6,,,,
1,8,Timea Bacsinszky *,SUI,,Jelena Jankovic,SRB,15,6 - 1,6 - 4,,,,
1,9,Dominika Cibulkova *,SVK,11,Kirsten Flipkens,BEL,,3 - 6,6 - 3,6 - 1,,,
1,10,Tsvetana Pironkova *,BUL,,Heather Watson,GBR,,6 - 4,6 - 0,,,,
1,11,Romina Oprandi,SUI,,Denisa Allertova *,CZE,,0 - 6,2 - 6,,,,
1,12,Shuai Zhang,CHN,,Alize Cornet *,FRA,19,3 - 6,2 - 6,,,,
1,13,B.Zahlavova Strycova *,CZE,25,Timea Babos,HUN,,6 - 4,6 - 4,,,,
1,14,Jie Zheng,CHN,,Kai-Chen Chang *,TPE,,1 - 6,2 - 6,,,,
1,15,Sloane Stephens,USA,,Victoria Azarenka *,BLR,,3 - 6,2 - 6,,,,
1,16,Taylor Townsend,USA,,Caroline Wozniacki *,DEN,8,6 - 7 (1 - 7),2 - 6,,,,
1,17,Petra Kvitova *,CZE,4,Richel Hogenkamp,NED,,6 - 1,6 - 4,,,,
1,18,Donna Vekic,CRO,,Mona Barthel *,GER,,6 - 3,4 - 6,2 - 6,,,
1,19,Lesia Tsurenko,UKR,,Madison Keys *,USA,,3 - 6,5 - 7,,,,
1,20,Yvonne Meusburger,AUT,,Casey Dellacqua *,AUS,29,4 - 6,0 - 6,,,,
1,21,Samantha Stosur *,AUS,20,Monica Niculescu,ROU,,6 - 4,6 - 1,,,,
1,22,Francesca Schiavone,ITA,,Coco Vandeweghe *,USA,,2 - 6,2 - 6,,,,
1,23,Irina Falconi *,USA,,Kaia Kanepi,EST,,2 - 6,6 - 4,7 - 5,,,
1,24,Madison Brengle *,USA,,Andrea Petkovic,GER,13,5 - 7,7 - 6 (7 - 4),6 - 3,,,
1,25,Flavia Pennetta,ITA,12,Camila Giorgi *,ITA,,6 - 4,2 - 6,3 - 6,,,
1,26,Tereza Smitkova *,CZE,,Mirjana Lucic-Baroni,CRO,,6 - 1,6 - 1,,,,
1,27,Lauren Davis *,USA,,Aleksandra Krunic,SRB,,6 - 1,7 - 5,,,,
1,28,Maria Torro-Flor,ESP,,Venus Williams *,USA,18,2 - 6,2 - 6,,,,
1,29,Varvara Lepchenko *,USA,30,Vitalia Diatchenko,RUS,,6 - 3,6 - 3,,,,
1,30,Shelby Rogers,USA,,Ajla Tomljanovic *,AUS,,6 - 4,4 - 6,0 - 6,,,
1,31,Alla Kudryavtseva,RUS,,Johanna Larsson *,SWE,,4 - 6,3 - 6,,,,
1,32,Kurumi Nara,JPN,,Agnieszka Radwanska *,POL,6,3 - 6,0 - 6,,,,
1,33,Ana Ivanovic,SRB,5,Lucie Hradecka *,CZE,,6 - 1,3 - 6,2 - 6,,,
1,34,Polona Hercog *,SLO,,Qiang Wang,CHN,,3 - 6,6 - 3,6 - 2,,,
1,35,Storm Sanders,AUS,,Klara Koukalova *,CZE,,5 - 7,4 - 6,,,,
1,36,Julia Goerges *,GER,,Belinda Bencic,SUI,32,6 - 2,6 - 1,,,,
1,37,Karolina Pliskova *,CZE,22,Evgeniya Rodina,RUS,,7 - 5,6 - 1,,,,
1,38,Alison Riske,USA,,Oceane Dodin *,FRA,,6 - 7 (5 - 7),6 - 3,3 - 6,,,
1,39,Roberta Vinci *,ITA,,Bojana Jovanovski,SRB,,7 - 5,6 - 1,,,,
1,40,An-Sophie Mestach,BEL,,Ekaterina Makarova *,RUS,10,2 - 6,2 - 6,,,,
1,41,Sara Errani *,ITA,14,Grace Min,USA,,6 - 1,6 - 0,,,,
1,42,Silvia Soler-Espinosa *,ESP,,Annika Beck,GER,,7 - 5,6 - 4,,,,
1,43,Renata Voracova,CZE,,Lara Arruabarrena *,ESP,,1 - 6,2 - 6,,,,
1,44,Yanina Wickmayer *,BEL,,A.Pavlyuchenkova,RUS,23,4 - 6,6 - 3,6 - 3,,,
1,45,Sabine Lisicki,GER,28,Kristina Mladenovic *,FRA,,6 - 4,4 - 6,2 - 6,,,
1,46,Ying-Ying Duan,CHN,,Bethanie Mattek-Sands *,USA,,4 - 6,6 - 3,3 - 6,,,
1,47,Jarmila Gajdosova *,AUS,,Alexandra Dulgheru,ROU,,6 - 3,6 - 4,,,,
1,48,Karin Knapp,ITA,,Simona Halep *,ROU,3,3 - 6,2 - 6,,,,
1,49,Eugenie Bouchard *,CAN,7,Anna-Lena Friedsam,GER,,6 - 2,6 - 4,,,,
