Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Roger Federer *,SUI,1,Diego Hartfield,ARG,,6 - 0,6 - 3,6 - 0,,,
1,2,Fabrice Santoro *,FRA,,John Isner,USA,,6 - 2,6 - 2,6 - 4,,,
1,3,Janko Tipsarevic *,SRB,,Joseph Sirianni,AUS,,7 - 5,6 - 2,6 - 7 (6 - 8),0 - 6,6 - 0,
1,4,Thierry Ascione,FRA,,Fernando Verdasco *,ESP,25,4 - 6,0 - 6,3 - 6,,,
1,5,Juan Monaco *,ARG,21,Carlos Berlocq,ARG,,7 - 6 (7 - 5),7 - 5,6 - 1,,,
1,6,Robert Kendrick,USA,,Amer Delic *,USA,,4 - 6,5 - 7,2 - 6,,,
1,7,Oscar Hernandez *,ESP,,Ivo Minar,CZE,,1 - 6,7 - 6 (7 - 5),6 - 2,6 - 1,,
1,8,Werner Eschauer,AUT,,Tomas Berdych *,CZE,13,4 - 6,4 - 6,4 - 6,,,
1,9,James Blake *,USA,12,Nicolas Massu,CHI,,6 - 3,6 - 2,6 - 2,,,
1,10,Michael Russell *,USA,,Fabio Fognini,ITA,,6 - 1,4 - 6,6 - 2,3 - 6,6 - 3,
1,11,Sebastien Grosjean *,FRA,,Filippo Volandri,ITA,,7 - 6 (7 - 3),6 - 3,7 - 6 (7 - 0),,,
1,12,Robin Haase *,NED,,Ivan Ljubicic,CRO,17,6 - 7 (2 - 7),6 - 3,6 - 0,7 - 6 (7 - 1),,
1,13,Nicolas Almagro,ESP,27,Marin Cilic *,CRO,,6 - 7 (4 - 7),5 - 7,2 - 6,,,
1,14,Jiri Vanek,CZE,,Jurgen Melzer *,AUT,,3 - 6,4 - 6,4 - 6,,,
1,15,Hyung-Taik Lee *,KOR,,Chris Guccione,AUS,,7 - 6 (8 - 6),6 - 3,6 - 4,,,
1,16,Konstantinos Economidis,GRE,,Fernando Gonzalez *,CHI,7,4 - 6,6 - 7 (2 - 7),1 - 6,,,
1,17,Novak Djokovic *,SRB,3,Benjamin Becker,GER,,6 - 0,6 - 2,7 - 6 (7 - 5),,,
1,18,Rajeev Ram,USA,,Simone Bolelli *,ITA,,6 - 7 (5 - 7),6 - 3,4 - 6,6 - 2,3 - 6,
1,19,Sam Querrey *,USA,,Olivier Rochus,BEL,,6 - 3,6 - 2,7 - 5,,,
1,20,Xavier Malisse,BEL,,Dmitry Tursunov *,RUS,32,7 - 6 (7 - 1),7 - 5,2 - 6,1 - 6,3 - 6,
1,21,Lleyton Hewitt *,AUS,19,Steve Darcis,BEL,,6 - 0,6 - 3,6 - 0,,,
1,22,Denis Istomin *,UZB,,Lukas Lacko,SVK,,6 - 3,6 - 7 (1 - 7),7 - 6 (7 - 4),6 - 1,,
1,23,Ernests Gulbis,LAT,,Marat Safin *,RUS,,0 - 6,4 - 6,6 - 7 (2 - 7),,,
