Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Rafael Nadal *,ESP,1,Marcos Daniel,BRA,,6 - 0,5 - 0,,,,Retired
1,2,Ryan Sweeting *,USA,,Daniel Gimeno-Traver,ESP,,6 - 4,6 - 4,6 - 1,,,
1,3,Bernard Tomic *,AUS,,Jeremy Chardy,FRA,,6 - 3,6 - 2,7 - 6 (7 - 5),,,
1,4,Alejandro Falla,COL,,Feliciano Lopez *,ESP,31,3 - 6,6 - 7 (6 - 8),3 - 6,,,
1,5,John Isner *,USA,20,Florent Serra,FRA,,6 - 3,7 - 6 (10 - 8),6 - 3,,,
1,6,Radek Stepanek *,CZE,,Denis Gremelmayr,GER,,6 - 3,6 - 2,6 - 3,,,
1,7,Rui Machado,POR,,Santiago Giraldo *,COL,,4 - 6,3 - 6,7 - 5,1 - 6,,
1,8,Donald Young,USA,,Marin Cilic *,CRO,15,3 - 6,2 - 6,1 - 6,,,
1,9,Mikhail Youzhny *,RUS,10,Marsel Ilhan,TUR,,6 - 2,6 - 3,7 - 6 (7 - 5),,,
1,10,Blaz Kavcic *,SLO,,Kevin Anderson,RSA,,2 - 6,6 - 4,7 - 6 (7 - 4),7 - 6 (7 - 5),,
1,11,Milos Raonic *,CAN,,Bjorn Phau,GER,,7 - 6 (7 - 3),6 - 3,7 - 6 (10 - 8),,,
1,12,Juan Ignacio Chela,ARG,,Michael Llodra *,FRA,22,3 - 6,6 - 3,2 - 6,4 - 6,,
1,13,David Nalbandian *,ARG,27,Lleyton Hewitt,AUS,,3 - 6,6 - 4,3 - 6,7 - 6 (7 - 1),9 - 7,
1,14,Richard Berankis *,LTU,,Marinko Matosevic,AUS,,6 - 4,6 - 2,7 - 5,,,
1,15,Michael Russell *,USA,,Matthew Ebden,AUS,,6 - 3,6 - 2,5 - 7,7 - 6 (11 - 9),,
1,16,Jarkko Nieminen,FIN,,David Ferrer *,ESP,7,4 - 6,3 - 6,6 - 1,2 - 6,,
1,17,Robin Soderling *,SWE,4,Potito Starace,ITA,,6 - 4,6 - 2,6 - 2,,,
1,18,Gilles Muller *,LUX,,Simon Stadler,GER,,6 - 3,7 - 6 (7 - 5),6 - 4,,,
1,19,Denis Istomin,UZB,,Jan Hernych *,CZE,,3 - 6,4 - 6,6 - 3,2 - 6,,
1,20,Ricardo Mello,BRA,,Thomaz Bellucci *,BRA,30,5 - 7,5 - 7,6 - 4,6 - 3,3 - 6,
1,21,Ernests Gulbis,LAT,24,Benjamin Becker *,GER,,6 - 7 (5 - 7),2 - 6,4 - 6,,,
1,22,Alexandr Dolgopolov *,UKR,,Mikhail Kukushkin,KAZ,,6 - 3,6 - 2,6 - 4,,,
1,23,Andreas Seppi *,ITA,,Arnaud Clement,FRA,,3 - 6,2 - 6,7 - 5,6 - 3,6 - 2,
1,24,Philipp Petzschner,GER,,Jo-Wilfried Tsonga *,FRA,13,6 - 4,6 - 2,2 - 6,3 - 6,4 - 6,
1,25,Jurgen Melzer *,AUT,11,Vincent Millot,FRA,,6 - 2,6 - 4,6 - 2,,,
1,26,Carsten Ball,AUS,,Pere Riba *,ESP,,6 - 1,6 - 7 (5 - 7),2 - 6,6 - 2,4 - 6,
1,27,Dudi Sela,ISR,,Juan Martin Del Potro *,ARG,,6 - 7 (13 - 15),4 - 6,4 - 6,,,
1,28,Grega Zemlja,SLO,,Marcos Baghdatis *,CYP,21,6 - 3,5 - 7,1 - 6,6 - 4,2 - 6,
1,29,Guillermo Garcia-Lopez *,ESP,32,Michael Berrer,GER,,6 - 4,6 - 4,3 - 6,6 - 3,,
1,30,Eduardo Schwank *,ARG,,Leonardo Mayer,ARG,,6 - 2,6 - 0,6 - 4,,,
1,31,Illya Marchenko *,UKR,,Ruben Ramirez Hidalgo,ESP,,6 - 3,6 - 4,6 - 1,,,
1,32,Karol Beck,SVK,,Andy Murray *,GBR,5,3 - 6,1 - 6,2 - 4,,,Retired
1,33,Tomas Berdych *,CZE,6,Marco Crugnola,ITA,,6 - 4,6 - 0,6 - 2,,,
1,34,Philipp Kohlschreiber *,GER,,Tobias Kamke,GER,,1 - 6,4 - 6,7 - 6 (8 - 6),6 - 4,6 - 4,
1,35,Ryan Harrison,USA,,Adrian Mannarino *,FRA,,4 - 6,3 - 6,4 - 6,,,
1,36,Frank Dancevic,CAN,,Richard Gasquet *,FRA,28,3 - 6,4 - 6,4 - 6,,,
1,37,Nikolay Davydenko,RUS,23,Florian Mayer *,GER,,3 - 6,6 - 4,6 - 7 (4 - 7),4 - 6,,
1,38,Fabio Fognini,ITA,,Kei Nishikori *,JPN,,1 - 6,4 - 6,7 - 6 (7 - 4),4 - 6,,
1,39,Mischa Zverev,GER,,Janko Tipsarevic *,SRB,,3 - 6,1 - 6,4 - 6,,,
1,40,Rainer Schuettler,GER,,Fernando Verdasco *,ESP,9,1 - 6,3 - 6,2 - 6,,,
1,41,Nicolas Almagro *,ESP,14,Stephane Robert,FRA,,6 - 4,6 - 3,6 - 7 (4 - 7),7 - 5,,
1,42,Igor Andreev *,RUS,,Filippo Volandri,ITA,,6 - 3,7 - 6 (7 - 3),6 - 3,,,
1,43,Flavio Cipolla,ITA,,Benoit Paire *,FRA,,1 - 6,5 - 7,1 - 6,,,
1,44,Peter Luczak,AUS,,Ivan Ljubicic *,CRO,17,3 - 6,3 - 6,6 - 7 (2 - 7),,,
1,45,Viktor Troicki *,SRB,29,Dmitry Tursunov,RUS,,6 - 2,3 - 6,6 - 2,6 - 0,,
1,46,Brian Dabul,ARG,,Nicolas Mahut *,FRA,,3 - 6,4 - 6,4 - 6,,,
1,47,Ivo Karlovic,CRO,,Ivan Dodig *,CRO,,4 - 6,6 - 3,7 - 6 (7 - 5),4 - 6,4 - 6,
1,48,Marcel Granollers,ESP,,Novak Djokovic *,SRB,3,1 - 6,3 - 6,1 - 6,,,
1,49,Andy Roddick *,USA,8,Jan Hajek,CZE,,6 - 1,6 - 2,6 - 2,,,
1,50,Michal Przysiezny,POL,,Igor Kunitsyn *,RUS,,7 - 6 (7 - 1),4 - 6,4 - 6,6 - 7 (6 - 8),,
1,51,Carlos Berlocq,ARG,,Robin Haase *,NED,,4 - 6,3 - 6,6 - 7 (5 - 7),,,
1,52,Simon Greul,GER,,Juan Monaco *,ARG,26,6 - 7 (5 - 7),6 - 7 (4 - 7),2 - 6,,,
1,53,Stanislas Wawrinka *,SUI,19,Teymuraz Gabashvili,RUS,,7 - 6 (7 - 3),6 - 4,6 - 4,,,
1,54,Grigor Dimitrov *,BUL,,Andrey Golubev,KAZ,,6 - 1,6 - 4,6 - 2,,,
1,55,Frederico Gil *,POR,,Pablo Cuevas,URU,,6 - 4,6 - 7 (7 - 9),4 - 6,6 - 3,9 - 7,
1,56,Thiemo de Bakker,NED,,Gael Monfils *,FRA,12,7 - 6 (7 - 5),6 - 2,5 - 7,2 - 6,1 - 6,
1,57,Mardy Fish *,USA,16,Victor Hanescu,ROU,,2 - 6,4 - 6,6 - 3,7 - 5,6 - 3,
1,58,Tommy Robredo *,ESP,,Somdev Devvarman,IND,,7 - 6 (7 - 4),6 - 3,6 - 4,,,
1,59,Sergiy Stakhovsky *,UKR,,Daniel Brands,GER,,6 - 2,6 - 3,6 - 4,,,
1,60,Lukasz Kubot *,POL,,Sam Querrey,USA,18,5 - 7,6 - 2,3 - 6,6 - 1,8 - 6,
1,61,Albert Montanes *,ESP,25,Dustin Brown,GER,,6 - 4,6 - 2,3 - 6,2 - 6,7 - 5,
1,62,Pablo Andujar,ESP,,Xavier Malisse *,BEL,,1 - 6,2 - 6,6 - 7 (3 - 7),,,
1,63,Yen-Hsun Lu,TPE,,Gilles Simon *,FRA,,7 - 6 (7 - 3),2 - 6,4 - 6,2 - 6,,
1,64,Lukas Lacko,SVK,,Roger Federer *,SUI,2,1 - 6,1 - 6,3 - 6,,,
2,1,Rafael Nadal *,ESP,1,Ryan Sweeting,USA,,6 - 2,6 - 1,6 - 1,,,
2,2,Bernard Tomic *,AUS,,Feliciano Lopez,ESP,31,7 - 6 (7 - 4),7 - 6 (7 - 3),6 - 3,,,
2,3,John Isner *,USA,20,Radek Stepanek,CZE,,4 - 6,6 - 4,6 - 2,6 - 1,,
2,4,Santiago Giraldo,COL,,Marin Cilic *,CRO,15,3 - 6,6 - 7 (1 - 7),1 - 6,,,
2,5,Mikhail Youzhny *,RUS,10,Blaz Kavcic,SLO,,6 - 3,6 - 1,5 - 7,4 - 6,6 - 1,
2,6,Milos Raonic *,CAN,,Michael Llodra,FRA,22,7 - 6 (7 - 3),6 - 3,7 - 6 (7 - 4),,,
2,7,David Nalbandian,ARG,27,Richard Berankis *,LTU,,1 - 6,0 - 6,0 - 2,,,Retired
2,8,Michael Russell,USA,,David Ferrer *,ESP,7,0 - 6,1 - 6,5 - 7,,,
2,9,Robin Soderling *,SWE,4,Gilles Muller,LUX,,6 - 3,7 - 6 (7 - 1),6 - 1,,,
2,10,Jan Hernych *,CZE,,Thomaz Bellucci,BRA,30,6 - 2,6 - 7 (11 - 13),6 - 4,6 - 7 (3 - 7),8 - 6,
2,11,Benjamin Becker,GER,,Alexandr Dolgopolov *,UKR,,3 - 6,0 - 6,6 - 3,6 - 7 (3 - 7),,
2,12,Andreas Seppi,ITA,,Jo-Wilfried Tsonga *,FRA,13,3 - 6,6 - 7 (1 - 7),6 - 7 (5 - 7),,,
2,13,Jurgen Melzer *,AUT,11,Pere Riba,ESP,,6 - 2,6 - 4,6 - 2,,,
2,14,Juan Martin Del Potro,ARG,,Marcos Baghdatis *,CYP,21,1 - 6,3 - 6,6 - 4,3 - 6,,
2,15,Guillermo Garcia-Lopez *,ESP,32,Eduardo Schwank,ARG,,6 - 4,7 - 6 (10 - 8),6 - 1,,,
2,16,Illya Marchenko,UKR,,Andy Murray *,GBR,5,1 - 6,3 - 6,3 - 6,,,
2,17,Tomas Berdych *,CZE,6,Philipp Kohlschreiber,GER,,4 - 6,6 - 2,6 - 3,6 - 4,,
2,18,Adrian Mannarino,FRA,,Richard Gasquet *,FRA,28,3 - 6,6 - 7 (4 - 7),4 - 6,,,
2,19,Florian Mayer,GER,,Kei Nishikori *,JPN,,4 - 6,3 - 6,6 - 0,3 - 6,,
2,20,Janko Tipsarevic,SRB,,Fernando Verdasco *,ESP,9,6 - 2,6 - 4,4 - 6,6 - 7 (0 - 7),0 - 6,
2,21,Nicolas Almagro *,ESP,14,Igor Andreev,RUS,,7 - 5,2 - 6,4 - 6,7 - 6 (12 - 10),7 - 5,
2,22,Benoit Paire,FRA,,Ivan Ljubicic *,CRO,17,3 - 6,7 - 6 (7 - 2),4 - 6,6 - 7 (5 - 7),,
2,23,Viktor Troicki *,SRB,29,Nicolas Mahut,FRA,,6 - 4,6 - 2,1 - 6,6 - 3,,
2,24,Ivan Dodig,CRO,,Novak Djokovic *,SRB,3,5 - 7,7 - 6 (10 - 8),0 - 6,2 - 6,,
2,25,Andy Roddick *,USA,8,Igor Kunitsyn,RUS,,7 - 6 (9 - 7),6 - 2,6 - 3,,,
2,26,Robin Haase *,NED,,Juan Monaco,ARG,26,6 - 4,6 - 4,3 - 6,6 - 2,,
2,27,Stanislas Wawrinka *,SUI,19,Grigor Dimitrov,BUL,,7 - 5,6 - 3,6 - 3,,,
2,28,Frederico Gil,POR,,Gael Monfils *,FRA,12,4 - 6,3 - 6,6 - 1,2 - 6,,
2,29,Mardy Fish,USA,16,Tommy Robredo *,ESP,,6 - 1,3 - 6,3 - 6,3 - 6,,
2,30,Sergiy Stakhovsky *,UKR,,Lukasz Kubot,POL,,6 - 3,6 - 4,6 - 4,,,
2,31,Albert Montanes,ESP,25,Xavier Malisse *,BEL,,4 - 6,0 - 6,1 - 6,,,
2,32,Gilles Simon,FRA,,Roger Federer *,SUI,2,2 - 6,3 - 6,6 - 4,6 - 4,3 - 6,
3,1,Rafael Nadal *,ESP,1,Bernard Tomic,AUS,,6 - 2,7 - 5,6 - 3,,,
3,2,John Isner,USA,20,Marin Cilic *,CRO,15,6 - 4,2 - 6,7 - 6 (7 - 5),6 - 7 (2 - 7),7 - 9,
3,3,Mikhail Youzhny,RUS,10,Milos Raonic *,CAN,,4 - 6,5 - 7,6 - 4,4 - 6,,
3,4,Richard Berankis,LTU,,David Ferrer *,ESP,7,2 - 6,2 - 6,1 - 6,,,
3,5,Robin Soderling *,SWE,4,Jan Hernych,CZE,,6 - 3,6 - 1,6 - 4,,,
3,6,Alexandr Dolgopolov *,UKR,,Jo-Wilfried Tsonga,FRA,13,3 - 6,6 - 3,3 - 6,6 - 1,6 - 1,
3,7,Jurgen Melzer *,AUT,11,Marcos Baghdatis,CYP,21,6 - 7 (5 - 7),6 - 2,6 - 1,4 - 3,,Retired
3,8,Guillermo Garcia-Lopez,ESP,32,Andy Murray *,GBR,5,1 - 6,1 - 6,2 - 6,,,
3,9,Tomas Berdych *,CZE,6,Richard Gasquet,FRA,28,6 - 2,7 - 6 (7 - 3),6 - 2,,,
3,10,Kei Nishikori,JPN,,Fernando Verdasco *,ESP,9,2 - 6,4 - 6,3 - 6,,,
3,11,Nicolas Almagro *,ESP,14,Ivan Ljubicic,CRO,17,6 - 4,7 - 6 (10 - 8),6 - 3,,,
3,12,Viktor Troicki,SRB,29,Novak Djokovic *,SRB,3,2 - 6,,,,,Retired
3,13,Andy Roddick *,USA,8,Robin Haase,NED,,2 - 6,7 - 6 (7 - 2),6 - 2,6 - 2,,
3,14,Stanislas Wawrinka *,SUI,19,Gael Monfils,FRA,12,7 - 6 (7 - 4),6 - 2,6 - 3,,,
3,15,Tommy Robredo *,ESP,,Sergiy Stakhovsky,UKR,,5 - 7,6 - 2,6 - 4,6 - 2,,
3,16,Xavier Malisse,BEL,,Roger Federer *,SUI,2,3 - 6,3 - 6,1 - 6,,,
4,1,Rafael Nadal *,ESP,1,Marin Cilic,CRO,15,6 - 2,6 - 4,6 - 3,,,
4,2,Milos Raonic,CAN,,David Ferrer *,ESP,7,6 - 4,2 - 6,3 - 6,4 - 6,,
4,3,Robin Soderling,SWE,4,Alexandr Dolgopolov *,UKR,,6 - 1,3 - 6,1 - 6,6 - 4,2 - 6,
4,4,Jurgen Melzer,AUT,11,Andy Murray *,GBR,5,3 - 6,1 - 6,1 - 6,,,
4,5,Tomas Berdych *,CZE,6,Fernando Verdasco,ESP,9,6 - 4,6 - 2,6 - 3,,,
4,6,Nicolas Almagro,ESP,14,Novak Djokovic *,SRB,3,3 - 6,4 - 6,0 - 6,,,
4,7,Andy Roddick,USA,8,Stanislas Wawrinka *,SUI,19,3 - 6,4 - 6,4 - 6,,,
4,8,Tommy Robredo,ESP,,Roger Federer *,SUI,2,3 - 6,6 - 3,3 - 6,2 - 6,,
5,1,Rafael Nadal,ESP,1,David Ferrer *,ESP,7,4 - 6,2 - 6,3 - 6,,,
5,2,Alexandr Dolgopolov,UKR,,Andy Murray *,GBR,5,5 - 7,3 - 6,7 - 6 (7 - 3),3 - 6,,
5,3,Tomas Berdych,CZE,6,Novak Djokovic *,SRB,3,1 - 6,6 - 7 (5 - 7),1 - 6,,,
5,4,Stanislas Wawrinka,SUI,19,Roger Federer *,SUI,2,1 - 6,3 - 6,3 - 6,,,
6,1,David Ferrer,ESP,7,Andy Murray *,GBR,5,6 - 4,6 - 7 (2 - 7),1 - 6,6 - 7 (2 - 7),,
6,2,Novak Djokovic *,SRB,3,Roger Federer,SUI,2,7 - 6 (7 - 3),7 - 5,6 - 4,,,
7,1,Andy Murray,GBR,5,Novak Djokovic *,SRB,3,4 - 6,2 - 6,3 - 6,,,
